                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80de478f2 (__TEXT,__text) non-external _au_assemble
00007ff80de48d6e (__TEXT,__text) external _au_bsm_to_domain
00007ff80de53ef5 (__TEXT,__text) external _au_bsm_to_errno
00007ff80de53fa3 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80de5006c (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80de47b49 (__TEXT,__text) external _au_close
00007ff80de47bfa (__TEXT,__text) external _au_close_buffer
00007ff80de47cba (__TEXT,__text) external _au_close_token
00007ff80de47827 (__TEXT,__text) external _au_close_with_errors
00007ff84373d824 (__DATA,__bss) non-external _au_cond
00007ff80de48d43 (__TEXT,__text) external _au_domain_to_bsm
00007ff80de53ec7 (__TEXT,__text) external _au_errno_to_bsm
00007ff80de53f78 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80de472a7 (__TEXT,__text) external _au_fetch_tok
00007ff80de47635 (__TEXT,__text) external _au_free_token
00007ff80de4ff6b (__TEXT,__text) external _au_get_state
00007ff80de4fecb (__TEXT,__text) external _au_notify_initialize
00007ff80de4ff52 (__TEXT,__text) external _au_notify_terminate
00007ff80de4765f (__TEXT,__text) external _au_open
00007ff8413794a0 (__DATA_CONST,__const) non-external _au_polstr
00007ff80de4812d (__TEXT,__text) external _au_poltostr
00007ff80de4fcc1 (__TEXT,__text) external _au_preselect
00007ff80de4ab1c (__TEXT,__text) external _au_print_flags_tok
00007ff80de4ef54 (__TEXT,__text) external _au_print_tok
00007ff80de4ef6e (__TEXT,__text) external _au_print_tok_xml
00007ff80de49649 (__TEXT,__text) external _au_print_xml_footer
00007ff80de49608 (__TEXT,__text) external _au_print_xml_header
00007ff80de4ef8e (__TEXT,__text) external _au_read_rec
00007ff80de53e87 (__TEXT,__text) external _au_sdev_close
00007ff80de53eba (__TEXT,__text) external _au_sdev_fd
00007ff80de46e6f (__TEXT,__text) external _au_sdev_open
00007ff80de46f42 (__TEXT,__text) external _au_sdev_read_aia
00007ff841379590 (__DATA_CONST,__const) non-external _au_sflagsstr
00007ff80de48296 (__TEXT,__text) external _au_sflagstostr
00007ff80de50041 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80de4880f (__TEXT,__text) non-external _au_spacetobytes
00007ff80de53f34 (__TEXT,__text) external _au_strerror
00007ff80de481d0 (__TEXT,__text) external _au_strtopol
00007ff80de48336 (__TEXT,__text) external _au_strtosflags
00007ff80de47a9e (__TEXT,__text) non-external _au_teardown
00007ff80de5026a (__TEXT,__text) external _au_to_arg
00007ff80de50077 (__TEXT,__text) external _au_to_arg32
00007ff80de5015b (__TEXT,__text) external _au_to_arg64
00007ff80de520a3 (__TEXT,__text) external _au_to_certificate_hash
00007ff80de50274 (__TEXT,__text) external _au_to_data
00007ff80de51f60 (__TEXT,__text) external _au_to_exec_args
00007ff80de52094 (__TEXT,__text) external _au_to_exec_env
00007ff80de50359 (__TEXT,__text) external _au_to_exit
00007ff80de50888 (__TEXT,__text) external _au_to_file
00007ff80de503fc (__TEXT,__text) external _au_to_groups
00007ff80de52799 (__TEXT,__text) external _au_to_header
00007ff80de526f3 (__TEXT,__text) external _au_to_header32
00007ff80de52661 (__TEXT,__text) external _au_to_header32_ex
00007ff80de523c4 (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80de522c9 (__TEXT,__text) external _au_to_header32_tm
00007ff80de52746 (__TEXT,__text) external _au_to_header64
00007ff80de52535 (__TEXT,__text) external _au_to_header64_tm
00007ff80de527a3 (__TEXT,__text) external _au_to_header_ex
00007ff80de5216f (__TEXT,__text) external _au_to_identity
00007ff80de504bc (__TEXT,__text) external _au_to_in_addr
00007ff80de5052a (__TEXT,__text) external _au_to_in_addr_ex
00007ff80de505a1 (__TEXT,__text) external _au_to_ip
00007ff80de5061f (__TEXT,__text) external _au_to_ipc
00007ff80de506ab (__TEXT,__text) external _au_to_ipc_perm
00007ff80de5077a (__TEXT,__text) external _au_to_iport
00007ff80de5282f (__TEXT,__text) external _au_to_kevent
00007ff80de520b2 (__TEXT,__text) external _au_to_krb5_principal
00007ff80de51ed8 (__TEXT,__text) external _au_to_me
00007ff80de5040e (__TEXT,__text) external _au_to_newgroups
00007ff80de507e4 (__TEXT,__text) external _au_to_opaque
00007ff80de50a3e (__TEXT,__text) external _au_to_path
00007ff80de50ddf (__TEXT,__text) external _au_to_process
00007ff80de50aec (__TEXT,__text) external _au_to_process32
00007ff80de50de9 (__TEXT,__text) external _au_to_process32_ex
00007ff80de50c42 (__TEXT,__text) external _au_to_process64
00007ff80de51005 (__TEXT,__text) external _au_to_process64_ex
00007ff80de5124d (__TEXT,__text) external _au_to_process_ex
00007ff80de51394 (__TEXT,__text) external _au_to_return
00007ff80de51257 (__TEXT,__text) external _au_to_return32
00007ff80de512e3 (__TEXT,__text) external _au_to_return64
00007ff80de5139e (__TEXT,__text) external _au_to_seq
00007ff80de51773 (__TEXT,__text) external _au_to_sock_inet
00007ff80de516e5 (__TEXT,__text) external _au_to_sock_inet128
00007ff80de51665 (__TEXT,__text) external _au_to_sock_inet32
00007ff80de515a6 (__TEXT,__text) external _au_to_sock_unix
00007ff80de51418 (__TEXT,__text) external _au_to_socket_ex
00007ff80de51f6f (__TEXT,__text) non-external _au_to_strings
00007ff80de51a70 (__TEXT,__text) external _au_to_subject
00007ff80de5177d (__TEXT,__text) external _au_to_subject32
00007ff80de51a7a (__TEXT,__text) external _au_to_subject32_ex
00007ff80de518d3 (__TEXT,__text) external _au_to_subject64
00007ff80de51c8e (__TEXT,__text) external _au_to_subject64_ex
00007ff80de51ece (__TEXT,__text) external _au_to_subject_ex
00007ff80de50990 (__TEXT,__text) external _au_to_text
00007ff80de527ad (__TEXT,__text) external _au_to_trailer
00007ff80de520c1 (__TEXT,__text) external _au_to_zonename
00007ff80de52b35 (__TEXT,__text) external _au_user_mask
00007ff80de477a1 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff84373d0d8 (__DATA,__bss) non-external _audit_free_q
00007ff80de53e10 (__TEXT,__text) external _audit_get_car
00007ff80de53be0 (__TEXT,__text) external _audit_get_class
00007ff80de53117 (__TEXT,__text) external _audit_get_cond
00007ff80de53e25 (__TEXT,__text) external _audit_get_ctlmode
00007ff80de53dfb (__TEXT,__text) external _audit_get_cwd
00007ff80de53e56 (__TEXT,__text) external _audit_get_expire_after
00007ff80de53ca4 (__TEXT,__text) external _audit_get_fsize
00007ff80de53b7e (__TEXT,__text) external _audit_get_kaudit
00007ff80de53c42 (__TEXT,__text) external _audit_get_kmask
00007ff80de53d37 (__TEXT,__text) external _audit_get_pinfo
00007ff80de53d68 (__TEXT,__text) external _audit_get_pinfo_addr
00007ff80de538e0 (__TEXT,__text) external _audit_get_policy
00007ff80de53a15 (__TEXT,__text) external _audit_get_qctrl
00007ff80de539ae (__TEXT,__text) external _audit_get_sflags
00007ff80de539e9 (__TEXT,__text) external _audit_get_sflags_mask
00007ff80de47604 (__TEXT,__text) external _audit_get_sinfo_addr
00007ff80de53d99 (__TEXT,__text) external _audit_get_stat
00007ff84373d0d0 (__DATA,__bss) non-external _audit_rec_count
00007ff80de53b67 (__TEXT,__text) external _audit_send_trigger
00007ff80de53c11 (__TEXT,__text) external _audit_set_class
00007ff80de53879 (__TEXT,__text) external _audit_set_cond
00007ff80de53cd5 (__TEXT,__text) external _audit_set_fsize
00007ff80de53baf (__TEXT,__text) external _audit_set_kaudit
00007ff80de53c73 (__TEXT,__text) external _audit_set_kmask
00007ff80de53d06 (__TEXT,__text) external _audit_set_pmask
00007ff80de53947 (__TEXT,__text) external _audit_set_policy
00007ff80de53abe (__TEXT,__text) external _audit_set_qctrl
00007ff80de539c5 (__TEXT,__text) external _audit_set_sflags
00007ff80de539ff (__TEXT,__text) external _audit_set_sflags_mask
00007ff80de53dca (__TEXT,__text) external _audit_set_stat
00007ff80de53254 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff80de5317e (__TEXT,__text) external _audit_set_terminal_id
00007ff80de532f8 (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff80de531b3 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff80de52cb6 (__TEXT,__text) external _audit_submit
