00007ffb0013a2f2 (__TEXT,__text) non-external _DiToMD5
00007ffb0013a572 (__TEXT,__text) non-external _DiToSHA1
00007ffb0012378e (__TEXT,__text) external _DriverExecutableMain
00007ffb40002120 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffb400023e0 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffb400022e8 (__DATA_CONST,__const) external _IOCommand_Class
00007ffb400024d8 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffb40002638 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffb001201c8 (__TEXT,__text) external _IODelay
00007ffb400027e8 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffb40002998 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffb00123c7b (__TEXT,__text) external _IODriverKitTest
00007ffb0014b2d6 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffb0014b301 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffb0014b324 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffb0014b34f (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffb0014b372 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffb0014b395 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffb0014b3b8 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffb0014b3db (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffb40002b48 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffb40002ca8 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ffb00120177 (__TEXT,__text) external _IOFree
00007ffb001201ae (__TEXT,__text) external _IOFreeData
00007ffb00123c60 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffb40003528 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffb40002e38 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffb001201db (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffb00122e42 (__TEXT,__text) external _IOLockAlloc
00007ffb00122e91 (__TEXT,__text) external _IOLockAssert
00007ffb0014ad4d (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffb00122e5d (__TEXT,__text) external _IOLockFree
00007ffb00122e73 (__TEXT,__text) external _IOLockLock
00007ffb00122e7d (__TEXT,__text) external _IOLockTryLock
00007ffb00122e87 (__TEXT,__text) external _IOLockUnlock
00007ffb0011ff76 (__TEXT,__text) external _IOLog
00007ffb0011fe36 (__TEXT,__text) external _IOLogBuffer
00007ffb00120014 (__TEXT,__text) external _IOLogv
00007ffb0012011d (__TEXT,__text) external _IOMalloc
00007ffb00120181 (__TEXT,__text) external _IOMallocData
00007ffb00120138 (__TEXT,__text) external _IOMallocTyped
00007ffb00120153 (__TEXT,__text) external _IOMallocZero
00007ffb0012019c (__TEXT,__text) external _IOMallocZeroData
00007ffb00120165 (__TEXT,__text) external _IOMallocZeroTyped
00007ffb40002fe8 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffb40003198 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffb0012025b (__TEXT,__text) external _IOParseBootArgNumber
00007ffb001206c5 (__TEXT,__text) external _IOParseBootArgString
00007ffb0012205d (__TEXT,__text) external _IORPCMessageFromMach
00007ffb0014aae8 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffb0014ab1d (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffb00123090 (__TEXT,__text) external _IORWLockAlloc
00007ffb0014ae65 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffb001230c9 (__TEXT,__text) external _IORWLockFree
00007ffb001230f0 (__TEXT,__text) external _IORWLockRead
00007ffb0014ae88 (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffb0012311c (__TEXT,__text) external _IORWLockUnlock
00007ffb0014aece (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffb00123106 (__TEXT,__text) external _IORWLockWrite
00007ffb0014aeab (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffb00122f0a (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffb00122f36 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffb00122ff8 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffb0014adfc (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffb00122f4c (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffb0014ad70 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffb0014ad93 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffb0012302c (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffb0014ae1f (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffb0014ae42 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffb00122fa4 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffb0014adb6 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffb0014add9 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffb00122eae (__TEXT,__text) external _IORecursiveLockAlloc
00007ffb00122eca (__TEXT,__text) external _IORecursiveLockFree
00007ffb00122ef6 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffb00122ee0 (__TEXT,__text) external _IORecursiveLockLock
00007ffb00122f00 (__TEXT,__text) external _IORecursiveLockTryLock
00007ffb00122eec (__TEXT,__text) external _IORecursiveLockUnlock
00007ffb400035c8 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffb40003348 (__DATA_CONST,__const) external _IOReporter_Class
00007ffb400039d0 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffb40003b30 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffb40003820 (__DATA_CONST,__const) external _IOService_Class
00007ffb400033e8 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffb001201b8 (__TEXT,__text) external _IOSleep
00007ffb40003488 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffb00123197 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffb00123132 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffb00123161 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffb00123176 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffb400057a0 (__DATA_CONST,__const) external _IOThread_Class
00007ffb40003c90 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffb40003e40 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffb001237d4 (__TEXT,__text) external _IOUserServerMain
00007ffb0014b178 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffb0014b2b3 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffb0014b19b (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffb0014b1be (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffb0014b1e1 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffb0014b204 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffb0014b227 (__TEXT,__text) non-external _IOUserServerMain.cold.6
