00007ff81a3541d3 (__TEXT,__text) external _ACBSConfigCopy
00007ff81a35426c (__TEXT,__text) external _ACBSConfigCopySymbologiesEnabled
00007ff81a354185 (__TEXT,__text) external _ACBSConfigCreate
00007ff81a3541ae (__TEXT,__text) external _ACBSConfigFree
00007ff81a35429a (__TEXT,__text) external _ACBSConfigSetDebuggingEnabled
00007ff81a3542a3 (__TEXT,__text) external _ACBSConfigSetFailedLocationsEnabled
00007ff81a354210 (__TEXT,__text) external _ACBSConfigSetLocateMode
00007ff81a354222 (__TEXT,__text) external _ACBSConfigSetMaxLinearDecodeScanlines
00007ff81a35422b (__TEXT,__text) external _ACBSConfigSetMaxLinearDecodeTime
00007ff81a3541fe (__TEXT,__text) external _ACBSConfigSetMaxQRModuleSamples
00007ff81a354207 (__TEXT,__text) external _ACBSConfigSetMaxQRPatternSets
00007ff81a3542ad (__TEXT,__text) external _ACBSConfigSetStopsAtFirstPyramidWith2DCode
00007ff81a354236 (__TEXT,__text) external _ACBSConfigSetSymbologiesEnabled
00007ff81a354219 (__TEXT,__text) external _ACBSConfigSetWantedLinearDecodeScanlines
00007ff81a2e91da (__TEXT,__text) external _ACBSCopyAllSupportedBarcodeTypes
00007ff81a3542b7 (__TEXT,__text) external _ACBSCreateFrameInfoBySearchingForBarcodesInCGImage
00007ff81a3546a5 (__TEXT,__text) external _ACBSCreateFrameInfoBySearchingForBarcodesInCVPixelBuffer
00007ff81a354f7e (__TEXT,__text) external _ACBSCreateSymbolDescriptorFromBasicDescriptor
00007ff81a354dfb (__TEXT,__text) external _ACBSCreateSymbolDescriptorFromBasicDescriptorWithDefaultPayloadEncoding
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFArrayAppendArray (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreate (from CoreFoundation)
                 (undefined) external _CFArrayCreateCopy (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetFirstIndexOfValue (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetValueForInfoDictionaryKey (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDataSetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryApplyFunction (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateCopy (from CoreFoundation)
