                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80f6a2226 (__TEXT,__text) external __cg_jcopy_block_row
00007ff80f6a21ce (__TEXT,__text) external __cg_jcopy_sample_rows
00007ff80f6c1f36 (__TEXT,__text) external __cg_jinit_1pass_quantizer
00007ff80f698d42 (__TEXT,__text) external __cg_jinit_2pass_quantizer
00007ff80f6a1440 (__TEXT,__text) external __cg_jinit_c_coef_controller
00007ff80f6a223f (__TEXT,__text) external __cg_jinit_c_main_controller
00007ff80f6adc7a (__TEXT,__text) external __cg_jinit_c_master_control
00007ff80f6a2413 (__TEXT,__text) external __cg_jinit_c_prep_controller
00007ff80f697e70 (__TEXT,__text) external __cg_jinit_color_converter
00007ff80f6a0964 (__TEXT,__text) external __cg_jinit_color_deconverter
00007ff80f697d57 (__TEXT,__text) external __cg_jinit_compress_master
00007ff80f6aca6c (__TEXT,__text) external __cg_jinit_d_coef_controller
00007ff80f6af4e7 (__TEXT,__text) external __cg_jinit_d_main_controller
00007ff80f6b0109 (__TEXT,__text) external __cg_jinit_d_post_controller
00007ff80f6ba14f (__TEXT,__text) external __cg_jinit_downsampler
00007ff80f69ff5e (__TEXT,__text) external __cg_jinit_forward_dct
00007ff80f6bb55c (__TEXT,__text) external __cg_jinit_huff_decoder
00007ff80f6bf467 (__TEXT,__text) external __cg_jinit_huff_encoder
00007ff80f6a33bd (__TEXT,__text) external __cg_jinit_input_controller
00007ff80f69867b (__TEXT,__text) external __cg_jinit_inverse_dct
00007ff80f69a52e (__TEXT,__text) external __cg_jinit_marker_reader
00007ff80f6be1db (__TEXT,__text) external __cg_jinit_marker_writer
00007ff80f6aeff2 (__TEXT,__text) external __cg_jinit_master_decompress
00007ff80f6c3218 (__TEXT,__text) external __cg_jinit_memory_mgr
00007ff80f6baec3 (__TEXT,__text) external __cg_jinit_merged_upsampler
00007ff80f6afbf3 (__TEXT,__text) external __cg_jinit_upsampler
00007ff80f6b9d78 (__TEXT,__text) external __cg_jpeg_CreateCompress
00007ff80f6a2b00 (__TEXT,__text) external __cg_jpeg_CreateDecompress
00007ff80f69cc79 (__TEXT,__text) external __cg_jpeg_abort
00007ff80f6b9eae (__TEXT,__text) external __cg_jpeg_abort_compress
00007ff80f6a2bf9 (__TEXT,__text) external __cg_jpeg_abort_decompress
00007ff80f6abec4 (__TEXT,__text) external __cg_jpeg_add_quant_table
00007ff80f69cd06 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
00007ff80f69cce9 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
00007ff80f6aecbc (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
00007ff80f6a2c72 (__TEXT,__text) external __cg_jpeg_consume_input
