00007ff80b771190 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff80b771c90 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff80b771790 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff80b771290 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff80b771b90 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff80b771690 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80b76c730 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80b76c750 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80b76188a (__TEXT,__text) non-external _active_outbound_item_reset
00007ff80b766a88 (__TEXT,__text) non-external _add_hd_table_incremental
00007ff80b76a2a6 (__TEXT,__text) non-external _bubble_down
00007ff80b76a244 (__TEXT,__text) non-external _bubble_up
00007ff80b7617b2 (__TEXT,__text) non-external _buf_chain_new
00007ff80b76a41d (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _calloc (from libSystem)
00007ff80b76885a (__TEXT,__text) non-external _check_pseudo_header
00007ff80b7616d2 (__TEXT,__text) non-external _default_calloc
00007ff80b761a08 (__TEXT,__text) non-external _default_free
00007ff80b7616de (__TEXT,__text) non-external _default_malloc
00007ff80b76187c (__TEXT,__text) non-external _default_realloc
00007ff80b766588 (__TEXT,__text) non-external _emit_indname_block
00007ff80b7666f1 (__TEXT,__text) non-external _emit_string
00007ff80b769461 (__TEXT,__text) non-external _emit_table_size
00007ff80b766df1 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff80b76b7ec (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff80b769307 (__TEXT,__text) non-external _hd_context_free
00007ff80b767726 (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff80b76a127 (__TEXT,__text) non-external _hd_get_table_entry
00007ff80b76878d (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff80b7688b0 (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff80b76869d (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff80b76854c (__TEXT,__text) non-external _hd_inflate_read_len
00007ff80b76936c (__TEXT,__text) non-external _hd_ringbuf_get
00007ff80b76d140 (__TEXT,__const) non-external _huff_decode_table
00007ff80b76c930 (__TEXT,__const) non-external _huff_sym_table
00007ff80b7652b1 (__TEXT,__text) non-external _insert
00007ff80b76999c (__TEXT,__text) non-external _insert_link_dep
00007ff80b765a5e (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
00007ff8423114b0 (__DATA,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff80b762310 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00007ff80b761bd4 (__TEXT,__text) non-external _nghttp2_bufs_add
00007ff80b766da6 (__TEXT,__text) non-external _nghttp2_bufs_addb
00007ff80b7693f9 (__TEXT,__text) non-external _nghttp2_bufs_free
00007ff80b76c6d7 (__TEXT,__text) external _nghttp2_check_authority
00007ff80b760d58 (__TEXT,__text) external _nghttp2_check_header_name
00007ff80b760d99 (__TEXT,__text) external _nghttp2_check_header_value
00007ff80b76c679 (__TEXT,__text) external _nghttp2_check_method
00007ff80b76c6a7 (__TEXT,__text) external _nghttp2_check_path
00007ff80b766f5c (__TEXT,__text) non-external _nghttp2_frame_add_pad
00007ff80b76538a (__TEXT,__text) external _nghttp2_hd_deflate_bound
