00007ffe060ce320 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffe060ce69d (__TEXT,__text) external _AAAFSCSetMetadata
00007ffe060cd748 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffe060cde5e (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffe060cdf66 (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffe06055fcf (__TEXT,__text) external _AAArchiveStreamCancel
00007ffe06055f98 (__TEXT,__text) external _AAArchiveStreamClose
00007ffe0606bcdb (__TEXT,__text) external _AAArchiveStreamProcess
00007ffe06055f4a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffe06055f30 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffe06055f7e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffe06055f64 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffe06057661 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffe0605b188 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffe0605b0cb (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffe0605b00c (__TEXT,__text) external _AAAssetBuilderCreate
00007ffe0605b0ba (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffe060c2940 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffe0605b224 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffe0605b193 (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffe0605b87c (__TEXT,__text) external _AAAssetExtractorCreate
00007ffe0605be4b (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffe0605c8b5 (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffe0605c840 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffe0605c35c (__TEXT,__text) external _AAAssetExtractorWrite
00007ffe060d5d49 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffe060d5d5e (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffe060d5767 (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffe060d5bf6 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffe0608c5ae (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffe0606cbcf (__TEXT,__text) external _AAByteRangeAdd
00007ffe0606cae7 (__TEXT,__text) external _AAByteRangeClone
