00007ff84008b9d0 (__DATA,__data) external _NDR_record
00007ff8006ff1a5 (__TEXT,__text) non-external __Xexception_raise
00007ff8006ff24d (__TEXT,__text) non-external __Xexception_raise_state
00007ff8006ff33f (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff8006ec960 (__TEXT,__text) external _____sigwait_nocancel
00007ff800715508 (__TEXT,__const) external ____kernelVersionNumber
00007ff8007154d0 (__TEXT,__const) external ____kernelVersionString
00007ff8006ec978 (__TEXT,__text) external ___abort_with_payload
00007ff8006ec990 (__TEXT,__text) external ___accept
00007ff8006ec9a8 (__TEXT,__text) external ___accept_nocancel
00007ff8006ec9c0 (__TEXT,__text) external ___access_extended
00007ff8006ec9d8 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff8006ec9f0 (__TEXT,__text) external ___bind
00007ff8006eca08 (__TEXT,__text) external ___bsdthread_create
00007ff8006eca20 (__TEXT,__text) external ___bsdthread_ctl
00007ff8006eca38 (__TEXT,__text) external ___bsdthread_register
00007ff8006eca50 (__TEXT,__text) external ___bsdthread_terminate
00007ff8006fe4ea (__TEXT,__text) external ___carbon_delete
00007ff8006eca68 (__TEXT,__text) external ___channel_get_info
00007ff8006eca80 (__TEXT,__text) external ___channel_get_opt
00007ff8006eca98 (__TEXT,__text) external ___channel_open
00007ff8006ecab0 (__TEXT,__text) external ___channel_set_opt
00007ff8006ecac8 (__TEXT,__text) external ___channel_sync
00007ff8006ecae0 (__TEXT,__text) external ___chmod
00007ff8006ecaf8 (__TEXT,__text) external ___chmod_extended
00007ff8006ecb10 (__TEXT,__text) external ___close_nocancel
00007ff8006ecb28 (__TEXT,__text) external ___coalition
00007ff8006ecb40 (__TEXT,__text) external ___coalition_info
00007ff8006ecb58 (__TEXT,__text) external ___coalition_ledger
00007ff8006f21fa (__TEXT,__text) external ___commpage_gettimeofday
00007ff8006f2201 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff8006ecb70 (__TEXT,__text) external ___connect
00007ff8006ecb88 (__TEXT,__text) external ___connect_nocancel
00007ff8006ecba0 (__TEXT,__text) external ___copyfile
00007ff8006ecbb8 (__TEXT,__text) external ___crossarch_trap
00007ff8006ecbd0 (__TEXT,__text) external ___csrctl
00007ff8006f6ba8 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff8006ecbe8 (__TEXT,__text) external ___debug_syscall_reject
00007ff8006ecc00 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff8006ecc18 (__TEXT,__text) external ___delete
00007ff8006ecc30 (__TEXT,__text) external ___disable_threadsignal
00007ff8006f290b (__TEXT,__text) external ___error
00007ff8006ecc48 (__TEXT,__text) external ___execve
00007ff8006ecc60 (__TEXT,__text) external ___exit
00007ff8006ecc78 (__TEXT,__text) external ___fchmod
00007ff8006ecc90 (__TEXT,__text) external ___fchmod_extended
00007ff8006ecca8 (__TEXT,__text) external ___fcntl
00007ff8006eccc0 (__TEXT,__text) external ___fcntl_nocancel
00007ff8006eccd8 (__TEXT,__text) external ___fork
00007ff8006ecd10 (__TEXT,__text) external ___fs_snapshot
00007ff8006ecd28 (__TEXT,__text) external ___fstat64_extended
00007ff8006ecd40 (__TEXT,__text) external ___fstat_extended
00007ff8006ecd58 (__TEXT,__text) external ___fsync_nocancel
00007ff8006fc1a2 (__TEXT,__text) external ___get_remove_counter
00007ff8006ecd70 (__TEXT,__text) external ___getattrlist
00007ff8006ecd88 (__TEXT,__text) external ___getdirentries64
00007ff8006ecda0 (__TEXT,__text) external ___gethostuuid
00007ff8006ecdb8 (__TEXT,__text) external ___getlogin
00007ff8006ecdd0 (__TEXT,__text) external ___getpeername
00007ff8006ecde8 (__TEXT,__text) external ___getpid
00007ff8006ece1c (__TEXT,__text) external ___getrlimit
00007ff8006ece34 (__TEXT,__text) external ___getsgroups
00007ff8006ece4c (__TEXT,__text) external ___getsockname
00007ff8006ece64 (__TEXT,__text) external ___gettid
00007ff8006ece91 (__TEXT,__text) external ___gettimeofday
00007ff8006ece7c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff8006ecebc (__TEXT,__text) external ___getwgroups
00007ff8006eced4 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff8006eceec (__TEXT,__text) external ___guarded_open_np
00007ff8006ecf04 (__TEXT,__text) external ___identitysvc
00007ff8006fc1ad (__TEXT,__text) external ___inc_remove_counter
00007ff8006ecf1c (__TEXT,__text) external ___initgroups
00007ff8006ecf34 (__TEXT,__text) external ___ioctl
00007ff8006ecf4c (__TEXT,__text) external ___iopolicysys
00007ff8006ecf64 (__TEXT,__text) external ___kdebug_trace
00007ff8006ecf7c (__TEXT,__text) external ___kdebug_trace64
00007ff8006ecf94 (__TEXT,__text) external ___kdebug_trace_string
00007ff8006ecfac (__TEXT,__text) external ___kdebug_typefilter
00007ff800715578 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff800715540 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff8006ecfc4 (__TEXT,__text) external ___kill
00007ff8006ecfdc (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff8006ecff4 (__TEXT,__text) external ___lchown
00007ff8006ef57a (__TEXT,__text) external ___libkernel_init
00007ff8006ef5ad (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff8006ef5ac (__TEXT,__text) external ___libkernel_init_late
00007ff8006ef403 (__TEXT,__text) external ___libkernel_platform_init
00007ff8006ef42a (__TEXT,__text) external ___libkernel_voucher_init
00007ff8006ed00c (__TEXT,__text) external ___listen
00007ff8006ed024 (__TEXT,__text) external ___log_data
00007ff8006ed03c (__TEXT,__text) external ___lseek
00007ff8006ed054 (__TEXT,__text) external ___lstat64_extended
00007ff8006ed06c (__TEXT,__text) external ___lstat_extended
00007ff8006ed084 (__TEXT,__text) external ___mac_execve
00007ff8006ed09c (__TEXT,__text) external ___mac_get_fd
00007ff8006ed0b4 (__TEXT,__text) external ___mac_get_file
00007ff8006ed0cc (__TEXT,__text) external ___mac_get_link
00007ff8006ed0e4 (__TEXT,__text) external ___mac_get_mount
00007ff8006ed0fc (__TEXT,__text) external ___mac_get_pid
00007ff8006ed114 (__TEXT,__text) external ___mac_get_proc
00007ff8006ed12c (__TEXT,__text) external ___mac_getfsstat
00007ff8006ed144 (__TEXT,__text) external ___mac_mount
00007ff8006ed15c (__TEXT,__text) external ___mac_set_fd
00007ff8006ed174 (__TEXT,__text) external ___mac_set_file
00007ff8006ed18c (__TEXT,__text) external ___mac_set_link
00007ff8006ed1a4 (__TEXT,__text) external ___mac_set_proc
00007ff8006ed1bc (__TEXT,__text) external ___mac_syscall
00007ff8006ed1d4 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff8006ed1ec (__TEXT,__text) external ___mach_eventlink_signal
00007ff8006ed204 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff8006ed21c (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff8006ed234 (__TEXT,__text) external ___map_with_linking_np
00007ff8006ed24c (__TEXT,__text) external ___memorystatus_available_memory
00007ff8006ed264 (__TEXT,__text) external ___microstackshot
00007ff8006ed27c (__TEXT,__text) external ___mkdir_extended
00007ff8006ed294 (__TEXT,__text) external ___mkfifo_extended
00007ff8006ed2ac (__TEXT,__text) external ___mmap
00007ff8006ed2c4 (__TEXT,__text) external ___mprotect
00007ff8006ed2dc (__TEXT,__text) external ___msgctl
00007ff8006ed2f4 (__TEXT,__text) external ___msgrcv_nocancel
