000000021a99ce50 (__DATA,__data) non-external _.compoundliteral
000000021a99da80 (__DATA,__data) non-external _.compoundliteral.19
000000021a99e110 (__DATA,__data) non-external _.compoundliteral.44
000000021a99f790 (__DATA,__data) non-external _.compoundliteral.76
000000021e90b228 (__AUTH_CONST,__const) non-external _ABIs
00000002176b07d0 (__DATA_CONST,__const) non-external _ARCHIVE_SECTIONS
00000001e513ec88 (__TEXT,__text) non-external (was a private external) _AddArray
00000001e51574a4 (__TEXT,__text) non-external _AddAtomFixed
00000001e513ed38 (__TEXT,__text) non-external (was a private external) _AddBinding
00000001e513f04c (__TEXT,__text) non-external (was a private external) _AddConstant
00000001e51b1bdc (__TEXT,__text) non-external _AddConstantParam
00000001e513fc08 (__TEXT,__text) non-external (was a private external) _AddOp
00000001e51b534c (__TEXT,__text) non-external _AddOpToJumpTable
00000001e513f19c (__TEXT,__text) non-external (was a private external) _AddOpv
00000001e515c4fc (__TEXT,__text) non-external (was a private external) _AddSymbol
00000001e513f03c (__TEXT,__text) non-external (was a private external) _AddTemp
00000001e51ae05c (__TEXT,__text) non-external _AddTempRegister
00000001e51aaa28 (__TEXT,__text) non-external (was a private external) _BackCopyPropagationSimple
00000001e51a1354 (__TEXT,__text) non-external (was a private external) _BitSetAndEquals
00000001e51a13e0 (__TEXT,__text) non-external (was a private external) _BitSetAndNotEquals
00000001e51a10a4 (__TEXT,__text) non-external (was a private external) _BitSetClearEquals
00000001e51a0eb4 (__TEXT,__text) non-external (was a private external) _BitSetClone
00000001e51a0ef8 (__TEXT,__text) non-external (was a private external) _BitSetCloneWithAllocator
00000001e51a0f34 (__TEXT,__text) non-external (was a private external) _BitSetCopyEquals
00000001e51a14f8 (__TEXT,__text) non-external (was a private external) _BitSetEqualsTest
00000001e51a11dc (__TEXT,__text) non-external (was a private external) _BitSetFirstSetBit
00000001e51a0fb8 (__TEXT,__text) non-external (was a private external) _BitSetFree
00000001e51a100c (__TEXT,__text) non-external (was a private external) _BitSetGetEquals
00000001e51a1004 (__TEXT,__text) non-external (was a private external) _BitSetGetSizeInBits
00000001e51a1254 (__TEXT,__text) non-external (was a private external) _BitSetLastSetBit
00000001e51a0c88 (__TEXT,__text) non-external (was a private external) _BitSetNew
00000001e51a0cc0 (__TEXT,__text) non-external (was a private external) _BitSetNewWithAllocator
00000001e51a11e4 (__TEXT,__text) non-external (was a private external) _BitSetNextSetBit
00000001e51a12b8 (__TEXT,__text) non-external (was a private external) _BitSetOr
00000001e51a146c (__TEXT,__text) non-external (was a private external) _BitSetOrEquals
00000001e51a125c (__TEXT,__text) non-external (was a private external) _BitSetPreviousSetBit
00000001e51a1054 (__TEXT,__text) non-external (was a private external) _BitSetSetEquals
00000001e51a10f4 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEquals
00000001e51a0dc4 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEqualsInternal
00000001e51a1154 (__TEXT,__text) non-external (was a private external) _BitSetSetSizeEquals
00000001e51ac5d0 (__TEXT,__text) non-external (was a private external) _BlockAdd
00000001e51ad050 (__TEXT,__text) non-external (was a private external) _BlockAddSuccessor
00000001e51ac698 (__TEXT,__text) non-external (was a private external) _BlockFree
00000001e51aca00 (__TEXT,__text) non-external (was a private external) _Blockify
00000001e51ad0d8 (__TEXT,__text) non-external (was a private external) _BlocksFree
00000001e51a9c48 (__TEXT,__text) non-external (was a private external) _BuildGenKill
00000001e51a9ef4 (__TEXT,__text) non-external (was a private external) _BuildInterferenceSets
00000001e51a9df0 (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00000001e5158344 (__TEXT,__text) non-external _CPPelse
00000001e5158fc0 (__TEXT,__text) non-external _CPPerror
00000001e5159228 (__TEXT,__text) non-external _CPPextension
00000001e5158610 (__TEXT,__text) non-external _CPPif
00000001e5158710 (__TEXT,__text) non-external _CPPifdef
00000001e515889c (__TEXT,__text) non-external _CPPinclude
00000001e5158b48 (__TEXT,__text) non-external _CPPline
00000001e5158d2c (__TEXT,__text) non-external _CPPpragma
00000001e5158f08 (__TEXT,__text) non-external _CPPundef
00000001e51590dc (__TEXT,__text) non-external _CPPversion
00000001e51b5520 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00000001e51b3b10 (__TEXT,__text) non-external _ClearDestedOpRegisters
00000001e51b54d8 (__TEXT,__text) non-external _ClearJumpTable
00000001e51b3aa8 (__TEXT,__text) non-external _ClearRegisterState
00000001e51b1d48 (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00000001e51aa854 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00000001e51b2064 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00000001e51ae230 (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00000001e513ff8c (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00000001e51afa8c (__TEXT,__text) non-external _EmulateOp
00000001e51b3a48 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00000001e51b3a00 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00000001e5157604 (__TEXT,__text) non-external _FindHashLoc
00000001e51b584c (__TEXT,__text) non-external _FindMatchingAvailableCopy
00000001e513ec14 (__TEXT,__text) non-external (was a private external) _FinishType
00000001e51ad3d8 (__TEXT,__text) non-external (was a private external) _FlattenIf
00000001e51ad230 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00000001e515759c (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00000001e5157950 (__TEXT,__text) non-external (was a private external) _FreeCPP
00000001e515a438 (__TEXT,__text) non-external (was a private external) _FreeScanner
00000001e50924e4 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00000001e509750c (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00000002176b1410 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00000001e51d2714 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
000000021cf6c8b8 (__AUTH,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00000001e51d1f68 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00000002176b3450 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00000001e51d2724 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00000001e51d1f18 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00000001e51571e0 (__TEXT,__text) non-external (was a private external) _GetAtomString
00000001e51af048 (__TEXT,__text) non-external _GetOpRegs
00000001e51acfbc (__TEXT,__text) non-external _GetOrAddBlock
00000001e51b1ff0 (__TEXT,__text) non-external _GetRegChunk
00000001e51ab7b4 (__TEXT,__text) non-external _GetRegister
00000001e51b3950 (__TEXT,__text) non-external _GetRegisterIndicies
00000001e51ae0f8 (__TEXT,__text) non-external _GetRegisterTypeInfo
00000001e5157254 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00000001e51b57d0 (__TEXT,__text) non-external _GetStreamArray
00000001e5157588 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00000001e51573d4 (__TEXT,__text) non-external _GrowAtomTable
000000021a99cdc8 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00000001e51a9654 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00000001e51a95d8 (__TEXT,__text) non-external (was a private external) _HashSetFree
00000001e51a9768 (__TEXT,__text) non-external (was a private external) _HashSetGet
00000001e51a98c8 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00000001e51a98c0 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00000001e51a9524 (__TEXT,__text) non-external (was a private external) _HashSetNew
00000001e51a980c (__TEXT,__text) non-external (was a private external) _HashSetRemove
00000001e51a9a40 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00000001e51a9998 (__TEXT,__text) non-external (was a private external) _HashTableFree
00000001e51a9b9c (__TEXT,__text) non-external (was a private external) _HashTableGet
00000001e51a993c (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00000001e515727c (__TEXT,__text) non-external (was a private external) _InitAtomTable
00000001e515777c (__TEXT,__text) non-external (was a private external) _InitCPP
00000001e513ec60 (__TEXT,__text) non-external (was a private external) _InitReg
00000001e515a3e4 (__TEXT,__text) non-external (was a private external) _InitScanner
00000001e51abd28 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00000001e51ac580 (__TEXT,__text) non-external (was a private external) _InstructionFree
