00007ffa1c8997ed (__TEXT,__text) non-external +[NFPromise new]
00007ffa1c89ad21 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00007ffa1c89ab4e (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00007ffa1c89ab2b (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00007ffa1c89ab08 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00007ffa1c89aa3e (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00007ffa1c89aabb (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00007ffa1c89aa6b (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00007ffa1c89c346 (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00007ffa1c89be68 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00007ffa1c89f2aa (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00007ffa1c89795a (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00007ffa1c8990b0 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00007ffa1c89913c (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00007ffa1c8991ca (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00007ffa1c899270 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00007ffa1c89af50 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00007ffa1c89aecf (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00007ffa1c89e56c (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00007ffa1c89e4eb (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00007ffa1c8975f3 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00007ffa1c8977f8 (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00007ffa1c89748b (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00007ffa1c896d51 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00007ffa1c897477 (__TEXT,__text) non-external -[NFEventManager events]
00007ffa1c896585 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00007ffa1c89e7ee (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00007ffa1c89720b (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00007ffa1c896f35 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00007ffa1c896510 (__TEXT,__text) non-external -[NFEventManager init]
00007ffa1c8967c2 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00007ffa1c89e9b0 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00007ffa1c896bb4 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00007ffa1c89ec53 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00007ffa1c896ae6 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00007ffa1c89eb72 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00007ffa1c896630 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00007ffa1c89e8cf (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00007ffa1c896951 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00007ffa1c89ea91 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
