000000018c00fe9c (__TEXT,__const) non-external _DOWNCASE_TBL
000000018c00f69c (__TEXT,__const) non-external _SF_BYTESEQ_CHARS
000000018c00ee9c (__TEXT,__const) non-external _SF_DQUOTE_CHARS
000000018c00fa9c (__TEXT,__const) non-external _SF_KEY_CHARS
000000018c00f29c (__TEXT,__const) non-external _SF_TOKEN_CHARS
000000018c01099c (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
000000018c01049c (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
000000018c00ff9c (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
000000018c01089c (__TEXT,__const) non-external _VALID_METHOD_CHARS
000000018c01039c (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018bffd464 (__TEXT,__text) non-external _active_outbound_item_reset
000000018c0022f4 (__TEXT,__text) non-external _add_hd_table_incremental
000000018c005cf0 (__TEXT,__text) non-external _bubble_down
000000018c005c74 (__TEXT,__text) non-external _bubble_up
000000018bffd38c (__TEXT,__text) non-external _buf_chain_new
000000018c005edc (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000018bffd240 (__TEXT,__text) non-external _default_calloc
000000018bffd600 (__TEXT,__text) non-external _default_free
000000018bffd2dc (__TEXT,__text) non-external _default_malloc
000000018bffd460 (__TEXT,__text) non-external _default_realloc
000000018c001d58 (__TEXT,__text) non-external _emit_indname_block
000000018c001ee4 (__TEXT,__text) non-external _emit_string
000000018c004b68 (__TEXT,__text) non-external _emit_table_size
000000018c008008 (__TEXT,__text) non-external _find_stream_on_goaway_func
000000018c002628 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
000000018c0075cc (__TEXT,__text) non-external _free_streams
000000018c008788 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
000000018c0049c0 (__TEXT,__text) non-external _hd_context_free
000000018c002eec (__TEXT,__text) non-external _hd_context_shrink_table_size
000000018c005b48 (__TEXT,__text) non-external _hd_get_table_entry
000000018c003e00 (__TEXT,__text) non-external _hd_inflate_commit_indname
000000018c003ec0 (__TEXT,__text) non-external _hd_inflate_commit_newname
000000018c003d1c (__TEXT,__text) non-external _hd_inflate_read_huff
000000018c003c08 (__TEXT,__text) non-external _hd_inflate_read_len
000000018c004a50 (__TEXT,__text) non-external _hd_ringbuf_get
000000018c00ae58 (__TEXT,__const) non-external _huff_decode_table
000000018c00a650 (__TEXT,__const) non-external _huff_sym_table
000000018c0005a8 (__TEXT,__text) non-external _insert
000000018c0050ac (__TEXT,__text) non-external _insert_link_dep
000000018c000f0c (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
00000001dba1e838 (__AUTH,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
000000018bffdeac (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
000000018bffd74c (__TEXT,__text) non-external _nghttp2_bufs_add
000000018c0025c8 (__TEXT,__text) non-external _nghttp2_bufs_addb
000000018c004afc (__TEXT,__text) non-external _nghttp2_bufs_free
000000018c00a498 (__TEXT,__text) external _nghttp2_check_authority
000000018bffc984 (__TEXT,__text) external _nghttp2_check_header_name
000000018bffc9d0 (__TEXT,__text) external _nghttp2_check_header_value
000000018c00a3b0 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
000000018c00a430 (__TEXT,__text) external _nghttp2_check_method
000000018c00a464 (__TEXT,__text) external _nghttp2_check_path
000000018c0027d4 (__TEXT,__text) non-external _nghttp2_frame_add_pad
000000018c005394 (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
000000018c00077c (__TEXT,__text) non-external _nghttp2_frame_pack_headers
000000018c0052b4 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
000000018c00074c (__TEXT,__text) external _nghttp2_hd_deflate_bound
000000018c002ea4 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
000000018c00597c (__TEXT,__text) external _nghttp2_hd_deflate_del
000000018c005ba4 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
000000018c005bac (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
000000018c005b38 (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
000000018c005b44 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
000000018c00564c (__TEXT,__text) external _nghttp2_hd_deflate_hd
000000018c0008a0 (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
000000018c005754 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
000000018bffd244 (__TEXT,__text) non-external _nghttp2_hd_deflate_init2
000000018c0058ec (__TEXT,__text) external _nghttp2_hd_deflate_new
000000018c0058f4 (__TEXT,__text) external _nghttp2_hd_deflate_new2
000000018c005544 (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
000000018c005af4 (__TEXT,__text) external _nghttp2_hd_inflate_del
000000018c003f68 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
000000018c004aa4 (__TEXT,__text) non-external _nghttp2_hd_inflate_free
000000018c005bc4 (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
000000018c005bcc (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
000000018c005bb4 (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
000000018c005bc0 (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
000000018c0059c0 (__TEXT,__text) external _nghttp2_hd_inflate_hd
000000018c0059c4 (__TEXT,__text) external _nghttp2_hd_inflate_hd2
000000018c003584 (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
000000018bffd2e0 (__TEXT,__text) non-external _nghttp2_hd_inflate_init
000000018c005a6c (__TEXT,__text) external _nghttp2_hd_inflate_new
000000018c005a74 (__TEXT,__text) external _nghttp2_hd_inflate_new2
000000018c0021c4 (__TEXT,__text) non-external _nghttp2_hd_table_get
000000018c00a4cc (__TEXT,__text) external _nghttp2_http2_strerror
000000018c00681c (__TEXT,__text) non-external _nghttp2_http_on_request_headers
000000018c003fa8 (__TEXT,__text) non-external _nghttp2_http_on_response_headers
000000018c005ff4 (__TEXT,__text) non-external _nghttp2_http_parse_priority
000000018c000650 (__TEXT,__text) non-external _nghttp2_http_record_request_method
000000018c00a024 (__TEXT,__text) non-external _nghttp2_increase_local_window_size
000000018c0072b0 (__TEXT,__text) external _nghttp2_is_fatal
000000018bffdb40 (__TEXT,__text) non-external _nghttp2_iv_check
000000018bffde20 (__TEXT,__text) non-external _nghttp2_map_find
000000018bffe250 (__TEXT,__text) non-external _nghttp2_nv_array_copy
000000018c0054b4 (__TEXT,__text) external _nghttp2_nv_compare_name
000000018bff957c (__TEXT,__text) external _nghttp2_option_del
000000018bff9488 (__TEXT,__text) external _nghttp2_option_new
000000018c004e14 (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
000000018c004e84 (__TEXT,__text) external _nghttp2_option_set_max_deflate_dynamic_table_size
000000018c004e98 (__TEXT,__text) external _nghttp2_option_set_max_outbound_ack
000000018c004dc8 (__TEXT,__text) external _nghttp2_option_set_max_reserved_remote_streams
000000018c004e70 (__TEXT,__text) external _nghttp2_option_set_max_send_header_block_length
000000018c004eac (__TEXT,__text) external _nghttp2_option_set_max_settings
000000018c004e5c (__TEXT,__text) external _nghttp2_option_set_no_auto_ping_ack
000000018bff94c4 (__TEXT,__text) external _nghttp2_option_set_no_auto_window_update
000000018bff9510 (__TEXT,__text) external _nghttp2_option_set_no_closed_streams
000000018bff94e8 (__TEXT,__text) external _nghttp2_option_set_no_http_messaging
000000018bff94fc (__TEXT,__text) external _nghttp2_option_set_no_http_semantics
000000018c004db4 (__TEXT,__text) external _nghttp2_option_set_no_recv_client_magic
000000018c004ed4 (__TEXT,__text) external _nghttp2_option_set_no_rfc9113_leading_and_trailing_ws_validation
000000018bff94d8 (__TEXT,__text) external _nghttp2_option_set_peer_max_concurrent_streams
