                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
000000025aaf0330 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000025aaf0dac (__TEXT,__const) external _libopenpam
000000025aaf0850 (__TEXT,__text) external _misc_conv
000000025aaf055c (__TEXT,__text) external _pam_acct_mgmt
000000025aaf0464 (__TEXT,__text) external _pam_authenticate
000000025aaf05d8 (__TEXT,__text) external _pam_chauthtok
000000025aaf06d0 (__TEXT,__text) external _pam_close_session
000000025aaf03f0 (__TEXT,__text) external _pam_end
000000025aaf0a98 (__TEXT,__text) external _pam_get_data
000000025aaf07cc (__TEXT,__text) external _pam_get_item
000000025aaf0cc8 (__TEXT,__text) external _pam_get_pass
000000025aaf0ba8 (__TEXT,__text) external _pam_get_user
000000025aaf09c0 (__TEXT,__text) external _pam_getenv
000000025aaf0a30 (__TEXT,__text) external _pam_getenvlist
000000025aaf0658 (__TEXT,__text) external _pam_open_session
000000025aaf0c2c (__TEXT,__text) external _pam_prompt
000000025aaf094c (__TEXT,__text) external _pam_putenv
000000025aaf0b1c (__TEXT,__text) external _pam_set_data
000000025aaf0748 (__TEXT,__text) external _pam_set_item
000000025aaf04e0 (__TEXT,__text) external _pam_setcred
000000025aaf0364 (__TEXT,__text) external _pam_start
000000025aaf08dc (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
000000025aaf02d0 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
000000025aaf02e0 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
000000025aaf032c (__TEXT,__text) external _xlate_pam_shim_item_type
000000025aaf0308 (__TEXT,__text) external _xlate_pam_shim_retval
000000025aaf02f4 (__TEXT,__text) external _xlate_pam_shim_session_flags
000000025aaf0300 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
