                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80d97f4eb (__TEXT,__text) external ___cmph_dump
00007ff80d97f547 (__TEXT,__text) external ___cmph_load
00007ff80d97f4e1 (__TEXT,__text) external ___config_destroy
00007ff80d97f4ac (__TEXT,__text) external ___config_new
00007ff80d98225b (__TEXT,__text) non-external ___jenkins_hash_vector
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80d97589b (__TEXT,__text) external _bdz_config_destroy
00007ff80d975868 (__TEXT,__text) external _bdz_config_new
00007ff80d9758a9 (__TEXT,__text) external _bdz_config_set_b
00007ff80d9758c4 (__TEXT,__text) external _bdz_config_set_hashfuncs
00007ff80d976816 (__TEXT,__text) external _bdz_destroy
00007ff80d976402 (__TEXT,__text) external _bdz_dump
00007ff80d976af3 (__TEXT,__text) non-external _bdz_dump_graph
00007ff80d976549 (__TEXT,__text) external _bdz_load
00007ff80d983db0 (__TEXT,__const) external _bdz_lookup_table
00007ff80d9758d8 (__TEXT,__text) external _bdz_new
00007ff80d976853 (__TEXT,__text) external _bdz_pack
00007ff80d9768fd (__TEXT,__text) external _bdz_packed_size
00007ff80d976ba2 (__TEXT,__text) external _bdz_ph_config_destroy
00007ff80d976b7a (__TEXT,__text) external _bdz_ph_config_new
00007ff80d98315d (__TEXT,__text) non-external _bdz_ph_config_new.cold.1
00007ff80d976bb0 (__TEXT,__text) external _bdz_ph_config_set_hashfuncs
00007ff80d9778c3 (__TEXT,__text) external _bdz_ph_destroy
00007ff80d9775cf (__TEXT,__text) external _bdz_ph_dump
00007ff80d977ae9 (__TEXT,__text) non-external _bdz_ph_dump_graph
00007ff80d9776bb (__TEXT,__text) external _bdz_ph_load
00007ff80d976bc3 (__TEXT,__text) external _bdz_ph_new
00007ff80d9778f7 (__TEXT,__text) external _bdz_ph_pack
