00007ffc08ed2507 (__TEXT,__text) non-external +[CSSearchableIndex(PSUAdditions) psu_criticalIndexWithName:protectionClass:bundleIdentifier:]
00007ffc08ed249b (__TEXT,__text) non-external +[PSUCurrentActivityManager sharedInstance]
00007ffc08ed2cac (__TEXT,__text) non-external +[PSUSummarizationPipeline sharedPipelineWithContactStore:incomingBundleId:]
00007ffc08ed1b2f (__TEXT,__text) non-external -[PSUCurrentActivityManager _hasLayoutInfo]
00007ffc08ed1b3a (__TEXT,__text) non-external -[PSUCurrentActivityManager _isAppVisibleWithBundleId:]
00007ffc08ed1a03 (__TEXT,__text) non-external -[PSUCurrentActivityManager _visibilityForAppWithBundleId:completionHandler:]
00007ffc08ed1917 (__TEXT,__text) non-external -[PSUCurrentActivityManager dealloc]
00007ffc08ed1946 (__TEXT,__text) non-external -[PSUCurrentActivityManager fetchUserActivityContentIdentifiersForBundleId:completionHandler:]
00007ffc08ed18e2 (__TEXT,__text) non-external -[PSUCurrentActivityManager init]
00007ffc08ed1911 (__TEXT,__text) non-external -[PSUCurrentActivityManager prewarm]
00007ffc08ed0d4c (__TEXT,__text) non-external -[PSUIntentMessageHistorySearcher recentMessagesSinceDate:conversationIdentifier:appBundleId:incomingMessageID:limit:options:completionHandler:]
00007ffc08ed2972 (__TEXT,__text) non-external -[PSUModeConfigurationService .cxx_destruct]
00007ffc08ed280f (__TEXT,__text) non-external -[PSUModeConfigurationService _updateModesWithIntelligentBreakthroughEnabled]
00007ffc08ed2777 (__TEXT,__text) non-external -[PSUModeConfigurationService doesModeHaveIntelligentBreakthroughEnabled:]
00007ffc08ed2610 (__TEXT,__text) non-external -[PSUModeConfigurationService init]
00007ffc08ed2765 (__TEXT,__text) non-external -[PSUModeConfigurationService modeConfigurationService:didReceiveAvailableModesUpdate:]
00007ffc08ed2c9c (__TEXT,__text) non-external -[PSUSummarizationPipeline .cxx_destruct]
00007ffc08ed2c86 (__TEXT,__text) non-external -[PSUSummarizationPipeline handleDeletionOfItemsWithIdentifiers:bundleIdentifier:]
00007ffc08ed2bee (__TEXT,__text) non-external -[PSUSummarizationPipeline initWithContactStore:]
00007ffc08ed2c70 (__TEXT,__text) non-external -[PSUSummarizationPipeline processSearchableItem:]
