                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80dd658f2 (__TEXT,__text) non-external _au_assemble
00007ff80dd66d6e (__TEXT,__text) external _au_bsm_to_domain
00007ff80dd71ef5 (__TEXT,__text) external _au_bsm_to_errno
00007ff80dd71fa3 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80dd6e06c (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80dd65b49 (__TEXT,__text) external _au_close
00007ff80dd65bfa (__TEXT,__text) external _au_close_buffer
00007ff80dd65cba (__TEXT,__text) external _au_close_token
00007ff80dd65827 (__TEXT,__text) external _au_close_with_errors
00007ff8436f95c4 (__DATA,__bss) non-external _au_cond
00007ff80dd66d43 (__TEXT,__text) external _au_domain_to_bsm
00007ff80dd71ec7 (__TEXT,__text) external _au_errno_to_bsm
00007ff80dd71f78 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80dd652a7 (__TEXT,__text) external _au_fetch_tok
00007ff80dd65635 (__TEXT,__text) external _au_free_token
00007ff80dd6df6b (__TEXT,__text) external _au_get_state
00007ff80dd6decb (__TEXT,__text) external _au_notify_initialize
00007ff80dd6df52 (__TEXT,__text) external _au_notify_terminate
00007ff80dd6565f (__TEXT,__text) external _au_open
00007ff8413774c0 (__DATA_CONST,__const) non-external _au_polstr
00007ff80dd6612d (__TEXT,__text) external _au_poltostr
00007ff80dd6dcc1 (__TEXT,__text) external _au_preselect
00007ff80dd68b1c (__TEXT,__text) external _au_print_flags_tok
00007ff80dd6cf54 (__TEXT,__text) external _au_print_tok
00007ff80dd6cf6e (__TEXT,__text) external _au_print_tok_xml
00007ff80dd67649 (__TEXT,__text) external _au_print_xml_footer
00007ff80dd67608 (__TEXT,__text) external _au_print_xml_header
00007ff80dd6cf8e (__TEXT,__text) external _au_read_rec
00007ff80dd71e87 (__TEXT,__text) external _au_sdev_close
00007ff80dd71eba (__TEXT,__text) external _au_sdev_fd
00007ff80dd64e6f (__TEXT,__text) external _au_sdev_open
00007ff80dd64f42 (__TEXT,__text) external _au_sdev_read_aia
00007ff8413775b0 (__DATA_CONST,__const) non-external _au_sflagsstr
00007ff80dd66296 (__TEXT,__text) external _au_sflagstostr
00007ff80dd6e041 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80dd6680f (__TEXT,__text) non-external _au_spacetobytes
00007ff80dd71f34 (__TEXT,__text) external _au_strerror
00007ff80dd661d0 (__TEXT,__text) external _au_strtopol
00007ff80dd66336 (__TEXT,__text) external _au_strtosflags
00007ff80dd65a9e (__TEXT,__text) non-external _au_teardown
00007ff80dd6e26a (__TEXT,__text) external _au_to_arg
00007ff80dd6e077 (__TEXT,__text) external _au_to_arg32
00007ff80dd6e15b (__TEXT,__text) external _au_to_arg64
00007ff80dd700a3 (__TEXT,__text) external _au_to_certificate_hash
00007ff80dd6e274 (__TEXT,__text) external _au_to_data
00007ff80dd6ff60 (__TEXT,__text) external _au_to_exec_args
00007ff80dd70094 (__TEXT,__text) external _au_to_exec_env
00007ff80dd6e359 (__TEXT,__text) external _au_to_exit
00007ff80dd6e888 (__TEXT,__text) external _au_to_file
00007ff80dd6e3fc (__TEXT,__text) external _au_to_groups
00007ff80dd70799 (__TEXT,__text) external _au_to_header
