00007ff81073d7c1 (__TEXT,__const) non-external _KW_ANY
00007ff81073d725 (__TEXT,__const) non-external _KW_ATTLIST
00007ff81073d774 (__TEXT,__const) non-external _KW_CDATA
00007ff81073d708 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff81073d72d (__TEXT,__const) non-external _KW_ELEMENT
00007ff81073d7bb (__TEXT,__const) non-external _KW_EMPTY
00007ff81073d78a (__TEXT,__const) non-external _KW_ENTITIES
00007ff81073d71e (__TEXT,__const) non-external _KW_ENTITY
00007ff81073d7b5 (__TEXT,__const) non-external _KW_FIXED
00007ff81073d77a (__TEXT,__const) non-external _KW_ID
00007ff81073d77d (__TEXT,__const) non-external _KW_IDREF
00007ff81073d783 (__TEXT,__const) non-external _KW_IDREFS
00007ff81073d746 (__TEXT,__const) non-external _KW_IGNORE
00007ff81073d7a4 (__TEXT,__const) non-external _KW_IMPLIED
00007ff81073d73e (__TEXT,__const) non-external _KW_INCLUDE
00007ff81073dee0 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff81073d74d (__TEXT,__const) non-external _KW_NDATA
00007ff81073d793 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff81073d79b (__TEXT,__const) non-external _KW_NMTOKENS
00007ff81073d735 (__TEXT,__const) non-external _KW_NOTATION
00007ff81073d7c5 (__TEXT,__const) non-external _KW_PCDATA
00007ff81073d717 (__TEXT,__const) non-external _KW_PUBLIC
00007ff81073d7ac (__TEXT,__const) non-external _KW_REQUIRED
00007ff81073d710 (__TEXT,__const) non-external _KW_SYSTEM
00007ff81073deeb (__TEXT,__const) non-external _KW_US_ASCII
00007ff81073defa (__TEXT,__const) non-external _KW_UTF_16
00007ff81073df01 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff81073df0a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff81073def4 (__TEXT,__const) non-external _KW_UTF_8
00007ff81073df21 (__TEXT,__const) non-external _KW_encoding
00007ff81073df39 (__TEXT,__const) non-external _KW_no
00007ff81073df2a (__TEXT,__const) non-external _KW_standalone
00007ff81073df19 (__TEXT,__const) non-external _KW_version
00007ff81073df35 (__TEXT,__const) non-external _KW_yes
00007ff810726d7e (__TEXT,__text) external _XML_DefaultCurrent
00007ff810726e99 (__TEXT,__text) external _XML_ErrorString
00007ff810726eba (__TEXT,__text) external _XML_ExpatVersion
00007ff810726ec7 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff8107253eb (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff810726d24 (__TEXT,__text) external _XML_FreeContentModel
00007ff8107261e2 (__TEXT,__text) external _XML_GetBase
00007ff81072662f (__TEXT,__text) external _XML_GetBuffer
00007ff810726c10 (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff810726be7 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff810726cce (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff810726c75 (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff810726bd0 (__TEXT,__text) external _XML_GetErrorCode
00007ff810726edc (__TEXT,__text) external _XML_GetFeatureList
00007ff84158e640 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff81072620e (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff810726c39 (__TEXT,__text) external _XML_GetInputContext
00007ff810726baf (__TEXT,__text) external _XML_GetParsingStatus
00007ff81073d0c4 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
