                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80cdb96ed (__TEXT,__text) non-external _au_assemble
00007ff80cdbab69 (__TEXT,__text) external _au_bsm_to_domain
00007ff80cdc5f04 (__TEXT,__text) external _au_bsm_to_errno
00007ff80cdc5fb2 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80cdc2433 (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80cdb9944 (__TEXT,__text) external _au_close
00007ff80cdb99f5 (__TEXT,__text) external _au_close_buffer
00007ff80cdb9ab5 (__TEXT,__text) external _au_close_token
00007ff80cdb9622 (__TEXT,__text) external _au_close_with_errors
00007ff84246f2a4 (__DATA,__bss) non-external _au_cond
00007ff80cdbab3e (__TEXT,__text) external _au_domain_to_bsm
00007ff80cdc5ed6 (__TEXT,__text) external _au_errno_to_bsm
00007ff80cdc5f87 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80cdb90ab (__TEXT,__text) external _au_fetch_tok
00007ff80cdb9439 (__TEXT,__text) external _au_free_token
00007ff80cdc2332 (__TEXT,__text) external _au_get_state
00007ff80cdc2292 (__TEXT,__text) external _au_notify_initialize
00007ff80cdc2319 (__TEXT,__text) external _au_notify_terminate
00007ff80cdb9463 (__TEXT,__text) external _au_open
00007ff84246deb0 (__DATA,__const) non-external _au_polstr
00007ff80cdb9f28 (__TEXT,__text) external _au_poltostr
00007ff80cdc20ad (__TEXT,__text) external _au_preselect
00007ff80cdbcf08 (__TEXT,__text) external _au_print_flags_tok
00007ff80cdc1340 (__TEXT,__text) external _au_print_tok
00007ff80cdc135a (__TEXT,__text) external _au_print_tok_xml
00007ff80cdbb459 (__TEXT,__text) external _au_print_xml_footer
00007ff80cdbb418 (__TEXT,__text) external _au_print_xml_header
00007ff80cdc137a (__TEXT,__text) external _au_read_rec
00007ff80cdc5e96 (__TEXT,__text) external _au_sdev_close
