0000000191d65128 (__TEXT,__const) non-external _KW_ANY
0000000191d650ad (__TEXT,__const) non-external _KW_ATTLIST
0000000191d650db (__TEXT,__const) non-external _KW_CDATA
0000000191d65090 (__TEXT,__const) non-external _KW_DOCTYPE
0000000191d650b5 (__TEXT,__const) non-external _KW_ELEMENT
0000000191d65122 (__TEXT,__const) non-external _KW_EMPTY
0000000191d650f1 (__TEXT,__const) non-external _KW_ENTITIES
0000000191d650a6 (__TEXT,__const) non-external _KW_ENTITY
0000000191d6511c (__TEXT,__const) non-external _KW_FIXED
0000000191d650e1 (__TEXT,__const) non-external _KW_ID
0000000191d650e4 (__TEXT,__const) non-external _KW_IDREF
0000000191d650ea (__TEXT,__const) non-external _KW_IDREFS
0000000191d650ce (__TEXT,__const) non-external _KW_IGNORE
0000000191d6510b (__TEXT,__const) non-external _KW_IMPLIED
0000000191d650c6 (__TEXT,__const) non-external _KW_INCLUDE
0000000191d65838 (__TEXT,__const) non-external _KW_ISO_8859_1
0000000191d650d5 (__TEXT,__const) non-external _KW_NDATA
0000000191d650fa (__TEXT,__const) non-external _KW_NMTOKEN
0000000191d65102 (__TEXT,__const) non-external _KW_NMTOKENS
0000000191d650bd (__TEXT,__const) non-external _KW_NOTATION
0000000191d6512c (__TEXT,__const) non-external _KW_PCDATA
0000000191d6509f (__TEXT,__const) non-external _KW_PUBLIC
0000000191d65113 (__TEXT,__const) non-external _KW_REQUIRED
0000000191d65098 (__TEXT,__const) non-external _KW_SYSTEM
0000000191d65843 (__TEXT,__const) non-external _KW_US_ASCII
0000000191d65852 (__TEXT,__const) non-external _KW_UTF_16
0000000191d65859 (__TEXT,__const) non-external _KW_UTF_16BE
0000000191d65862 (__TEXT,__const) non-external _KW_UTF_16LE
0000000191d6584c (__TEXT,__const) non-external _KW_UTF_8
0000000191d65879 (__TEXT,__const) non-external _KW_encoding
0000000191d65891 (__TEXT,__const) non-external _KW_no
0000000191d65882 (__TEXT,__const) non-external _KW_standalone
0000000191d65871 (__TEXT,__const) non-external _KW_version
0000000191d6588d (__TEXT,__const) non-external _KW_yes
0000000191d4e8c0 (__TEXT,__text) external _XML_DefaultCurrent
0000000191d4e9f0 (__TEXT,__text) external _XML_ErrorString
0000000191d4ea14 (__TEXT,__text) external _XML_ExpatVersion
0000000191d4ea20 (__TEXT,__text) external _XML_ExpatVersionInfo
0000000191d4d02c (__TEXT,__text) external _XML_ExternalEntityParserCreate
0000000191d4e86c (__TEXT,__text) external _XML_FreeContentModel
0000000191d4dd08 (__TEXT,__text) external _XML_GetBase
0000000191d4e09c (__TEXT,__text) external _XML_GetBuffer
0000000191d4e750 (__TEXT,__text) external _XML_GetCurrentByteCount
0000000191d4e72c (__TEXT,__text) external _XML_GetCurrentByteIndex
0000000191d4e814 (__TEXT,__text) external _XML_GetCurrentColumnNumber
0000000191d4e7b8 (__TEXT,__text) external _XML_GetCurrentLineNumber
0000000191d4e718 (__TEXT,__text) external _XML_GetErrorCode
0000000191d4ea30 (__TEXT,__text) external _XML_GetFeatureList
00000001e6c74198 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
0000000191d4dd28 (__TEXT,__text) external _XML_GetIdAttributeIndex
0000000191d4e778 (__TEXT,__text) external _XML_GetInputContext
0000000191d4e6f4 (__TEXT,__text) external _XML_GetParsingStatus
0000000191d64c8c (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
0000000191d4dd14 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
0000000191d4e8ac (__TEXT,__text) external _XML_MemFree
0000000191d4e880 (__TEXT,__text) external _XML_MemMalloc
0000000191d4e894 (__TEXT,__text) external _XML_MemRealloc
0000000191d4df00 (__TEXT,__text) external _XML_Parse
0000000191d64c34 (__TEXT,__text) non-external _XML_Parse.cold.1
0000000191d4e2d4 (__TEXT,__text) external _XML_ParseBuffer
0000000191d4c5f0 (__TEXT,__text) external _XML_ParserCreate
0000000191d4c610 (__TEXT,__text) external _XML_ParserCreateNS
0000000191d4c604 (__TEXT,__text) external _XML_ParserCreate_MM
0000000191d4d724 (__TEXT,__text) external _XML_ParserFree
0000000191d4ca0c (__TEXT,__text) external _XML_ParserReset
0000000191d4e608 (__TEXT,__text) external _XML_ResumeParser
0000000191d4eabc (__TEXT,__text) external _XML_SetAllocTrackerActivationThreshold
0000000191d4ea8c (__TEXT,__text) external _XML_SetAllocTrackerMaximumAmplification
0000000191d4de80 (__TEXT,__text) external _XML_SetAttlistDeclHandler
0000000191d4dc54 (__TEXT,__text) external _XML_SetBase
0000000191d4ea6c (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
0000000191d4ea3c (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
0000000191d4dd84 (__TEXT,__text) external _XML_SetCdataSectionHandler
0000000191d4dd60 (__TEXT,__text) external _XML_SetCharacterDataHandler
0000000191d4dd78 (__TEXT,__text) external _XML_SetCommentHandler
0000000191d4dda8 (__TEXT,__text) external _XML_SetDefaultHandler
0000000191d4ddb8 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
0000000191d4ddcc (__TEXT,__text) external _XML_SetDoctypeDeclHandler
0000000191d4de74 (__TEXT,__text) external _XML_SetElementDeclHandler
0000000191d4dd3c (__TEXT,__text) external _XML_SetElementHandler
0000000191d4cf44 (__TEXT,__text) external _XML_SetEncoding
0000000191d4dd9c (__TEXT,__text) external _XML_SetEndCdataSectionHandler
0000000191d4dde4 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
0000000191d4dd54 (__TEXT,__text) external _XML_SetEndElementHandler
0000000191d4de20 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
