000000018b9ea310 (__TEXT,__text) external _BZ2_bzBuffToBuffCompress
000000018b9e9260 (__TEXT,__text) external _BZ2_bzBuffToBuffDecompress
000000018b9ea600 (__TEXT,__text) external _BZ2_bzCompress
000000018b9ea78c (__TEXT,__text) external _BZ2_bzCompressEnd
000000018b9ea418 (__TEXT,__text) external _BZ2_bzCompressInit
000000018b9e9448 (__TEXT,__text) external _BZ2_bzDecompress
000000018b9ea28c (__TEXT,__text) external _BZ2_bzDecompressEnd
000000018b9e9370 (__TEXT,__text) external _BZ2_bzDecompressInit
000000018b9ed7f8 (__TEXT,__text) external _BZ2_bzRead
000000018b9ed750 (__TEXT,__text) external _BZ2_bzReadClose
000000018b9eda00 (__TEXT,__text) external _BZ2_bzReadGetUnused
000000018b9ed5c8 (__TEXT,__text) external _BZ2_bzReadOpen
000000018b9ed264 (__TEXT,__text) external _BZ2_bzWrite
000000018b9ed3ac (__TEXT,__text) external _BZ2_bzWriteClose
000000018b9ed3bc (__TEXT,__text) external _BZ2_bzWriteClose64
000000018b9ed120 (__TEXT,__text) external _BZ2_bzWriteOpen
000000018b9edd6c (__TEXT,__text) external _BZ2_bzclose
000000018b9edcb4 (__TEXT,__text) external _BZ2_bzdopen
000000018b9ede30 (__TEXT,__text) external _BZ2_bzerror
000000018b9edd64 (__TEXT,__text) external _BZ2_bzflush
000000018b9eccb4 (__TEXT,__text) external _BZ2_bzlibVersion
000000018b9eda74 (__TEXT,__text) external _BZ2_bzopen
000000018b9edcc8 (__TEXT,__text) external _BZ2_bzread
000000018b9edd18 (__TEXT,__text) external _BZ2_bzwrite
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _ungetc (from libSystem)
