                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
00007ff81603ea87 (__TEXT,__text) external __cg_jcopy_block_row
00007ff81603ea31 (__TEXT,__text) external __cg_jcopy_sample_rows
00007ff81605edec (__TEXT,__text) external __cg_jinit_1pass_quantizer
00007ff8160359e1 (__TEXT,__text) external __cg_jinit_2pass_quantizer
00007ff81603e11f (__TEXT,__text) external __cg_jinit_c_coef_controller
00007ff81603eaa0 (__TEXT,__text) external __cg_jinit_c_main_controller
00007ff81604a742 (__TEXT,__text) external __cg_jinit_c_master_control
00007ff81603ec77 (__TEXT,__text) external __cg_jinit_c_prep_controller
00007ff816034b40 (__TEXT,__text) external __cg_jinit_color_converter
00007ff81603d664 (__TEXT,__text) external __cg_jinit_color_deconverter
00007ff816034a29 (__TEXT,__text) external __cg_jinit_compress_master
00007ff816049581 (__TEXT,__text) external __cg_jinit_d_coef_controller
00007ff81604befc (__TEXT,__text) external __cg_jinit_d_main_controller
00007ff81604cb3c (__TEXT,__text) external __cg_jinit_d_post_controller
00007ff816056c21 (__TEXT,__text) external __cg_jinit_downsampler
00007ff81603cc97 (__TEXT,__text) external __cg_jinit_forward_dct
00007ff816057fcd (__TEXT,__text) external __cg_jinit_huff_decoder
00007ff81605befc (__TEXT,__text) external __cg_jinit_huff_encoder
00007ff81603fe3b (__TEXT,__text) external __cg_jinit_input_controller
00007ff81603533e (__TEXT,__text) external __cg_jinit_inverse_dct
00007ff81603717e (__TEXT,__text) external __cg_jinit_marker_reader
00007ff81605ac83 (__TEXT,__text) external __cg_jinit_marker_writer
00007ff81604ba07 (__TEXT,__text) external __cg_jinit_master_decompress
00007ff81605ff73 (__TEXT,__text) external __cg_jinit_memory_mgr
00007ff816057943 (__TEXT,__text) external __cg_jinit_merged_upsampler
00007ff81604c5f4 (__TEXT,__text) external __cg_jinit_upsampler
00007ff81605683b (__TEXT,__text) external __cg_jpeg_CreateCompress
00007ff81603f380 (__TEXT,__text) external __cg_jpeg_CreateDecompress
00007ff8160398d4 (__TEXT,__text) external __cg_jpeg_abort
00007ff816056971 (__TEXT,__text) external __cg_jpeg_abort_compress
00007ff81603f479 (__TEXT,__text) external __cg_jpeg_abort_decompress
00007ff816048aa0 (__TEXT,__text) external __cg_jpeg_add_quant_table
00007ff816039961 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
00007ff816039944 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
00007ff81604b700 (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
00007ff81603f4f2 (__TEXT,__text) external __cg_jpeg_consume_input
00007ff81605a6bd (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
00007ff816048e6e (__TEXT,__text) external __cg_jpeg_default_colorspace
00007ff816039916 (__TEXT,__text) external __cg_jpeg_destroy
00007ff816056967 (__TEXT,__text) external __cg_jpeg_destroy_compress
00007ff81603f46f (__TEXT,__text) external __cg_jpeg_destroy_decompress
00007ff81605f95c (__TEXT,__text) external __cg_jpeg_fdct_float
00007ff81605a1ea (__TEXT,__text) external __cg_jpeg_fdct_ifast
00007ff81604d5a4 (__TEXT,__text) external __cg_jpeg_fdct_islow
00007ff8160569ce (__TEXT,__text) external __cg_jpeg_finish_compress
00007ff81603f7f6 (__TEXT,__text) external __cg_jpeg_finish_decompress
00007ff81605be72 (__TEXT,__text) external __cg_jpeg_finish_output
00007ff81603afa4 (__TEXT,__text) external __cg_jpeg_free_large
00007ff81603af85 (__TEXT,__text) external __cg_jpeg_free_small
00007ff81603af92 (__TEXT,__text) external __cg_jpeg_get_large
00007ff81603af73 (__TEXT,__text) external __cg_jpeg_get_small
00007ff81603f7b9 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
00007ff816041c0b (__TEXT,__text) external __cg_jpeg_idct_1x1
00007ff816041b57 (__TEXT,__text) external __cg_jpeg_idct_2x2
00007ff816041811 (__TEXT,__text) external __cg_jpeg_idct_4x4
00007ff81604d064 (__TEXT,__text) external __cg_jpeg_idct_float
00007ff81603c7a1 (__TEXT,__text) external __cg_jpeg_idct_ifast
00007ff8160408ee (__TEXT,__text) external __cg_jpeg_idct_islow
00007ff81603f77c (__TEXT,__text) external __cg_jpeg_input_complete
00007ff81603afb1 (__TEXT,__text) external __cg_jpeg_mem_available
00007ff81603b1e7 (__TEXT,__text) external __cg_jpeg_mem_init
00007ff81603b1f2 (__TEXT,__text) external __cg_jpeg_mem_term
00007ff8160616c0 (__TEXT,__const) external __cg_jpeg_natural_order
00007ff81604b98d (__TEXT,__text) external __cg_jpeg_new_colormap
00007ff81603afc2 (__TEXT,__text) external __cg_jpeg_open_backing_store
