                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffd1f5bd502 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffd1f5bdcf0 (__TEXT,__const) external _libopenpam
00007ffd1f5bd900 (__TEXT,__text) external _misc_conv
00007ffd1f5bd6b4 (__TEXT,__text) external _pam_acct_mgmt
00007ffd1f5bd5ec (__TEXT,__text) external _pam_authenticate
00007ffd1f5bd718 (__TEXT,__text) external _pam_chauthtok
00007ffd1f5bd7d9 (__TEXT,__text) external _pam_close_session
00007ffd1f5bd598 (__TEXT,__text) external _pam_end
00007ffd1f5bdaa6 (__TEXT,__text) external _pam_get_data
00007ffd1f5bd89b (__TEXT,__text) external _pam_get_item
00007ffd1f5bdc51 (__TEXT,__text) external _pam_get_pass
00007ffd1f5bdb75 (__TEXT,__text) external _pam_get_user
00007ffd1f5bda0d (__TEXT,__text) external _pam_getenv
00007ffd1f5bda5c (__TEXT,__text) external _pam_getenvlist
00007ffd1f5bd77c (__TEXT,__text) external _pam_open_session
00007ffd1f5bdbda (__TEXT,__text) external _pam_prompt
00007ffd1f5bd9b7 (__TEXT,__text) external _pam_putenv
00007ffd1f5bdb0b (__TEXT,__text) external _pam_set_data
00007ffd1f5bd836 (__TEXT,__text) external _pam_set_item
00007ffd1f5bd650 (__TEXT,__text) external _pam_setcred
00007ffd1f5bd52e (__TEXT,__text) external _pam_start
00007ffd1f5bd96a (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffd1f5bd490 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffd1f5bd4a5 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffd1f5bd4fa (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffd1f5bd4d7 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffd1f5bd4ba (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffd1f5bd4ca (__TEXT,__text) external _xlate_pam_shim_setcred_flags
