00007ff8400abdb0 (__DATA,__data) non-external _C
00007ff8400b8a38 (__DATA,__bss) non-external _EMSG
00007ff8400b8a39 (__DATA,__bss) non-external _EMSG
00007ff8400add58 (__DATA,__bss) non-external _NXArgc_pointer
00007ff8400add50 (__DATA,__bss) non-external _NXArgv_pointer
00007ff800b6c962 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff800b6c999 (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff800b6ca99 (__TEXT,__text) non-external __BIG5_mbsinit
00007ff800b6ca5a (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff8400770f0 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840077110 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff8400771b8 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840077400 (__DATA_CONST,__const) non-external __C_time_locale
00007ff8400ac640 (__DATA,__data) external __CurrentRuneLocale
00007ff8400acec8 (__DATA,__constrw) external __DefaultRuneLocale
00007ff8400adb50 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff800b6eb29 (__TEXT,__text) non-external (was a private external) __EUC_CN_init
00007ff800b6eb8f (__TEXT,__text) non-external __EUC_CN_mbrtowc
00007ff800b6ebd5 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
00007ff800b6ebb3 (__TEXT,__text) non-external __EUC_CN_wcrtomb
00007ff800b6ebdf (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
00007ff800b6ecc3 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
00007ff800b6ed29 (__TEXT,__text) non-external __EUC_JP_mbrtowc
00007ff800b6ed7e (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
00007ff800b6ed53 (__TEXT,__text) non-external __EUC_JP_wcrtomb
00007ff800b6ed88 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
00007ff800b6ec03 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
00007ff800b6ec69 (__TEXT,__text) non-external __EUC_KR_mbrtowc
00007ff800b6ecaf (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
00007ff800b6ec8d (__TEXT,__text) non-external __EUC_KR_wcrtomb
00007ff800b6ecb9 (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
00007ff800b6edf8 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
00007ff800b6ee5e (__TEXT,__text) non-external __EUC_TW_mbrtowc
00007ff800b6eeb0 (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
00007ff800b6ee88 (__TEXT,__text) non-external __EUC_TW_wcrtomb
00007ff800b6eeba (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
00007ff800b6ed92 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff800b6eec4 (__TEXT,__text) non-external __EUC_mbrtowc_impl
00007ff800b6ebe9 (__TEXT,__text) non-external __EUC_mbsinit
00007ff800b6efe1 (__TEXT,__text) non-external __EUC_wcrtomb_impl
00007ff800b967b4 (__TEXT,__text) external __Exit
00007ff800b6f1a4 (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff800b6f1db (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff800b6f415 (__TEXT,__text) non-external __GB18030_mbsinit
00007ff800b6f324 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff800b6f42e (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff800b6f465 (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff800b6f5a6 (__TEXT,__text) non-external __GB2312_mbsinit
00007ff800b6f567 (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff800b6f5bf (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff800b6f5f6 (__TEXT,__text) non-external __GBK_mbrtowc
00007ff800b6f6f6 (__TEXT,__text) non-external __GBK_mbsinit
00007ff800b6f6b7 (__TEXT,__text) non-external __GBK_wcrtomb
00007ff800b70cc9 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff800b70d00 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff800b70f2c (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff800b70dcf (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff800b5524a (__TEXT,__text) external __NSGetArgc
00007ff800b5523d (__TEXT,__text) external __NSGetArgv
00007ff800b55257 (__TEXT,__text) external __NSGetEnviron
00007ff800b55271 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff800b55264 (__TEXT,__text) external __NSGetProgname
00007ff8400b8b38 (__DATA,__common) external __PathLocale
