                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80ea2af25 (__TEXT,__text) external ___absvdi2
00007ff80ea2af58 (__TEXT,__text) external ___absvsi2
00007ff80ea2af81 (__TEXT,__text) external ___absvti2
00007ff80ea2afc1 (__TEXT,__text) external ___addvdi3
00007ff80ea2b007 (__TEXT,__text) external ___addvsi3
00007ff80ea2b049 (__TEXT,__text) external ___addvti3
00007ff80ea2b0a6 (__TEXT,__text) external ___ashldi3
00007ff80ea2b0d2 (__TEXT,__text) external ___ashlti3
00007ff80ea2b0fa (__TEXT,__text) external ___ashrdi3
00007ff80ea2b12b (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff80ea2b3c4 (__TEXT,__text) external ___atomic_compare_exchange
00007ff80ea2b904 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff80ea2b950 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff80ea2b99c (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff80ea2b9e8 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff80ea2b604 (__TEXT,__text) external ___atomic_exchange
00007ff80ea2b836 (__TEXT,__text) external ___atomic_exchange_1
00007ff80ea2b86c (__TEXT,__text) external ___atomic_exchange_2
00007ff80ea2b8a0 (__TEXT,__text) external ___atomic_exchange_4
00007ff80ea2b8d0 (__TEXT,__text) external ___atomic_exchange_8
00007ff80ea2ba34 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff80ea2ba6c (__TEXT,__text) external ___atomic_fetch_add_2
00007ff80ea2baa0 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff80ea2bad4 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff80ea2bbe4 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff80ea2bc5c (__TEXT,__text) external ___atomic_fetch_and_2
00007ff80ea2bcdc (__TEXT,__text) external ___atomic_fetch_and_4
00007ff80ea2bd4c (__TEXT,__text) external ___atomic_fetch_and_8
00007ff80ea2bdd0 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff80ea2be48 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff80ea2bec8 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff80ea2bf38 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff80ea2bb08 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff80ea2bb40 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff80ea2bb78 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff80ea2bbac (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff80ea2bfbc (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff80ea2c034 (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff80ea2c0b4 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff80ea2c124 (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff80ea2b15c (__TEXT,__text) external ___atomic_is_lock_free
00007ff80ea2b1b0 (__TEXT,__text) external ___atomic_load
00007ff80ea2b7b0 (__TEXT,__text) external ___atomic_load_1
