00000001ad53ae50 (__TEXT,__text) non-external +[Caller current]
00000001ad53b3f8 (__TEXT,__text) non-external +[Caller pathFromPid:]
00000001ad53d7ec (__TEXT,__text) non-external +[DaemonUtils _enumAllSubrequirements:processingBlock:]
00000001ad53d8d4 (__TEXT,__text) non-external +[DaemonUtils _isNonUiExtensionPointIdentifier:]
00000001ad53d3c4 (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus]
00000001ad558c04 (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus].cold.1
00000001ad53d4ac (__TEXT,__text) non-external +[DaemonUtils _updateWithDFRStatus:source:]
00000001ad53c93c (__TEXT,__text) non-external +[DaemonUtils callerDisplayNameWithPid:auditToken:bundleId:]
00000001ad53cbc4 (__TEXT,__text) non-external +[DaemonUtils callerIdWithPid:auditToken:]
00000001ad53e19c (__TEXT,__text) non-external +[DaemonUtils canCallToDependencies]
00000001ad53d300 (__TEXT,__text) non-external +[DaemonUtils deviceHasAtLeastSimulatedDFR]
00000001ad53d23c (__TEXT,__text) non-external +[DaemonUtils deviceHasDFR]
00000001ad53da8c (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl]
00000001ad558cb0 (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl].cold.1
00000001ad53d94c (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP]
00000001ad558c70 (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP].cold.1
00000001ad53d5e8 (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDFR]
00000001ad53ddb8 (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDoublePressHW]
00000001ad53de64 (__TEXT,__text) non-external +[DaemonUtils deviceHasSpecialTouchID]
00000001ad53dee8 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchIDAndSecureDoublePress]
00000001ad53dbcc (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID]
00000001ad558cf0 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID].cold.1
00000001ad53de9c (__TEXT,__text) non-external +[DaemonUtils deviceIsPoseidon]
00000001ad53dd0c (__TEXT,__text) non-external +[DaemonUtils deviceSupportsSecureDoubleClick]
00000001ad53d5cc (__TEXT,__text) non-external +[DaemonUtils dfrHardwarePresent]
00000001ad53d5b8 (__TEXT,__text) non-external +[DaemonUtils dfrPresent]
00000001ad53d5dc (__TEXT,__text) non-external +[DaemonUtils dfrStatus]
00000001ad53e108 (__TEXT,__text) non-external +[DaemonUtils dispatchOnServer:]
00000001ad53df34 (__TEXT,__text) non-external +[DaemonUtils dispatchReallyAfter:tolerance:queue:block:]
00000001ad53e094 (__TEXT,__text) non-external +[DaemonUtils dispatchSyncOnMain:]
00000001ad53cfcc (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:]
00000001ad558af4 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.1
00000001ad558b40 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.2
00000001ad558b8c (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.3
00000001ad558bb8 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.4
00000001ad53cecc (__TEXT,__text) non-external +[DaemonUtils isClosedLidPreventingUseOfTouchID]
00000001ad53cc84 (__TEXT,__text) non-external +[DaemonUtils isLidClosed]
00000001ad558a5c (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.1
00000001ad558a88 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.2
00000001ad558ab4 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.3
00000001ad53c8dc (__TEXT,__text) non-external +[DaemonUtils queue]
00000001ad53c82c (__TEXT,__text) non-external +[DaemonUtils sharedInstance]
00000001ad558a34 (__TEXT,__text) non-external +[DaemonUtils sharedInstance].cold.1
00000001ad5391dc (__TEXT,__text) non-external +[EvaluationRequest current]
00000001ad53a238 (__TEXT,__text) non-external +[EvaluationRequest isApplePayPolicy:]
00000001ad537ba0 (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance]
00000001ad5587d0 (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance].cold.1
00000001ad531938 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage]
00000001ad558258 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage].cold.1
00000001ad531010 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod activePersistentInstances]
00000001ad5529d4 (__TEXT,__text) non-external +[LASIORemoteCall call]
00000001ad555314 (__TEXT,__text) non-external +[LASecureIO secureIO]
00000001ad547448 (__TEXT,__text) non-external +[LASecureIOArchive createArchiveFromPath:]
00000001ad546f08 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:]
00000001ad547894 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.1
00000001ad547904 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.2
00000001ad547974 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.3
00000001ad5479e4 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.4
00000001ad547a54 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.5
00000001ad545888 (__TEXT,__text) non-external +[LASecureIOAsset asset]
00000001ad545620 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetButtonAction:]
00000001ad545f90 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetButtonAction:].cold.1
