                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80eb16f25 (__TEXT,__text) external ___absvdi2
00007ff80eb16f58 (__TEXT,__text) external ___absvsi2
00007ff80eb16f81 (__TEXT,__text) external ___absvti2
00007ff80eb16fc1 (__TEXT,__text) external ___addvdi3
00007ff80eb17007 (__TEXT,__text) external ___addvsi3
00007ff80eb17049 (__TEXT,__text) external ___addvti3
00007ff80eb170a6 (__TEXT,__text) external ___ashldi3
00007ff80eb170d2 (__TEXT,__text) external ___ashlti3
00007ff80eb170fa (__TEXT,__text) external ___ashrdi3
00007ff80eb1712b (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff80eb173c4 (__TEXT,__text) external ___atomic_compare_exchange
00007ff80eb17904 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff80eb17950 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff80eb1799c (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff80eb179e8 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff80eb17604 (__TEXT,__text) external ___atomic_exchange
00007ff80eb17836 (__TEXT,__text) external ___atomic_exchange_1
00007ff80eb1786c (__TEXT,__text) external ___atomic_exchange_2
00007ff80eb178a0 (__TEXT,__text) external ___atomic_exchange_4
00007ff80eb178d0 (__TEXT,__text) external ___atomic_exchange_8
00007ff80eb17a34 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff80eb17a6c (__TEXT,__text) external ___atomic_fetch_add_2
00007ff80eb17aa0 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff80eb17ad4 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff80eb17be4 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff80eb17c5c (__TEXT,__text) external ___atomic_fetch_and_2
00007ff80eb17cdc (__TEXT,__text) external ___atomic_fetch_and_4
00007ff80eb17d4c (__TEXT,__text) external ___atomic_fetch_and_8
00007ff80eb17dd0 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff80eb17e48 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff80eb17ec8 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff80eb17f38 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff80eb17b08 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff80eb17b40 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff80eb17b78 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff80eb17bac (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff80eb17fbc (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff80eb18034 (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff80eb180b4 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff80eb18124 (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff80eb1715c (__TEXT,__text) external ___atomic_is_lock_free
00007ff80eb171b0 (__TEXT,__text) external ___atomic_load
00007ff80eb177b0 (__TEXT,__text) external ___atomic_load_1
00007ff80eb177c1 (__TEXT,__text) external ___atomic_load_2
00007ff80eb177d3 (__TEXT,__text) external ___atomic_load_4
00007ff80eb177e1 (__TEXT,__text) external ___atomic_load_8
00007ff80eb172ac (__TEXT,__text) external ___atomic_store
00007ff80eb177f0 (__TEXT,__text) external ___atomic_store_1
00007ff80eb17802 (__TEXT,__text) external ___atomic_store_2
00007ff80eb17814 (__TEXT,__text) external ___atomic_store_4
