00007ff8004449e0 (__TEXT,__text) external _NSAddImage
00007ff8004449aa (__TEXT,__text) external _NSAddLibrary
00007ff8004449c5 (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff80044451d (__TEXT,__text) external _NSAddressOfSymbol
00007ff800444799 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff80044449a (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff8004447b7 (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff8004444db (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff800444996 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff800444822 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff800444893 (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff8004448cc (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff8004448ae (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff80044485b (__TEXT,__text) external _NSLibraryNameForModule
00007ff800444972 (__TEXT,__text) external _NSLinkEditError
00007ff8004444bb (__TEXT,__text) external _NSLinkModule
00007ff8004448ea (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff800444905 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff800444923 (__TEXT,__text) external _NSLookupSymbolInImage
00007ff8004444ff (__TEXT,__text) external _NSLookupSymbolInModule
00007ff800444957 (__TEXT,__text) external _NSModuleForSymbol
00007ff800444840 (__TEXT,__text) external _NSNameOfModule
00007ff800444943 (__TEXT,__text) external _NSNameOfSymbol
00007ff8004447d2 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff8004447e6 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff8004447fa (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff80044480e (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff800444876 (__TEXT,__text) external _NSUnLinkModule
00007ff800443602 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff80044384e (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff843801780 (__DATA_DIRTY,__common) external _NXArgc
00007ff843801788 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff800443434 (__TEXT,__text) external __NSGetExecutablePath
00007ff80045b6d2 (__TEXT,__text) non-external (was a private external) __Z10bytesToHexPKhmPc
00007ff800455523 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00007ff800461cc5 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN5dyld38PlatformERKNS_11GradedArchsES3_bU13block_pointerFvPK11mach_headerymE
00007ff800462056 (__TEXT,__text) non-external __ZL27launchableOnCurrentPlatformPKN5dyld39MachOFileE
00007ff8004446b2 (__TEXT,__text) non-external __ZL28legacyDyldLookup4OldBinariesPKcPPv
00007ff800444f69 (__TEXT,__text) non-external __ZL43_dyld_make_delayed_module_initializer_callsv
00007ff840032470 (__DATA_CONST,__const) non-external __ZL8sHelpers
00007ff800444554 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
00007ff8004445b4 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
00007ff800444578 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcP13__va_list_tag
00007ff800443e6c (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00007ff800442fd8 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
00007ff80044315e (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00007ff800455430 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
00007ff8004553a6 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
00007ff800455392 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00007ff80045550e (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
00007ff800445dcf (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
00007ff800454008 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11mappingNameEjy
00007ff8004543ec (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
00007ff800455ae0 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
00007ff80045659a (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff8004570c4 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff800455b60 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base15copySegmentNameEPKc
00007ff800455848 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base23addInfoFromLoadCommandsEPK11mach_headerym
