00007ff805222b4d (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff805222b0f (__TEXT,__text) external _CreateLSTMData
00007ff8052229c4 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff805222ced (__TEXT,__text) external _DeleteLSTMData
00007ff805222d1e (__TEXT,__text) external _LSTMDataName
00007ff805202959 (__TEXT,__text) external _T_CString_int64ToString
00007ff8052028aa (__TEXT,__text) external _T_CString_integerToString
00007ff805202a0d (__TEXT,__text) external _T_CString_stringToInteger
00007ff805202847 (__TEXT,__text) external _T_CString_toLowerCase
00007ff80520287a (__TEXT,__text) external _T_CString_toUpperCase
00007ff805267e1d (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff805267bbe (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff805267ab6 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff805267cf7 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff8052683cb (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff805268379 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff805267bb8 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff80526839b (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00007ff8052864f6 (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff80528df68 (__TEXT,__text) external __Z15ulocimp_getNamePKcR10UErrorCode
00007ff80528e003 (__TEXT,__text) external __Z15ulocimp_getNamePKcRN3icu8ByteSinkER10UErrorCode
00007ff80528f4e0 (__TEXT,__text) external __Z16ulocimp_toBcpKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff80528db69 (__TEXT,__text) external __Z17ulocimp_getParentPKcR10UErrorCode
00007ff80528dc02 (__TEXT,__text) external __Z17ulocimp_getParentPKcRN3icu8ByteSinkER10UErrorCode
00007ff80528cd93 (__TEXT,__text) external __Z17ulocimp_getRegionPKcR10UErrorCode
00007ff80528ccef (__TEXT,__text) external __Z17ulocimp_getScriptPKcR10UErrorCode
00007ff8052902d8 (__TEXT,__text) external __Z17ulocimp_toBcpTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff80528ceda (__TEXT,__text) external __Z18ulocimp_getSubtagsPKcPN3icu10CharStringES3_S3_S3_PS0_R10UErrorCode
00007ff80528d080 (__TEXT,__text) external __Z18ulocimp_getSubtagsPKcPN3icu8ByteSinkES3_S3_S3_PS0_R10UErrorCode
00007ff80528ce37 (__TEXT,__text) external __Z18ulocimp_getVariantPKcR10UErrorCode
00007ff80528e904 (__TEXT,__text) external __Z19ulocimp_getBaseNamePKcR10UErrorCode
00007ff80528e9a2 (__TEXT,__text) external __Z19ulocimp_getBaseNamePKcRN3icu8ByteSinkER10UErrorCode
00007ff80528b7e0 (__TEXT,__text) external __Z19ulocimp_getKeywordsPKccRN3icu8ByteSinkEbR10UErrorCode
00007ff80528b737 (__TEXT,__text) external __Z19ulocimp_getKeywordsPKccbR10UErrorCode
00007ff80528cc4b (__TEXT,__text) external __Z19ulocimp_getLanguagePKcR10UErrorCode
00007ff805290289 (__TEXT,__text) external __Z19ulocimp_toLegacyKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff80528ea4f (__TEXT,__text) external __Z20ulocimp_canonicalizePKcR10UErrorCode
00007ff80528eaed (__TEXT,__text) external __Z20ulocimp_canonicalizePKcRN3icu8ByteSinkER10UErrorCode
00007ff8052904d8 (__TEXT,__text) external __Z20ulocimp_toLegacyTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff805291463 (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcRN3icu8ByteSinkEbR10UErrorCode
00007ff8052913bf (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcbR10UErrorCode
00007ff8052926ea (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciPiR10UErrorCode
