00007ff80df23d02 (__TEXT,__text) non-external _Annihilate
00007ff80df6994a (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
00007ff80df699be (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
00007ff80df69984 (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
00007ff80df6adf7 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80df6b64a (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80df699f8 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80df23afb (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80df4720b (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80df14b08 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80df23ddf (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80df14d0b (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80df682fc (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80df68cb4 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80df14f7c (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80df2c0cc (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80df3c2c2 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80df3cfc4 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80df3b5c0 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80df3b9c3 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80df3c6c5 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80df3acc1 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80df1d610 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80df1ee5e (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80df2053c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80df21c1a (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
