00007ff8128099a5 (__TEXT,__const) non-external _KW_ANY
00007ff812809909 (__TEXT,__const) non-external _KW_ATTLIST
00007ff812809958 (__TEXT,__const) non-external _KW_CDATA
00007ff8128098ec (__TEXT,__const) non-external _KW_DOCTYPE
00007ff812809911 (__TEXT,__const) non-external _KW_ELEMENT
00007ff81280999f (__TEXT,__const) non-external _KW_EMPTY
00007ff81280996e (__TEXT,__const) non-external _KW_ENTITIES
00007ff812809902 (__TEXT,__const) non-external _KW_ENTITY
00007ff812809999 (__TEXT,__const) non-external _KW_FIXED
00007ff81280995e (__TEXT,__const) non-external _KW_ID
00007ff812809961 (__TEXT,__const) non-external _KW_IDREF
00007ff812809967 (__TEXT,__const) non-external _KW_IDREFS
00007ff81280992a (__TEXT,__const) non-external _KW_IGNORE
00007ff812809988 (__TEXT,__const) non-external _KW_IMPLIED
00007ff812809922 (__TEXT,__const) non-external _KW_INCLUDE
00007ff81280a0c0 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff812809931 (__TEXT,__const) non-external _KW_NDATA
00007ff812809977 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff81280997f (__TEXT,__const) non-external _KW_NMTOKENS
00007ff812809919 (__TEXT,__const) non-external _KW_NOTATION
00007ff8128099a9 (__TEXT,__const) non-external _KW_PCDATA
00007ff8128098fb (__TEXT,__const) non-external _KW_PUBLIC
00007ff812809990 (__TEXT,__const) non-external _KW_REQUIRED
00007ff8128098f4 (__TEXT,__const) non-external _KW_SYSTEM
00007ff81280a0cb (__TEXT,__const) non-external _KW_US_ASCII
00007ff81280a0da (__TEXT,__const) non-external _KW_UTF_16
00007ff81280a0e1 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff81280a0ea (__TEXT,__const) non-external _KW_UTF_16LE
00007ff81280a0d4 (__TEXT,__const) non-external _KW_UTF_8
00007ff81280a101 (__TEXT,__const) non-external _KW_encoding
00007ff81280a119 (__TEXT,__const) non-external _KW_no
00007ff81280a10a (__TEXT,__const) non-external _KW_standalone
00007ff81280a0f9 (__TEXT,__const) non-external _KW_version
00007ff81280a115 (__TEXT,__const) non-external _KW_yes
00007ff8127f29f6 (__TEXT,__text) external _XML_DefaultCurrent
00007ff8127f2b11 (__TEXT,__text) external _XML_ErrorString
00007ff8127f2b32 (__TEXT,__text) external _XML_ExpatVersion
00007ff8127f2b3f (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff8127f0f66 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff8127f299b (__TEXT,__text) external _XML_FreeContentModel
00007ff8127f1dd9 (__TEXT,__text) external _XML_GetBase
00007ff8127f2231 (__TEXT,__text) external _XML_GetBuffer
00007ff8127f288a (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff8127f2861 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff8127f2945 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff8127f28ec (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff8127f2849 (__TEXT,__text) external _XML_GetErrorCode
00007ff8127f2b54 (__TEXT,__text) external _XML_GetFeatureList
00007ff84157a710 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff8127f1e07 (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff8127f28b3 (__TEXT,__text) external _XML_GetInputContext
00007ff8127f282b (__TEXT,__text) external _XML_GetParsingStatus
00007ff812809214 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff8127f1def (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff8127f29e1 (__TEXT,__text) external _XML_MemFree
00007ff8127f29b0 (__TEXT,__text) external _XML_MemMalloc
00007ff8127f29c7 (__TEXT,__text) external _XML_MemRealloc
00007ff8127f20a9 (__TEXT,__text) external _XML_Parse
00007ff8128091ce (__TEXT,__text) non-external _XML_Parse.cold.1
00007ff8127f2447 (__TEXT,__text) external _XML_ParseBuffer
00007ff8127f0528 (__TEXT,__text) external _XML_ParserCreate
00007ff8127f0544 (__TEXT,__text) external _XML_ParserCreateNS
00007ff8127f0538 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff8127f1877 (__TEXT,__text) external _XML_ParserFree
00007ff8127f085f (__TEXT,__text) external _XML_ParserReset
00007ff8127f2758 (__TEXT,__text) external _XML_ResumeParser
00007ff8127f2013 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff8127f1d31 (__TEXT,__text) external _XML_SetBase
00007ff8127f2b9b (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff8127f2b61 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff8127f1e8c (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff8127f1e56 (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff8127f1e7a (__TEXT,__text) external _XML_SetCommentHandler
00007ff8127f1ec9 (__TEXT,__text) external _XML_SetDefaultHandler
00007ff8127f1ee2 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff8127f1efb (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff8127f2001 (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff8127f1e1f (__TEXT,__text) external _XML_SetElementHandler
00007ff8127f0ec0 (__TEXT,__text) external _XML_SetEncoding
00007ff8127f1eb7 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff8127f1f26 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
