00007ff812eb2540 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff812eb23b0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff812eb3040 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS.383
00007ff812eb2b40 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff812eb2640 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff812eb2f40 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff812eb2a40 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff812ead810 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff812ead830 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff812e9dca0 (__TEXT,__text) non-external _active_outbound_item_reset
00007ff812ea279c (__TEXT,__text) non-external _add_hd_table_incremental
00007ff812ea5bd1 (__TEXT,__text) non-external _bubble_down
00007ff812ea5b71 (__TEXT,__text) non-external _bubble_up
00007ff812e9dbc0 (__TEXT,__text) non-external _buf_chain_new
00007ff812ea71b8 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _clock_gettime (from libSystem)
00007ff812e9dac1 (__TEXT,__text) non-external _default_calloc
00007ff812e9de17 (__TEXT,__text) non-external _default_free
00007ff812e9dad8 (__TEXT,__text) non-external _default_malloc
00007ff812e9dc90 (__TEXT,__text) non-external _default_realloc
00007ff812ea22be (__TEXT,__text) non-external _emit_indname_block
00007ff812ea23fc (__TEXT,__text) non-external _emit_string
00007ff812ea4d3a (__TEXT,__text) non-external _emit_table_size
00007ff812ea2adc (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff812ea890b (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff812ea4be4 (__TEXT,__text) non-external _hd_context_free
00007ff812ea34a3 (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff812ea58f3 (__TEXT,__text) non-external _hd_get_table_entry
00007ff812ea432f (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff812ea43f2 (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff812ea4234 (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff812ea4114 (__TEXT,__text) non-external _hd_inflate_read_len
00007ff812ea4c4a (__TEXT,__text) non-external _hd_ringbuf_get
00007ff812eae1d0 (__TEXT,__const) non-external _huff_decode_table
00007ff812ead9c0 (__TEXT,__const) non-external _huff_sym_table
00007ff812ea1737 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ff812ea5106 (__TEXT,__text) non-external _map_insert
00007ff812ea501d (__TEXT,__text) non-external _map_resize
00007ff843766710 (__DATA_DIRTY,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff812e9e76c (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00007ff812e9dff2 (__TEXT,__text) non-external _nghttp2_bufs_add
00007ff812ea2a91 (__TEXT,__text) non-external _nghttp2_bufs_addb
00007ff812ea4cd7 (__TEXT,__text) non-external _nghttp2_bufs_free
00007ff812ead7b4 (__TEXT,__text) external _nghttp2_check_authority
00007ff812e9d0e4 (__TEXT,__text) external _nghttp2_check_header_name
00007ff812e9d126 (__TEXT,__text) external _nghttp2_check_header_value
00007ff812ead707 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
00007ff812ead754 (__TEXT,__text) external _nghttp2_check_method
00007ff812ead783 (__TEXT,__text) external _nghttp2_check_path
00007ff812ea5adc (__TEXT,__text) external _nghttp2_extpri_parse_priority
00007ff812ea2c78 (__TEXT,__text) non-external _nghttp2_frame_add_pad
00007ff812ea0fb6 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
00007ff812ea527d (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
00007ff812ea0f89 (__TEXT,__text) external _nghttp2_hd_deflate_bound
00007ff812ea3464 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
00007ff812ea579a (__TEXT,__text) external _nghttp2_hd_deflate_del
00007ff812ea5938 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
00007ff812ea5942 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
00007ff812ea58db (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
00007ff812ea58e9 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
00007ff812ea53ef (__TEXT,__text) external _nghttp2_hd_deflate_hd
