00007ffa43dd5b70 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa43dd5ab0 (__DATA,__data) non-external _TIMEOUT
00007ffa43dd5ac0 (__DATA,__data) non-external _TIMEOUT
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffa1fccfbc0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa1fccfbe0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memmove_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffa1fccc172 (__TEXT,__text) non-external __buf
00007ffa1fcda93d (__TEXT,__text) non-external __buf.cold.1
00007ffa1fcda9e4 (__TEXT,__text) non-external __buf.cold.2
00007ffa1fccc050 (__TEXT,__text) external __newrpclib___rpc_createerr
00007ffa1fcda748 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.1
00007ffa1fcda7ef (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.2
00007ffa1fcd06ee (__TEXT,__text) external __newrpclib__authenticate
00007ffa1fcdb448 (__TEXT,__text) non-external __newrpclib__authenticate.cold.1
00007ffa1fcdb4f6 (__TEXT,__text) non-external __newrpclib__authenticate.cold.2
00007ffa1fcdb5a4 (__TEXT,__text) non-external __newrpclib__authenticate.cold.3
00007ffa43dd5ca0 (__DATA,__common) external __newrpclib__null_auth
00007ffa1fcd0389 (__TEXT,__text) external __newrpclib__seterr_reply
00007ffa1fcca8fc (__TEXT,__text) external __newrpclib_authnone_create
00007ffa1fcda215 (__TEXT,__text) non-external __newrpclib_authnone_create.cold.1
00007ffa1fccaa60 (__TEXT,__text) external __newrpclib_authunix_create
00007ffa1fcda2bc (__TEXT,__text) non-external __newrpclib_authunix_create.cold.1
00007ffa1fcda357 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.2
00007ffa1fcda3f2 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.3
00007ffa1fcda4a0 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.4
00007ffa1fccadbf (__TEXT,__text) external __newrpclib_authunix_create_default
00007ffa1fcda5e9 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.1
00007ffa1fcda697 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.2
00007ffa1fcca6e0 (__TEXT,__text) external __newrpclib_callrpc
00007ffa1fccf900 (__TEXT,__text) external __newrpclib_clnt_broadcast
00007ffa1fccb3f7 (__TEXT,__text) external __newrpclib_clnt_create
00007ffa1fccb1e2 (__TEXT,__text) external __newrpclib_clnt_create_timeout
00007ffa1fccb548 (__TEXT,__text) external __newrpclib_clnt_multicasts_buf_timeout
00007ffa1fccc798 (__TEXT,__text) external __newrpclib_clnt_pcreateerror
00007ffa1fccc50d (__TEXT,__text) external __newrpclib_clnt_perrno
00007ffa1fccc420 (__TEXT,__text) external __newrpclib_clnt_perror
00007ffa1fccc54f (__TEXT,__text) external __newrpclib_clnt_spcreateerror
00007ffa1fccc4db (__TEXT,__text) external __newrpclib_clnt_sperrno
00007ffa1fccc139 (__TEXT,__text) external __newrpclib_clnt_sperror
00007ffa1fccc824 (__TEXT,__text) external __newrpclib_clntraw_create
00007ffa1fcdab32 (__TEXT,__text) non-external __newrpclib_clntraw_create.cold.1
00007ffa1fccd8a5 (__TEXT,__text) external __newrpclib_clnttcp_create
00007ffa1fcdb27f (__TEXT,__text) non-external __newrpclib_clnttcp_create.cold.1
00007ffa1fccd781 (__TEXT,__text) external __newrpclib_clnttcp_create_sa
00007ffa1fcdb149 (__TEXT,__text) non-external __newrpclib_clnttcp_create_sa.cold.1
00007ffa1fccd812 (__TEXT,__text) external __newrpclib_clnttcp_create_timeout
00007ffa1fcdb1e4 (__TEXT,__text) non-external __newrpclib_clnttcp_create_timeout.cold.1
00007ffa1fcce23c (__TEXT,__text) external __newrpclib_clntudp_bufcreate
00007ffa1fcce294 (__TEXT,__text) external __newrpclib_clntudp_bufcreate_sa
00007ffa1fccde14 (__TEXT,__text) external __newrpclib_clntudp_bufcreate_timeout
00007ffa1fcce27e (__TEXT,__text) external __newrpclib_clntudp_create
00007ffa1fcce2c6 (__TEXT,__text) external __newrpclib_clntudp_create_sa
00007ffa1fcce930 (__TEXT,__text) external __newrpclib_getrpcport
00007ffa1fcd7464 (__TEXT,__text) external __newrpclib_netid2socparms
00007ffa1fccf690 (__TEXT,__text) external __newrpclib_pmap_callit
00007ffa1fcce9cc (__TEXT,__text) external __newrpclib_pmap_getmaps
00007ffa1fccec13 (__TEXT,__text) external __newrpclib_pmap_getport
00007ffa1fccec23 (__TEXT,__text) external __newrpclib_pmap_getport_sa
00007ffa1fccfa9b (__TEXT,__text) external __newrpclib_pmap_indirect
00007ffa1fccec33 (__TEXT,__text) external __newrpclib_pmap_rmtcall
00007ffa1fcd7fac (__TEXT,__text) external __newrpclib_pmap_set
00007ffa1fcd80b8 (__TEXT,__text) external __newrpclib_pmap_unset
00007ffa1fccee64 (__TEXT,__text) external __newrpclib_pmap_wakeup
00007ffa1fcd82f1 (__TEXT,__text) external __newrpclib_pmapproc_callit_2
00007ffa1fcd82b0 (__TEXT,__text) external __newrpclib_pmapproc_dump_2
00007ffa1fcd826b (__TEXT,__text) external __newrpclib_pmapproc_getport_2
00007ffa1fcd81b1 (__TEXT,__text) external __newrpclib_pmapproc_null_2
