00007ff8003291a2 (__TEXT,__text) external _NSAddImage
00007ff80032916c (__TEXT,__text) external _NSAddLibrary
00007ff800329187 (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff800328de9 (__TEXT,__text) external _NSAddressOfSymbol
00007ff800328f5b (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff800328d66 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff800328f79 (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff800328da7 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff800329158 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff800328fe4 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff800329055 (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff80032908e (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff800329070 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff80032901d (__TEXT,__text) external _NSLibraryNameForModule
00007ff800329134 (__TEXT,__text) external _NSLinkEditError
00007ff800328d87 (__TEXT,__text) external _NSLinkModule
00007ff8003290ac (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff8003290c7 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff8003290e5 (__TEXT,__text) external _NSLookupSymbolInImage
00007ff800328dcb (__TEXT,__text) external _NSLookupSymbolInModule
00007ff800329119 (__TEXT,__text) external _NSModuleForSymbol
00007ff800329002 (__TEXT,__text) external _NSNameOfModule
00007ff800329105 (__TEXT,__text) external _NSNameOfSymbol
00007ff800328f94 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff800328fa8 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff800328fbc (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff800328fd0 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff800329038 (__TEXT,__text) external _NSUnLinkModule
00007ff800328118 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff800328339 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff841a3af50 (__DATA_DIRTY,__common) external _NXArgc
00007ff841a3af58 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __DefaultRuneLocale (from libsystem_c)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff80032801e (__TEXT,__text) external __NSGetExecutablePath
00007ff80032de69 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00007ff800328e74 (__TEXT,__text) non-external __ZL28legacyDyldLookup4OldBinariesPKcPPv
00007ff8003295b9 (__TEXT,__text) non-external __ZL43_dyld_make_delayed_module_initializer_callsv
00007ff840029f60 (__DATA_CONST,__const) non-external __ZL8sHelpers
00007ff800328e20 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcP13__va_list_tag
00007ff80032873a (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00007ff800327dd8 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
00007ff800327f0a (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00007ff80032dd7c (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
00007ff80032dce8 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
00007ff80032dcd4 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00007ff80032de54 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
00007ff800329cd2 (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
00007ff80032e3e0 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
00007ff80032ed20 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_Pi
00007ff80032f854 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_Pi
00007ff80032e460 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base15copySegmentNameEPKc
00007ff80032e0f0 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base23addInfoFromLoadCommandsEPK11mach_headerym
00007ff80032e228 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base29addInfoFromRemoteLoadCommandsEjy
00007ff80032e7b8 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_3218dyld_image_info_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff80032e9ea (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_6418dyld_image_info_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff80032dffe (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8addImageEjbyyPKc
00007ff80032df36 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8copyPathEjy
00007ff80032dee4 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base9addStringEPKcm
00007ff80033158e (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base10disconnectEv
00007ff8003312b2 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base11handleEventEv
00007ff800331264 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base17teardownMachPortsEv
00007ff8003316ae (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base23replyToMonitoredProcessER17mach_msg_header_t
00007ff800331622 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base7releaseEv
00007ff8003310ac (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_baseC2EP16dispatch_queue_sU13block_pointerFvbyyPKhPKcEU13block_pointerFvvEjPi
00007ff800331fbc (__TEXT,__text) non-external __ZN29dyld_process_info_notify_baseC2EP16dispatch_queue_sU13block_pointerFvbyyPKhPKcEU13block_pointerFvvEjPi.cold.1
00007ff800331522 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_baseD2Ev
00007ff800330f5a (__TEXT,__text) non-external (was a private external) __ZN5dyld410staticFreeEPv
00007ff800331f7f (__TEXT,__text) non-external __ZN5dyld410staticFreeEPv.cold.1
00007ff800330f3e (__TEXT,__text) non-external (was a private external) __ZN5dyld418AllocationMetadata13getForPointerEPv
00007ff800331f56 (__TEXT,__text) non-external __ZN5dyld418AllocationMetadata13getForPointerEPv.cold.1
00007ff80032b9de (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas11SharedCache12forEachImageEU13block_pointerFvPNS0_5ImageEE
00007ff80032b310 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas11SharedCache13createForTaskEjPi
