00007ffb1bf6b35b (__TEXT,__text) external _AAAFSCGetMetadata
00007ffb1bf6b6e6 (__TEXT,__text) external _AAAFSCSetMetadata
00007ffb1bf6a70c (__TEXT,__text) external _AAAFSCStreamOpen
00007ffb1bf6ae43 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffb1bf6af49 (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffb1befd2df (__TEXT,__text) external _AAArchiveStreamCancel
00007ffb1befd2a8 (__TEXT,__text) external _AAArchiveStreamClose
00007ffb1bf1221a (__TEXT,__text) external _AAArchiveStreamProcess
00007ffb1befd25a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffb1befd240 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffb1befd28e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffb1befd274 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffb1befe89c (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffb1bf026ca (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffb1bf02600 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffb1bf02554 (__TEXT,__text) external _AAAssetBuilderCreate
00007ffb1bf025ef (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffb1bf601b4 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffb1bf02768 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffb1bf026d5 (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffb1bf02dd1 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffb1bf033e9 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffb1bf03dfa (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffb1bf03d82 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffb1bf038d2 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffb1bf72588 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffb1bf7259d (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffb1bf71f78 (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffb1bf72427 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffb1bf2ea8f (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffb1bf13157 (__TEXT,__text) external _AAByteRangeAdd
00007ffb1bf13059 (__TEXT,__text) external _AAByteRangeClone
00007ffb1bf12fbb (__TEXT,__text) external _AAByteRangeCreate
00007ffb1bf13033 (__TEXT,__text) external _AAByteRangeDestroy
00007ffb1bf13321 (__TEXT,__text) external _AAByteRangeFirst
00007ffb1bf1342e (__TEXT,__text) external _AAByteRangeNext
00007ffb1bf132b6 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffb1bf13245 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffb1bf131d3 (__TEXT,__text) external _AAByteRangeSub
00007ffb1bf69799 (__TEXT,__text) external _AAByteStreamCancel
00007ffb1bf697ae (__TEXT,__text) external _AAByteStreamClose
00007ffb1bf697e5 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffb1bf6982e (__TEXT,__text) external _AAByteStreamFlush
00007ffb1bf69761 (__TEXT,__text) external _AAByteStreamPRead
00007ffb1bf69862 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffb1bf69729 (__TEXT,__text) external _AAByteStreamPWrite
00007ffb1bf42f84 (__TEXT,__text) external _AAByteStreamProcess
00007ffb1bf69745 (__TEXT,__text) external _AAByteStreamRead
00007ffb1bf6977d (__TEXT,__text) external _AAByteStreamSeek
00007ffb1bf69848 (__TEXT,__text) external _AAByteStreamTruncate
00007ffb1bf6967e (__TEXT,__text) external _AAByteStreamWrite
00007ffb1bf2cdf8 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffb1bf2c4bd (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffb1bf4009b (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffb1bf6e27d (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffb1bf6ebe5 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffb1bf362c4 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffb1befd2f4 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffb1befd36f (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffb1befd365 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffb1befd35c (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffb1befd397 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffb1befd38d (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffb1befd383 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffb1befd379 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffb1bf6a666 (__TEXT,__text) external _AACustomByteStreamOpen
00007ffb1bf6a700 (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffb1bf6a6c4 (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffb1bf6a6bb (__TEXT,__text) external _AACustomByteStreamSetData
00007ffb1bf6a6d8 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffb1bf6a6ec (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffb1bf6a6ce (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffb1bf6a6f6 (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffb1bf6a6e2 (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffb1bf68bb3 (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffb1bf6a01d (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffb1bf71474 (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffb1bf66d5b (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffb1bf5ed6c (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffb1bf5fa96 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffb1bf5fa85 (__TEXT,__text) external _AAEntryACLBlobClear
00007ffb1bf5f930 (__TEXT,__text) external _AAEntryACLBlobCreate
