000000024e497a98 (__TEXT,__const) external _HomeAutomationUIFrameworkVersionNumber
000000024e497a50 (__TEXT,__const) external _HomeAutomationUIFrameworkVersionString
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
                 (undefined) external _OBJC_CLASS_$_SAIntentGroupRunSiriKitExecutor (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAUIAppPunchOut (from SAObjects)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
000000024e45f560 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e462070 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e462088 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e4620c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e4621d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e467570 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e469d0c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e46cd60 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e46cd60 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e47087c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e478758 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e480418 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e4823f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e484a68 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e48c7cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e490f40 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024e45f560 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000024e45f560 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000024e45f560 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000024e45f570 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000024e462088 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000024e4621d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000024e467570 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000024e467570 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000024e467570 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000024e469d20 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000024e46cd60 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000024e473b44 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000024e478768 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
