00007ffb191a252c (__TEXT,__text) non-external _Done_iODBC
00007ffb191c02b0 (__TEXT,__const) non-external _FunctionNumbers
00007ffb191bf299 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffb191a240e (__TEXT,__text) non-external _Init_iODBC
00007ffb430b5b9c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffb191a0aa0 (__TEXT,__text) external _SQLAllocConnect
00007ffb191a0994 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffb191a2399 (__TEXT,__text) external _SQLAllocEnv
00007ffb191a21eb (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffb191aca6c (__TEXT,__text) external _SQLAllocHandle
00007ffb191acb61 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffb191ac7e0 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffb191a54e1 (__TEXT,__text) external _SQLAllocStmt
00007ffb191a4f55 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffb191aa65d (__TEXT,__text) external _SQLBindCol
00007ffb191b2b7c (__TEXT,__text) external _SQLBindParam
00007ffb191a992b (__TEXT,__text) external _SQLBindParameter
00007ffb1919d876 (__TEXT,__text) external _SQLBrowseConnect
00007ffb1919d9e1 (__TEXT,__text) external _SQLBrowseConnectA
00007ffb1919db4c (__TEXT,__text) external _SQLBrowseConnectW
00007ffb1919d1ff (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffb191b2657 (__TEXT,__text) external _SQLBulkOperations
00007ffb191a6408 (__TEXT,__text) external _SQLCancel
00007ffb191b2ba8 (__TEXT,__text) external _SQLCloseCursor
00007ffb191b2028 (__TEXT,__text) external _SQLColAttribute
00007ffb191b21fb (__TEXT,__text) external _SQLColAttributeA
00007ffb191b23ce (__TEXT,__text) external _SQLColAttributeW
00007ffb191b187c (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffb191ac266 (__TEXT,__text) external _SQLColAttributes
00007ffb191ac439 (__TEXT,__text) external _SQLColAttributesA
00007ffb191ac60c (__TEXT,__text) external _SQLColAttributesW
00007ffb191abd98 (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffb19195b3e (__TEXT,__text) external _SQLColumnPrivileges
00007ffb19195d2a (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffb19195f16 (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffb19195887 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffb191963b9 (__TEXT,__text) external _SQLColumns
00007ffb191965a5 (__TEXT,__text) external _SQLColumnsA
00007ffb19196791 (__TEXT,__text) external _SQLColumnsW
00007ffb19196102 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffb1919a42f (__TEXT,__text) external _SQLConnect
00007ffb1919adc6 (__TEXT,__text) external _SQLConnectA
00007ffb1919af52 (__TEXT,__text) external _SQLConnectW
00007ffb1919a5bb (__TEXT,__text) non-external _SQLConnect_Internal
00007ffb191bfff8 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffb191b16fa (__TEXT,__text) external _SQLCopyDesc
00007ffb191a6eef (__TEXT,__text) external _SQLDataSources
00007ffb191a7015 (__TEXT,__text) external _SQLDataSourcesA
00007ffb191a713b (__TEXT,__text) external _SQLDataSourcesW
00007ffb191a6ab0 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffb430b5b20 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffb430b5b40 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffb430b5b48 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffb191ab7c8 (__TEXT,__text) external _SQLDescribeCol
00007ffb191ab9b8 (__TEXT,__text) external _SQLDescribeColA
00007ffb191abba8 (__TEXT,__text) external _SQLDescribeColW
00007ffb191ab515 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffb1919f80e (__TEXT,__text) external _SQLDescribeParam
00007ffb1919dcb7 (__TEXT,__text) external _SQLDisconnect
00007ffb1919cd64 (__TEXT,__text) external _SQLDriverConnect
00007ffb1919ceed (__TEXT,__text) external _SQLDriverConnectA
00007ffb1919d076 (__TEXT,__text) external _SQLDriverConnectW
00007ffb1919b0de (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffb191c001b (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffb191c003e (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffb191a777b (__TEXT,__text) external _SQLDrivers
