                 (undefined) external _CCHmac (from libSystem)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
00000001920de530 (__TEXT,__text) external _NEAuditTokenForPID
00000001920de74c (__TEXT,__text) external _NECopyAuditPortForAuditToken
00000001920de6f0 (__TEXT,__text) external _NECopyBootstrapPortForPID
00000001920de330 (__TEXT,__text) external _NECopySigningIdentifierForPID
00000001920de36c (__TEXT,__text) external _NECopySigningIdentifierForXPCMessage
00000001920de698 (__TEXT,__text) external _NEGIDForAuditToken
                 (undefined) external _NEHelperCacheCopySigningIdentifierMapping (from libSystem)
00000001920c51ac (__TEXT,__text) external _NEHelperTrackerAddIP
00000001920c4814 (__TEXT,__text) external _NEHelperTrackerAddIPForAllFlows
00000001d98ada4e (__DATA,__bss) non-external _NEHelperTrackerAddIPForAllFlows.buffer
00000001920c51a4 (__TEXT,__text) external _NEHelperTrackerAddIPWithDisposition
00000001920c35b0 (__TEXT,__text) external _NEHelperTrackerAppInfoGetPID
00000001920c3408 (__TEXT,__text) external _NEHelperTrackerAppInfoIsBrowser
00000001920c3368 (__TEXT,__text) external _NEHelperTrackerAppInfoSetAuditToken
00000001920c33ec (__TEXT,__text) external _NEHelperTrackerAppInfoSetIsBrowser
00000001920c33d4 (__TEXT,__text) external _NEHelperTrackerAppInfoSetPID
00000001920c3350 (__TEXT,__text) external _NEHelperTrackerAppInfoSetSigningIdentifier
00000001920c3390 (__TEXT,__text) external _NEHelperTrackerAppInfoSetUUID
00000001920c4304 (__TEXT,__text) external _NEHelperTrackerAppendTLV
00000001920c45f8 (__TEXT,__text) external _NEHelperTrackerCalculateParameterLen
00000001920c4294 (__TEXT,__text) non-external _NEHelperTrackerCheckMetadataForApp
00000001920c4274 (__TEXT,__text) non-external _NEHelperTrackerCheckMetadataForWeb
