                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80f3b5246 (__TEXT,__text) non-external _alone_decode
00007ff80f3b5500 (__TEXT,__text) non-external _alone_decoder_end
00007ff80f3b5521 (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff80f3b3db5 (__TEXT,__text) non-external _alone_encode
00007ff80f3b3e79 (__TEXT,__text) non-external _alone_encoder_end
00007ff80f3b3c3a (__TEXT,__text) non-external _alone_encoder_init
00007ff80f3bfa42 (__TEXT,__text) non-external _arm64_code
00007ff80f3c2a80 (__TEXT,__text) non-external _arm_code
00007ff80f3c2b49 (__TEXT,__text) non-external _armthumb_code
00007ff80f3b56eb (__TEXT,__text) non-external _auto_decode
00007ff80f3b5830 (__TEXT,__text) non-external _auto_decoder_end
00007ff80f3b5851 (__TEXT,__text) non-external _auto_decoder_get_check
00007ff80f3b560b (__TEXT,__text) non-external _auto_decoder_init
00007ff80f3b5868 (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff80f3c86c0 (__TEXT,__const) non-external _bcj_optmap
00007ff80f3b3f36 (__TEXT,__text) non-external _block_buffer_encode
00007ff80f3b5b8a (__TEXT,__text) non-external _block_decode
00007ff80f3b5e13 (__TEXT,__text) non-external _block_decoder_end
00007ff80f3aeaae (__TEXT,__text) non-external _block_encode
00007ff80f3b4208 (__TEXT,__text) non-external _block_encode_normal
00007ff80f3b436a (__TEXT,__text) non-external _block_encode_uncompressed
00007ff80f3b2d6e (__TEXT,__text) non-external _block_encoder_end
00007ff80f3acce5 (__TEXT,__text) non-external _block_encoder_init
00007ff80f3b44eb (__TEXT,__text) non-external _block_encoder_update
00007ff80f3b1ba5 (__TEXT,__text) non-external _bt_find_func
00007ff80f3afbe0 (__TEXT,__text) non-external _bt_skip_func
