                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
000000020022afe4 (__TEXT,__text) external _apr__SHA256_Data
000000020022af18 (__TEXT,__text) external _apr__SHA256_End
000000020022ae00 (__TEXT,__text) external _apr__SHA256_Final
000000020022aae0 (__TEXT,__text) external _apr__SHA256_Init
000000020022ab10 (__TEXT,__text) external _apr__SHA256_Transform
000000020022ad1c (__TEXT,__text) external _apr__SHA256_Update
00000002002223b8 (__TEXT,__text) external _apr_allocator_alloc
0000000200222244 (__TEXT,__text) external _apr_allocator_create
00000002002222a4 (__TEXT,__text) external _apr_allocator_destroy
0000000200222588 (__TEXT,__text) external _apr_allocator_free
0000000200222330 (__TEXT,__text) external _apr_allocator_max_free_set
0000000200222318 (__TEXT,__text) external _apr_allocator_mutex_get
0000000200222310 (__TEXT,__text) external _apr_allocator_mutex_set
0000000200222328 (__TEXT,__text) external _apr_allocator_owner_get
0000000200222320 (__TEXT,__text) external _apr_allocator_owner_set
0000000200224afc (__TEXT,__text) external _apr_app_initialize
000000020021b9f0 (__TEXT,__text) external _apr_array_append
000000020021b818 (__TEXT,__text) external _apr_array_cat
000000020021b730 (__TEXT,__text) external _apr_array_clear
000000020021b8f8 (__TEXT,__text) external _apr_array_copy
