00007ff80974b090 (__TEXT,__const) non-external _A1_Table
00007ff808f89220 (__TEXT,__text) non-external _ARGB16UtoPlanar16U
00007ff808f89120 (__TEXT,__text) non-external _ARGB8888toPlanar16Q12
00007ff808c798f0 (__TEXT,__text) non-external _ARGB8888toPlanar8
00007ff808c82870 (__TEXT,__text) non-external _ARGBFFFFtoPlanarF
00007ff840c8a1c0 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult
00007ff808dd2890 (__TEXT,__text) non-external (was a private external) _AccumulateResult_PlanarF
00007ff840c8a240 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult_perm
00007ff808f8aac0 (__TEXT,__text) non-external _AddAlphaPass_Print16
00007ff808f8aa60 (__TEXT,__text) non-external _AddAlphaPass_Print8
00007ff808f8ab20 (__TEXT,__text) non-external _AddAlphaPass_PrintF
00007ff808f74340 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaFirst
00007ff808f74320 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaLast
00007ff808f74300 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaFirst
00007ff808f742e0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaLast
00007ff808f74390 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaFirst
00007ff808f74360 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaLast
00007ff808c67d70 (__TEXT,__text) non-external (was a private external) _AddPassesToList
00007ff80974b130 (__TEXT,__const) non-external _Ainv
00007ff808f7bc20 (__TEXT,__text) non-external _Alpha8ConvertPass_Print
00007ff80974e104 (__TEXT,__const) non-external _AlphaChannelIsFirst.AlphaChannelIsFirstTable
00007ff80974e0fc (__TEXT,__const) non-external _AlphaChannelIsLast.AlphaChannelIsLastTable
00007ff840c8d530 (__DATA_CONST,__const) non-external _AlphaName.AlphaNameTable
00007ff808c6a810 (__TEXT,__text) non-external _AnyToAnyBlock
00007ff808c6a8e0 (__TEXT,__text) non-external _AnyToAnyBlockInternal
00007ff80974b0e0 (__TEXT,__const) non-external _B
00007ff808ce32c0 (__TEXT,__text) non-external _BoxConvolve16F_GCDWork
00007ff808d87cb0 (__TEXT,__text) non-external _BoxConvolve8888_GCDWork
00007ff808d86eb0 (__TEXT,__text) non-external _BoxConvolve8_GCDWork
00007ff808d87970 (__TEXT,__text) non-external (was a private external) _BoxConvolve_ARGB8888
00007ff843591800 (__DATA,__bss) non-external _BoxConvolve_ARGB8888.vBoxARGB8888_Int32Acc
00007ff808d86b70 (__TEXT,__text) non-external (was a private external) _BoxConvolve_Planar8
00007ff8435917f8 (__DATA,__bss) non-external _BoxConvolve_Planar8.vBoxPlanar8_Int32Acc
00007ff808c67da0 (__TEXT,__text) non-external _BringOddballFormatsToMainstream
00007ff84319a648 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_CopyToCVPixelBuffer
00007ff84319a568 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_GetSize
00007ff84319a560 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_Init
00007ff84319a650 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyFromCVPixelBuffer
00007ff84319a658 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyToCVPixelBuffer
00007ff84319a580 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCGImage
00007ff84319a640 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCVPixelBuffer
00007ff840c8d570 (__DATA_CONST,__const) non-external _ByteOrderName.ByteOrderNameTable
00007ff808c66dc0 (__TEXT,__text) non-external _CGBitmapInfoIsValid
00007ff84319a570 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_GetComponentCount
00007ff84319a578 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_IsEqual
00007ff8435924c0 (__DATA,__common) non-external (was a private external) _CGInterfaces_loaded
00007ff808ed7bf0 (__TEXT,__text) non-external (was a private external) _CVConvertPass_Print
00007ff84319a5a0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Copy
00007ff84319a618 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyChannelDescription
00007ff84319a5f8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyConversionMatrix
00007ff84319a598 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Create
00007ff84319a590 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CreateWithCVPixelBuffer
00007ff84319a600 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetAlphaHint
00007ff84319a5c0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelCount
00007ff84319a610 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelDescription
00007ff84319a5c8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelNames
00007ff84319a5e0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChromaSiting
00007ff84319a5d0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetColorSpace
00007ff84319a5f0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetConversionMatrix
00007ff84319a5b8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetFormatCode
00007ff84319a620 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetUserData
00007ff84319a630 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_InitvImageCGImageFormat
00007ff84319a638 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Print
00007ff84319a5b0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Release
00007ff84319a5a8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Retain
00007ff84319a608 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetAlphaHint
00007ff84319a5e8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetChromaSiting
00007ff84319a5d8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetColorSpace
00007ff84319a628 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetUserData
00007ff808c8a370 (__TEXT,__text) non-external (was a private external) _CacheTable_Destroy
00007ff843591140 (__DATA,__bss) non-external _CacheTable_GetCache.gCacheTable
00007ff843591148 (__DATA,__bss) non-external _CacheTable_GetCache.predicate
00007ff808c77340 (__TEXT,__text) non-external (was a private external) _CacheTable_Init
00007ff80978a860 (__TEXT,__const) non-external _CacheTable_Init.elementSize
00007ff808c77650 (__TEXT,__text) non-external _CacheTable_key_hash
00007ff808c790b0 (__TEXT,__text) non-external _CacheTable_key_is_equal
00007ff8096bef90 (__TEXT,__text) non-external _CacheTable_key_release
00007ff808c79060 (__TEXT,__text) non-external _CacheTable_key_retain
00007ff808c775b0 (__TEXT,__text) non-external _CacheTable_setup
00007ff808ca6400 (__TEXT,__text) non-external _CacheTable_value_make_nonpurgeable
00007ff808c9d9c0 (__TEXT,__text) non-external _CacheTable_value_make_purgeable
00007ff8096befa0 (__TEXT,__text) non-external _CacheTable_value_release
00007ff843591130 (__DATA,__bss) non-external _CalculateNumThreads.cpuCount
00007ff808f892b0 (__TEXT,__text) non-external _ChunkyToPlanar16U
00007ff808c705c0 (__TEXT,__text) non-external _ChunkyToPlanar8
00007ff808f895b0 (__TEXT,__text) non-external _ChunkyToPlanarF
00007ff808f78b80 (__TEXT,__text) non-external _ChunkyToPlanarPass_Print
00007ff808db1850 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGB8888
00007ff808da5590 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGBFFFF
00007ff808cda690 (__TEXT,__text) non-external (was a private external) _ColorFill_Planar8
00007ff808da1b50 (__TEXT,__text) non-external (was a private external) _ColorFill_PlanarF
00007ff808f805c0 (__TEXT,__text) non-external _CompressPassesToLUT
00007ff840c90b50 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_8to64U_vtbl
