000000018f931c14 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
000000018f9317ac (__TEXT,__gcc_except_tab) non-external GCC_except_table16
000000018f9317cc (__TEXT,__gcc_except_tab) non-external GCC_except_table17
000000018f9317e0 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
000000018f931c24 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
000000018f93181c (__TEXT,__gcc_except_tab) non-external GCC_except_table19
000000018f931858 (__TEXT,__gcc_except_tab) non-external GCC_except_table30
000000018f9318c8 (__TEXT,__gcc_except_tab) non-external GCC_except_table38
000000018f9318e8 (__TEXT,__gcc_except_tab) non-external GCC_except_table39
000000018f93191c (__TEXT,__gcc_except_tab) non-external GCC_except_table41
000000018f931950 (__TEXT,__gcc_except_tab) non-external GCC_except_table42
000000018f931970 (__TEXT,__gcc_except_tab) non-external GCC_except_table44
000000018f931990 (__TEXT,__gcc_except_tab) non-external GCC_except_table48
000000018f9319b0 (__TEXT,__gcc_except_tab) non-external GCC_except_table49
000000018f93178c (__TEXT,__gcc_except_tab) non-external GCC_except_table6
000000018f93179c (__TEXT,__gcc_except_tab) non-external GCC_except_table6
000000018f9319d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table63
000000018f931a74 (__TEXT,__gcc_except_tab) non-external GCC_except_table66
000000018f931abc (__TEXT,__gcc_except_tab) non-external GCC_except_table69
000000018f931b00 (__TEXT,__gcc_except_tab) non-external GCC_except_table72
000000018f931b2c (__TEXT,__gcc_except_tab) non-external GCC_except_table73
000000018f931bec (__TEXT,__gcc_except_tab) non-external GCC_except_table8
000000018f931b8c (__TEXT,__gcc_except_tab) non-external GCC_except_table83
000000018f931bac (__TEXT,__gcc_except_tab) non-external GCC_except_table84
000000018f931bcc (__TEXT,__gcc_except_tab) non-external GCC_except_table86
000000018f931bdc (__TEXT,__gcc_except_tab) non-external GCC_except_table87
000000018f931bf8 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
000000018f916eac (__TEXT,__text) non-external (was a private external) _ACInterfaceCreate
00000001eaccdff8 (__DATA,__bss) non-external _ACInterfaceCreate.ACInterfaceCreate_proc
000000018f916f60 (__TEXT,__text) non-external (was a private external) _ACInterfaceDeviceNameCopy
00000001eacce000 (__DATA,__bss) non-external _ACInterfaceDeviceNameCopy.ACInterfaceDeviceNameCopy_proc
000000018f917014 (__TEXT,__text) non-external (was a private external) _ACInterfaceSetPower
00000001eacce008 (__DATA,__bss) non-external _ACInterfaceSetPower.ACInterfaceSetPower_proc
000000018f9170c0 (__TEXT,__text) non-external (was a private external) _ACNetworkDisassociate
00000001eacce010 (__DATA,__bss) non-external _ACNetworkDisassociate.ACNetworkDisassociate_proc
000000018f91ca58 (__TEXT,__text) non-external _AcquireLockForScheduleWriting
000000018f92072c (__TEXT,__text) external _AlertSoundPlay
000000018f920734 (__TEXT,__text) external _AlertSoundPlayCustomSound
00000001eaccdf38 (__DATA,__bss) non-external _Apple80211Library
000000018f906084 (__TEXT,__text) non-external (was a private external) _AppleIDGetLogHandle
000000018f92aaf0 (__TEXT,__text) non-external _AppleIDGetLogHandle.cold.1
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
000000018f91bbd0 (__TEXT,__text) external _BatteryCount
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFAbsoluteTimeGetGregorianDate (from CoreFoundation)
                 (undefined) external _CFAllocatorAllocateTyped (from CoreFoundation)
                 (undefined) external _CFAllocatorDeallocate (from CoreFoundation)
                 (undefined) external _CFArrayAppendArray (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreate (from CoreFoundation)
                 (undefined) external _CFArrayCreateCopy (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetLastIndexOfValue (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayGetValues (from CoreFoundation)
                 (undefined) external _CFArrayRemoveAllValues (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArraySetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFBundleCopyLocalizedString (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetInfoDictionary (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFCopyDescription (from CoreFoundation)
                 (undefined) external _CFDataAppendBytes (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateCopy (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDateCreate (from CoreFoundation)
                 (undefined) external _CFDateGetAbsoluteTime (from CoreFoundation)
                 (undefined) external _CFDateGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateCopy (from CoreFoundation)
