0000000000003894 (__TEXT,__text) external _OSAtomicAdd32
0000000000003954 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000000003a34 (__TEXT,__text) external _OSAtomicAdd64
0000000000003bac (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000000003b3c (__TEXT,__text) external _OSAtomicAnd32
00000000000045b4 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000000004528 (__TEXT,__text) external _OSAtomicAnd32Orig
0000000000003a58 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000000003880 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000000003914 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000000002880 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000000003900 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000000003af4 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000000003bdc (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000000003b14 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000000003a64 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000000003b28 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000000003928 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000000002d90 (__TEXT,__text) external _OSAtomicDecrement32
00000000000039c0 (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000000003b9c (__TEXT,__text) external _OSAtomicDecrement64
0000000000003b4c (__TEXT,__text) external _OSAtomicDecrement64Barrier
00000000000010d0 (__TEXT,__text) external _OSAtomicDequeue
000000000000138c (__TEXT,__text) external _OSAtomicEnqueue
00000000000053dc (__TEXT,__text) external _OSAtomicFifoDequeue
0000000000006128 (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
00000000000053b8 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000000006128 (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
0000000000002d80 (__TEXT,__text) external _OSAtomicIncrement32
00000000000039b0 (__TEXT,__text) external _OSAtomicIncrement32Barrier
000000000000371c (__TEXT,__text) external _OSAtomicIncrement64
0000000000003ae4 (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000000003b08 (__TEXT,__text) external _OSAtomicOr32
000000000000393c (__TEXT,__text) external _OSAtomicOr32Barrier
0000000000003bd4 (__TEXT,__text) external _OSAtomicOr32Orig
0000000000005bb4 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
