00007ff8400f6df0 (__DATA,__data) external _NDR_record
00007ff8010dcef1 (__TEXT,__text) non-external __Xexception_raise
00007ff8010dcf99 (__TEXT,__text) non-external __Xexception_raise_state
00007ff8010dd0a3 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff8010c9830 (__TEXT,__text) external _____sigwait_nocancel
00007ff8010f3f88 (__TEXT,__const) external ____kernelVersionNumber
00007ff8010f3f50 (__TEXT,__const) external ____kernelVersionString
00007ff8010c9848 (__TEXT,__text) external ___abort_with_payload
00007ff8010c9860 (__TEXT,__text) external ___accept
00007ff8010c9878 (__TEXT,__text) external ___accept_nocancel
00007ff8010c9890 (__TEXT,__text) external ___access_extended
00007ff8010c98a8 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff8010c98c0 (__TEXT,__text) external ___bind
00007ff8010c98d8 (__TEXT,__text) external ___bsdthread_create
00007ff8010c98f0 (__TEXT,__text) external ___bsdthread_ctl
00007ff8010c9908 (__TEXT,__text) external ___bsdthread_register
00007ff8010c9920 (__TEXT,__text) external ___bsdthread_terminate
00007ff8010dc24f (__TEXT,__text) external ___carbon_delete
00007ff8010c9938 (__TEXT,__text) external ___channel_get_info
00007ff8010c9950 (__TEXT,__text) external ___channel_get_opt
00007ff8010c9968 (__TEXT,__text) external ___channel_open
00007ff8010c9980 (__TEXT,__text) external ___channel_set_opt
00007ff8010c9998 (__TEXT,__text) external ___channel_sync
00007ff8010c99b0 (__TEXT,__text) external ___chmod
00007ff8010c99c8 (__TEXT,__text) external ___chmod_extended
00007ff8010c99e0 (__TEXT,__text) external ___close_nocancel
00007ff8010c99f8 (__TEXT,__text) external ___coalition
00007ff8010c9a10 (__TEXT,__text) external ___coalition_info
00007ff8010c9a28 (__TEXT,__text) external ___coalition_ledger
00007ff8010cf03b (__TEXT,__text) external ___commpage_gettimeofday
00007ff8010cf042 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff8010c9a40 (__TEXT,__text) external ___connect
00007ff8010c9a58 (__TEXT,__text) external ___connect_nocancel
00007ff8010c9a70 (__TEXT,__text) external ___copyfile
00007ff8010c9a88 (__TEXT,__text) external ___crossarch_trap
00007ff8010c9aa0 (__TEXT,__text) external ___csrctl
00007ff8010d4794 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff8010c9ab8 (__TEXT,__text) external ___debug_syscall_reject
00007ff8010c9ad0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff8010c9ae8 (__TEXT,__text) external ___delete
00007ff8010c9b00 (__TEXT,__text) external ___disable_threadsignal
00007ff8010cf6fd (__TEXT,__text) external ___error
00007ff8010c9b18 (__TEXT,__text) external ___execve
00007ff8010c9b30 (__TEXT,__text) external ___exit
00007ff8010c9b48 (__TEXT,__text) external ___fchmod
00007ff8010c9b60 (__TEXT,__text) external ___fchmod_extended
00007ff8010c9b78 (__TEXT,__text) external ___fcntl
00007ff8010c9b90 (__TEXT,__text) external ___fcntl_nocancel
00007ff8010c9ba8 (__TEXT,__text) external ___fork
00007ff8010c9be0 (__TEXT,__text) external ___fs_snapshot
00007ff8010c9bf8 (__TEXT,__text) external ___fstat64_extended
00007ff8010c9c10 (__TEXT,__text) external ___fstat_extended
00007ff8010c9c28 (__TEXT,__text) external ___fsync_nocancel
00007ff8010d9d90 (__TEXT,__text) external ___get_remove_counter
00007ff8010c9c40 (__TEXT,__text) external ___getattrlist
00007ff8010c9c58 (__TEXT,__text) external ___getdirentries64
00007ff8010c9c70 (__TEXT,__text) external ___gethostuuid
00007ff8010c9c88 (__TEXT,__text) external ___getlogin
00007ff8010c9ca0 (__TEXT,__text) external ___getpeername
00007ff8010c9cb8 (__TEXT,__text) external ___getpid
00007ff8010c9cec (__TEXT,__text) external ___getrlimit
00007ff8010c9d04 (__TEXT,__text) external ___getsgroups
00007ff8010c9d1c (__TEXT,__text) external ___getsockname
00007ff8010c9d34 (__TEXT,__text) external ___gettid
00007ff8010c9d61 (__TEXT,__text) external ___gettimeofday
00007ff8010c9d4c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff8010c9d8c (__TEXT,__text) external ___getwgroups
00007ff8010c9da4 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff8010c9dbc (__TEXT,__text) external ___guarded_open_np
00007ff8010c9dd4 (__TEXT,__text) external ___identitysvc
00007ff8010d9d9e (__TEXT,__text) external ___inc_remove_counter
00007ff8010c9dec (__TEXT,__text) external ___initgroups
00007ff8010c9e04 (__TEXT,__text) external ___ioctl
00007ff8010c9e1c (__TEXT,__text) external ___iopolicysys
00007ff8010c9e34 (__TEXT,__text) external ___kdebug_trace
00007ff8010c9e4c (__TEXT,__text) external ___kdebug_trace64
00007ff8010c9e64 (__TEXT,__text) external ___kdebug_trace_string
00007ff8010c9e7c (__TEXT,__text) external ___kdebug_typefilter
00007ff8010f3ff8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff8010f3fc0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff8010c9e94 (__TEXT,__text) external ___kill
00007ff8010c9eac (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff8010c9ec4 (__TEXT,__text) external ___lchown
00007ff8010cc4be (__TEXT,__text) external ___libkernel_init
00007ff8010cc4f1 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff8010cc4f0 (__TEXT,__text) external ___libkernel_init_late
00007ff8010cc34b (__TEXT,__text) external ___libkernel_platform_init
00007ff8010cc372 (__TEXT,__text) external ___libkernel_voucher_init
00007ff8010c9edc (__TEXT,__text) external ___listen
00007ff8010c9ef4 (__TEXT,__text) external ___log_data
00007ff8010c9f0c (__TEXT,__text) external ___lseek
00007ff8010c9f24 (__TEXT,__text) external ___lstat64_extended
00007ff8010c9f3c (__TEXT,__text) external ___lstat_extended
00007ff8010c9f54 (__TEXT,__text) external ___mac_execve
00007ff8010c9f6c (__TEXT,__text) external ___mac_get_fd
00007ff8010c9f84 (__TEXT,__text) external ___mac_get_file
00007ff8010c9f9c (__TEXT,__text) external ___mac_get_link
00007ff8010c9fb4 (__TEXT,__text) external ___mac_get_mount
00007ff8010c9fcc (__TEXT,__text) external ___mac_get_pid
00007ff8010c9fe4 (__TEXT,__text) external ___mac_get_proc
00007ff8010c9ffc (__TEXT,__text) external ___mac_getfsstat
00007ff8010ca014 (__TEXT,__text) external ___mac_mount
00007ff8010ca02c (__TEXT,__text) external ___mac_set_fd
00007ff8010ca044 (__TEXT,__text) external ___mac_set_file
00007ff8010ca05c (__TEXT,__text) external ___mac_set_link
00007ff8010ca074 (__TEXT,__text) external ___mac_set_proc
00007ff8010ca08c (__TEXT,__text) external ___mac_syscall
00007ff8010ca0a4 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff8010ca0bc (__TEXT,__text) external ___mach_eventlink_signal
00007ff8010ca0d4 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff8010ca0ec (__TEXT,__text) external ___mach_eventlink_wait_until
