                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
000000021f0d59b0 (__TEXT,__text) non-external _sbuf_extend
000000021f0d5ac4 (__TEXT,__text) non-external _sbuf_put_byte
000000021f0d56b4 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
000000021f0d5684 (__TEXT,__text) external _usbuf_bcat
000000021f0d57a8 (__TEXT,__text) external _usbuf_bcpy
000000021f0d57f0 (__TEXT,__text) external _usbuf_cat
000000021f0d5534 (__TEXT,__text) external _usbuf_clear
000000021f0d5508 (__TEXT,__text) external _usbuf_clear_flags
000000021f0d5578 (__TEXT,__text) external _usbuf_count_drain
000000021f0d5838 (__TEXT,__text) external _usbuf_cpy
000000021f0d5d14 (__TEXT,__text) external _usbuf_data
000000021f0d5d44 (__TEXT,__text) external _usbuf_delete
000000021f0d5dac (__TEXT,__text) external _usbuf_done
000000021f0d5594 (__TEXT,__text) external _usbuf_drain
000000021f0d5df0 (__TEXT,__text) external _usbuf_end_section
000000021f0d5c70 (__TEXT,__text) external _usbuf_error
000000021f0d5c78 (__TEXT,__text) external _usbuf_finish
000000021f0d5500 (__TEXT,__text) external _usbuf_get_flags
000000021f0d51b8 (__TEXT,__text) external _usbuf_hexdump
000000021f0d5d1c (__TEXT,__text) external _usbuf_len
000000021f0d5408 (__TEXT,__text) external _usbuf_new
000000021f0d5b6c (__TEXT,__text) external _usbuf_nl_terminate
000000021f0d5a64 (__TEXT,__text) external _usbuf_printf
000000021f0d53ac (__TEXT,__text) external _usbuf_printf_drain
000000021f0d537c (__TEXT,__text) external _usbuf_putbuf
000000021f0d5a90 (__TEXT,__text) external _usbuf_putc
000000021f0d558c (__TEXT,__text) external _usbuf_set_drain
000000021f0d5520 (__TEXT,__text) external _usbuf_set_flags
000000021f0d5550 (__TEXT,__text) external _usbuf_setpos
000000021f0d5db8 (__TEXT,__text) external _usbuf_start_section
000000021f0d5bcc (__TEXT,__text) external _usbuf_trim
000000021f0d5898 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
