00007ffa427457b0 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa427456f0 (__DATA,__data) non-external _TIMEOUT
00007ffa42745700 (__DATA,__data) non-external _TIMEOUT
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffa0c3096a0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa0c3096c0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memmove_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffa0c305f5a (__TEXT,__text) non-external __buf
00007ffa0c313f36 (__TEXT,__text) non-external __buf.cold.1
00007ffa0c313fdd (__TEXT,__text) non-external __buf.cold.2
00007ffa0c305e38 (__TEXT,__text) external __newrpclib___rpc_createerr
00007ffa0c313d41 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.1
00007ffa0c313de8 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.2
00007ffa0c30a1f7 (__TEXT,__text) external __newrpclib__authenticate
00007ffa0c314a40 (__TEXT,__text) non-external __newrpclib__authenticate.cold.1
00007ffa0c314add (__TEXT,__text) non-external __newrpclib__authenticate.cold.2
00007ffa0c314b8b (__TEXT,__text) non-external __newrpclib__authenticate.cold.3
00007ffa427458e0 (__DATA,__common) external __newrpclib__null_auth
00007ffa0c309eb5 (__TEXT,__text) external __newrpclib__seterr_reply
00007ffa0c304817 (__TEXT,__text) external __newrpclib_authnone_create
00007ffa0c31380e (__TEXT,__text) non-external __newrpclib_authnone_create.cold.1
00007ffa0c30496a (__TEXT,__text) external __newrpclib_authunix_create
00007ffa0c3138b5 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.1
00007ffa0c313963 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.2
00007ffa0c313a11 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.3
00007ffa0c313aac (__TEXT,__text) non-external __newrpclib_authunix_create.cold.4
00007ffa0c304c69 (__TEXT,__text) external __newrpclib_authunix_create_default
00007ffa0c313be2 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.1
00007ffa0c313c90 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.2
00007ffa0c304620 (__TEXT,__text) external __newrpclib_callrpc
00007ffa0c309402 (__TEXT,__text) external __newrpclib_clnt_broadcast
00007ffa0c3051cf (__TEXT,__text) external __newrpclib_clnt_create
00007ffa0c304ff1 (__TEXT,__text) external __newrpclib_clnt_create_timeout
00007ffa0c305313 (__TEXT,__text) external __newrpclib_clnt_multicasts_buf_timeout
00007ffa0c3064dd (__TEXT,__text) external __newrpclib_clnt_pcreateerror
00007ffa0c30626b (__TEXT,__text) external __newrpclib_clnt_perrno
00007ffa0c3061d8 (__TEXT,__text) external __newrpclib_clnt_perror
00007ffa0c3062ad (__TEXT,__text) external __newrpclib_clnt_spcreateerror
00007ffa0c306239 (__TEXT,__text) external __newrpclib_clnt_sperrno
00007ffa0c305f21 (__TEXT,__text) external __newrpclib_clnt_sperror
00007ffa0c306569 (__TEXT,__text) external __newrpclib_clntraw_create
00007ffa0c31412b (__TEXT,__text) non-external __newrpclib_clntraw_create.cold.1
00007ffa0c30759e (__TEXT,__text) external __newrpclib_clnttcp_create
00007ffa0c314878 (__TEXT,__text) non-external __newrpclib_clnttcp_create.cold.1
00007ffa0c30747e (__TEXT,__text) external __newrpclib_clnttcp_create_sa
00007ffa0c314742 (__TEXT,__text) non-external __newrpclib_clnttcp_create_sa.cold.1
00007ffa0c30750d (__TEXT,__text) external __newrpclib_clnttcp_create_timeout
00007ffa0c3147dd (__TEXT,__text) non-external __newrpclib_clnttcp_create_timeout.cold.1
00007ffa0c307ec9 (__TEXT,__text) external __newrpclib_clntudp_bufcreate
00007ffa0c307f1f (__TEXT,__text) external __newrpclib_clntudp_bufcreate_sa
00007ffa0c307ac8 (__TEXT,__text) external __newrpclib_clntudp_bufcreate_timeout
00007ffa0c307f09 (__TEXT,__text) external __newrpclib_clntudp_create
00007ffa0c307f51 (__TEXT,__text) external __newrpclib_clntudp_create_sa
00007ffa0c308520 (__TEXT,__text) external __newrpclib_getrpcport
00007ffa0c310cce (__TEXT,__text) external __newrpclib_netid2socparms
00007ffa0c3091d1 (__TEXT,__text) external __newrpclib_pmap_callit
00007ffa0c3085b8 (__TEXT,__text) external __newrpclib_pmap_getmaps
00007ffa0c3087fd (__TEXT,__text) external __newrpclib_pmap_getport
00007ffa0c30880d (__TEXT,__text) external __newrpclib_pmap_getport_sa
00007ffa0c309593 (__TEXT,__text) external __newrpclib_pmap_indirect
00007ffa0c30881d (__TEXT,__text) external __newrpclib_pmap_rmtcall
00007ffa0c311790 (__TEXT,__text) external __newrpclib_pmap_set
00007ffa0c311891 (__TEXT,__text) external __newrpclib_pmap_unset
00007ffa0c308a44 (__TEXT,__text) external __newrpclib_pmap_wakeup
00007ffa0c311ac3 (__TEXT,__text) external __newrpclib_pmapproc_callit_2
00007ffa0c311a82 (__TEXT,__text) external __newrpclib_pmapproc_dump_2
00007ffa0c311a3d (__TEXT,__text) external __newrpclib_pmapproc_getport_2
00007ffa0c311983 (__TEXT,__text) external __newrpclib_pmapproc_null_2
00007ffa0c3119b3 (__TEXT,__text) external __newrpclib_pmapproc_set_2
00007ffa0c3119f8 (__TEXT,__text) external __newrpclib_pmapproc_unset_2
00007ffa0c30acf0 (__TEXT,__text) external __newrpclib_registerrpc
00007ffa0c314e0a (__TEXT,__text) non-external __newrpclib_registerrpc.cold.1
00007ffa0c314ea5 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.2
00007ffa0c314f40 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.3
00007ffa0c314fe5 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.4
00007ffa42745798 (__DATA,__bss) non-external __newrpclib_registerrpc.transp
00007ffa0c309aac (__TEXT,__text) external __newrpclib_rpc_control
00007ffa0c3149ac (__TEXT,__text) non-external __newrpclib_rpc_control.cold.1
00007ffa427458d8 (__DATA,__common) external __newrpclib_rpc_ipmode
00007ffa42745698 (__DATA,__data) external __newrpclib_rpc_v4mapped_ok
00007ffa0c308b30 (__TEXT,__text) external __newrpclib_rpcb_callit
00007ffa0c3132bd (__TEXT,__text) external __newrpclib_rpcb_getaddr
00007ffa0c3132dd (__TEXT,__text) external __newrpclib_rpcb_getaddr_for_host
00007ffa0c312b9a (__TEXT,__text) external __newrpclib_rpcb_getaddr_timeout
00007ffa0c3182f5 (__TEXT,__text) non-external __newrpclib_rpcb_getaddr_timeout.cold.1
00007ffa0c3132cd (__TEXT,__text) external __newrpclib_rpcb_getversaddr
00007ffa0c313210 (__TEXT,__text) external __newrpclib_rpcb_getversaddr_timeout
00007ffa0c30940c (__TEXT,__text) external __newrpclib_rpcb_indirect
00007ffa0c3133f5 (__TEXT,__text) external __newrpclib_rpcb_set
00007ffa0c313619 (__TEXT,__text) external __newrpclib_rpcb_unset
00007ffa0c311e56 (__TEXT,__text) external __newrpclib_rpcbproc_bcast_4
00007ffa0c311c21 (__TEXT,__text) external __newrpclib_rpcbproc_callit_3
00007ffa0c311be0 (__TEXT,__text) external __newrpclib_rpcbproc_dump_3
00007ffa0c311e15 (__TEXT,__text) external __newrpclib_rpcbproc_dump_4
00007ffa0c311b9a (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_3
00007ffa0c311dcf (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_4
00007ffa0c31200d (__TEXT,__text) external __newrpclib_rpcbproc_getaddrlist_4
00007ffa0c312053 (__TEXT,__text) external __newrpclib_rpcbproc_getstat_4
00007ffa0c311c6e (__TEXT,__text) external __newrpclib_rpcbproc_gettime_3
00007ffa0c311ea3 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_4
00007ffa0c311f7a (__TEXT,__text) external __newrpclib_rpcbproc_getversaddr_4
00007ffa0c311fc0 (__TEXT,__text) external __newrpclib_rpcbproc_indirect_4
00007ffa0c311b10 (__TEXT,__text) external __newrpclib_rpcbproc_set_3
00007ffa0c311d45 (__TEXT,__text) external __newrpclib_rpcbproc_set_4
00007ffa0c311cff (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_3
00007ffa0c311f34 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_4
00007ffa0c311cae (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_3
