00007ff810bee6a0 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff810bee510 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff810bef1a0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS.395
00007ff810beeca0 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff810bee7a0 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff810bef0a0 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff810beeba0 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff810be9af0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff810be9b10 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff810bd8ced (__TEXT,__text) non-external _active_outbound_item_reset
00007ff810bdda9c (__TEXT,__text) non-external _add_hd_table_incremental
00007ff810be16e1 (__TEXT,__text) non-external _bubble_down
00007ff810be1681 (__TEXT,__text) non-external _bubble_up
00007ff810bd8c00 (__TEXT,__text) non-external _buf_chain_new
00007ff810be2708 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _clock_gettime (from libSystem)
00007ff810bd8a61 (__TEXT,__text) non-external _default_calloc
00007ff810bd8e67 (__TEXT,__text) non-external _default_free
00007ff810bd8b18 (__TEXT,__text) non-external _default_malloc
00007ff810bd8cd0 (__TEXT,__text) non-external _default_realloc
00007ff810bdd5be (__TEXT,__text) non-external _emit_indname_block
00007ff810bdd6fc (__TEXT,__text) non-external _emit_string
00007ff810be0479 (__TEXT,__text) non-external _emit_table_size
00007ff810bddddf (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff810be48fb (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff810be0323 (__TEXT,__text) non-external _hd_context_free
00007ff810bde842 (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff810be1403 (__TEXT,__text) non-external _hd_get_table_entry
00007ff810bdf6ef (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff810bdf7b2 (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff810bdf5f4 (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff810bdf4d4 (__TEXT,__text) non-external _hd_inflate_read_len
00007ff810be0389 (__TEXT,__text) non-external _hd_ringbuf_get
00007ff810bea4b0 (__TEXT,__const) non-external _huff_decode_table
00007ff810be9ca0 (__TEXT,__const) non-external _huff_sym_table
00007ff810bdc110 (__TEXT,__text) non-external _insert
00007ff810be0a7c (__TEXT,__text) non-external _insert_link_dep
00007ff810bdca36 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ff810be072e (__TEXT,__text) non-external _map_resize
00007ff843eb7758 (__DATA,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff810bd9826 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00007ff810bd9042 (__TEXT,__text) non-external _nghttp2_bufs_add
00007ff810bddd91 (__TEXT,__text) non-external _nghttp2_bufs_addb
00007ff810be0417 (__TEXT,__text) non-external _nghttp2_bufs_free
00007ff810be9a90 (__TEXT,__text) external _nghttp2_check_authority
00007ff810bd8080 (__TEXT,__text) external _nghttp2_check_header_name
00007ff810bd80c2 (__TEXT,__text) external _nghttp2_check_header_value
00007ff810be99e3 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
00007ff810be9a30 (__TEXT,__text) external _nghttp2_check_method
00007ff810be9a5f (__TEXT,__text) external _nghttp2_check_path
00007ff810be15ec (__TEXT,__text) external _nghttp2_extpri_parse_priority
00007ff810bddf70 (__TEXT,__text) non-external _nghttp2_frame_add_pad
00007ff810be0d38 (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
00007ff810bdc2b9 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
00007ff810be0e2d (__TEXT,__text) non-external _nghttp2_frame_pack_priority_update
00007ff810be0c70 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
00007ff810bdc289 (__TEXT,__text) external _nghttp2_hd_deflate_bound
00007ff810bde803 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
00007ff810be12ac (__TEXT,__text) external _nghttp2_hd_deflate_del
00007ff810be1448 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
00007ff810be1452 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
00007ff810be13eb (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
00007ff810be13f9 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
00007ff810be0f7f (__TEXT,__text) external _nghttp2_hd_deflate_hd
00007ff810be0f89 (__TEXT,__text) external _nghttp2_hd_deflate_hd2
00007ff810bdc3ca (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
00007ff810be1088 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
00007ff810be1092 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec2
00007ff810bd8a74 (__TEXT,__text) non-external _nghttp2_hd_deflate_init2
00007ff810be1234 (__TEXT,__text) external _nghttp2_hd_deflate_new
00007ff810be1240 (__TEXT,__text) external _nghttp2_hd_deflate_new2
00007ff810be0f28 (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
00007ff810be13c8 (__TEXT,__text) external _nghttp2_hd_inflate_del
00007ff810bdf858 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
00007ff810be03c2 (__TEXT,__text) non-external _nghttp2_hd_inflate_free
00007ff810be1474 (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
00007ff810be147e (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
00007ff810be145c (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
00007ff810be146a (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
00007ff810be12cf (__TEXT,__text) external _nghttp2_hd_inflate_hd
