00000001900e7998 (__TEXT,__const) non-external _KW_ANY
00000001900e791d (__TEXT,__const) non-external _KW_ATTLIST
00000001900e794b (__TEXT,__const) non-external _KW_CDATA
00000001900e7900 (__TEXT,__const) non-external _KW_DOCTYPE
00000001900e7925 (__TEXT,__const) non-external _KW_ELEMENT
00000001900e7992 (__TEXT,__const) non-external _KW_EMPTY
00000001900e7961 (__TEXT,__const) non-external _KW_ENTITIES
00000001900e7916 (__TEXT,__const) non-external _KW_ENTITY
00000001900e798c (__TEXT,__const) non-external _KW_FIXED
00000001900e7951 (__TEXT,__const) non-external _KW_ID
00000001900e7954 (__TEXT,__const) non-external _KW_IDREF
00000001900e795a (__TEXT,__const) non-external _KW_IDREFS
00000001900e793e (__TEXT,__const) non-external _KW_IGNORE
00000001900e797b (__TEXT,__const) non-external _KW_IMPLIED
00000001900e7936 (__TEXT,__const) non-external _KW_INCLUDE
00000001900e80a8 (__TEXT,__const) non-external _KW_ISO_8859_1
00000001900e7945 (__TEXT,__const) non-external _KW_NDATA
00000001900e796a (__TEXT,__const) non-external _KW_NMTOKEN
00000001900e7972 (__TEXT,__const) non-external _KW_NMTOKENS
00000001900e792d (__TEXT,__const) non-external _KW_NOTATION
00000001900e799c (__TEXT,__const) non-external _KW_PCDATA
00000001900e790f (__TEXT,__const) non-external _KW_PUBLIC
00000001900e7983 (__TEXT,__const) non-external _KW_REQUIRED
00000001900e7908 (__TEXT,__const) non-external _KW_SYSTEM
00000001900e80b3 (__TEXT,__const) non-external _KW_US_ASCII
00000001900e80c2 (__TEXT,__const) non-external _KW_UTF_16
00000001900e80c9 (__TEXT,__const) non-external _KW_UTF_16BE
00000001900e80d2 (__TEXT,__const) non-external _KW_UTF_16LE
00000001900e80bc (__TEXT,__const) non-external _KW_UTF_8
00000001900e80e9 (__TEXT,__const) non-external _KW_encoding
00000001900e8101 (__TEXT,__const) non-external _KW_no
00000001900e80f2 (__TEXT,__const) non-external _KW_standalone
00000001900e80e1 (__TEXT,__const) non-external _KW_version
00000001900e80fd (__TEXT,__const) non-external _KW_yes
00000001900d16fc (__TEXT,__text) external _XML_DefaultCurrent
00000001900d182c (__TEXT,__text) external _XML_ErrorString
00000001900d1850 (__TEXT,__text) external _XML_ExpatVersion
00000001900d185c (__TEXT,__text) external _XML_ExpatVersionInfo
00000001900cfec0 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00000001900d16a8 (__TEXT,__text) external _XML_FreeContentModel
00000001900d0b44 (__TEXT,__text) external _XML_GetBase
00000001900d0ed8 (__TEXT,__text) external _XML_GetBuffer
00000001900d158c (__TEXT,__text) external _XML_GetCurrentByteCount
