00007ff80b7a7dfe (__TEXT,__text) non-external _Annihilate
00007ff80b7eb4f6 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80b7ebdb5 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80b7ea005 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80b7a7bf3 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80b7c428f (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80b798240 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80b7a7eda (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80b79852b (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80b7e84cf (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80b7e8e72 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80b798826 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80b7af718 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80b7bb744 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80b7bc3ee (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80b7baa9a (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80b7bae1b (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80b7bbac5 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80b7ba171 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80b7a1538 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80b7a2e82 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80b7a465c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80b7a5e36 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80b7a16a8 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80b7dbf28 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80b7de0c6 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80b7df063 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80b7e0000 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80b7e0f9d (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80b7e1f3a (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80b7e2ed7 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff80b7e3e74 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80b7e4f1b (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80b7dc18c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80b7dd129 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80b7b840e (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80b7cb6f0 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80b7bf1c3 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80b7b7a70 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80b7bf09a (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80b7add04 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80b7addd5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80b7adeb0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80b7adda0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80b7b23e4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80b7b23db (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80b7b22bc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80b7b4866 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80b7b239d (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
