                 (undefined) external _APP_SANDBOX_READ (from libSystem)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
0000000219404028 (__DATA,__data) external _PXR_WORK_THREAD_LIMIT
0000000219651558 (__DATA,__common) external _PXR_WORK_THREAD_LIMIT_value
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
000000020ace5eb0 (__TEXT,__text) external __Z10pathYyfreePvS_
000000020ace5e38 (__TEXT,__text) external __Z11pathYyallocmPv
000000020ae476cc (__TEXT,__text) external __Z11pathYyparseP21Sdf_PathParserContext
000000020ace6244 (__TEXT,__text) external __Z12pathYyget_inPv
000000020ace62dc (__TEXT,__text) external __Z12pathYyset_inP7__sFILEPv
000000020ace624c (__TEXT,__text) external __Z13pathYyget_outPv
000000020ace6484 (__TEXT,__text) external __Z13pathYyreallocPvmS_
000000020ace5c38 (__TEXT,__text) external __Z13pathYyrestartP7__sFILEPv
000000020ace62e4 (__TEXT,__text) external __Z13pathYyset_outP7__sFILEPv
000000020ae53214 (__TEXT,__text) external __Z14Sdf_ParseLayerRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_10shared_ptrIN38pxrInternal_v0_21__aapl__pxrReserved__7ArAssetEEES7_S7_bNS9_8TfRefPtrINS9_7SdfDataEEEPNS9_13SdfLayerHintsE
000000020ace6254 (__TEXT,__text) external __Z14pathYyget_lengPv
000000020ace62fc (__TEXT,__text) external __Z14pathYyget_lvalPv
000000020ace625c (__TEXT,__text) external __Z14pathYyget_textPv
000000020ace630c (__TEXT,__text) external __Z14pathYylex_initPPv
000000020ace6304 (__TEXT,__text) external __Z14pathYyset_lvalP18Sdf_PathLexerValuePv
000000020ace62ec (__TEXT,__text) external __Z15pathYyget_debugPv
000000020ace61f4 (__TEXT,__text) external __Z15pathYyget_extraPv
000000020ace62f4 (__TEXT,__text) external __Z15pathYyset_debugiPv
000000020ace6264 (__TEXT,__text) external __Z15pathYyset_extraPvS_
000000020ace6220 (__TEXT,__text) external __Z16pathYyget_columnPv
000000020ace61fc (__TEXT,__text) external __Z16pathYyget_linenoPv
000000020ace62a4 (__TEXT,__text) external __Z16pathYyset_columniPv
000000020ace626c (__TEXT,__text) external __Z16pathYyset_linenoiPv
000000020ace615c (__TEXT,__text) external __Z17pathYy_scan_bytesPKcmPv
000000020ace640c (__TEXT,__text) external __Z17pathYylex_destroyPv
000000020ace6080 (__TEXT,__text) external __Z18pathYy_scan_bufferPcmPv
000000020ace6118 (__TEXT,__text) external __Z18pathYy_scan_stringPKcPv
