000000018d288990 (__TEXT,__const) non-external _SHA256_K
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018d27b008 (__TEXT,__text) non-external _alone_decode
000000018d27b2b8 (__TEXT,__text) non-external _alone_decoder_end
000000018d27b2f8 (__TEXT,__text) non-external _alone_decoder_memconfig
000000018d279f90 (__TEXT,__text) non-external _alone_encode
000000018d27a0c4 (__TEXT,__text) non-external _alone_encoder_end
000000018d279e1c (__TEXT,__text) non-external _alone_encoder_init
000000018d2844c0 (__TEXT,__text) non-external _arm_code
000000018d284598 (__TEXT,__text) non-external _armthumb_code
000000018d27b528 (__TEXT,__text) non-external _auto_decode
000000018d27b684 (__TEXT,__text) non-external _auto_decoder_end
000000018d27b6c4 (__TEXT,__text) non-external _auto_decoder_get_check
000000018d27b41c (__TEXT,__text) non-external _auto_decoder_init
000000018d27b6dc (__TEXT,__text) non-external _auto_decoder_memconfig
000000018d27b9e8 (__TEXT,__text) non-external _block_decode
000000018d27bc10 (__TEXT,__text) non-external _block_decoder_end
000000018d274d74 (__TEXT,__text) non-external _block_encode
000000018d27a340 (__TEXT,__text) non-external _block_encode_normal
000000018d27a4f4 (__TEXT,__text) non-external _block_encode_uncompressed
000000018d278fa8 (__TEXT,__text) non-external _block_encoder_end
000000018d272fbc (__TEXT,__text) non-external _block_encoder_init
000000018d27a69c (__TEXT,__text) non-external _block_encoder_update
000000018d277e30 (__TEXT,__text) non-external _bt_find_func
000000018d275cb4 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _bzero (from libSystem)
000000018d283e0c (__TEXT,__text) non-external _copy_or_code
000000018d27f5f8 (__TEXT,__text) non-external _decode_buffer
000000018d27c110 (__TEXT,__text) non-external _decoder_find
00000001dd876ff8 (__AUTH_CONST,__const) non-external _decoders
000000018d2836a8 (__TEXT,__text) non-external _delta_coder_end
000000018d2838cc (__TEXT,__text) non-external _delta_decode
000000018d283738 (__TEXT,__text) non-external _delta_encode
000000018d283868 (__TEXT,__text) non-external _delta_encoder_update
000000018d2735f8 (__TEXT,__text) non-external _encoder_find
00000001dd876e00 (__AUTH_CONST,__const) non-external _encoders
000000018d284830 (__TEXT,__const) non-external _features
                 (undefined) external _free (from libSystem)
000000018d27be98 (__TEXT,__text) non-external _free_properties
000000018d277f54 (__TEXT,__text) non-external _get_literal_price
