00000001ef189810 (__TEXT,__text) non-external _Annihilate
00000001ef1c4a10 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00000001ef1c5060 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00000001ef1c3ba4 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00000001ef189580 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00000001ef1a1dec (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00000001ef17d02c (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00000001ef1898f0 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00000001ef17d288 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00000001ef1c23c0 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00000001ef1c2c4c (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00000001ef17d500 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00000001ef19009c (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00000001ef19b3c8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00000001ef19bf98 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00000001ef19a7f8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00000001ef19ab00 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00000001ef19b6d0 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00000001ef199f30 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00000001ef18411c (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00000001ef185634 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00000001ef186990 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00000001ef187cec (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00000001ef1842d8 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00000001ef1b64a8 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00000001ef1b8390 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00000001ef1b9198 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00000001ef1b9fa0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00000001ef1bada8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00000001ef1bbbb0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00000001ef1bc9b8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00000001ef1bd7c0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00000001ef1be6e0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00000001ef1b6780 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00000001ef1b7588 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00000001ef1981e8 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00000001ef1a87b0 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00000001ef19e54c (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00000001ef1977e4 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00000001ef19e3ec (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00000001ef18e748 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00000001ef18e868 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00000001ef18e984 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00000001ef18e808 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00000001ef192a38 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00000001ef192a30 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00000001ef1928e0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00000001ef1949bc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00000001ef1929e4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00000001ef1929c4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00000001ef18e6f4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00000001ef194978 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00000001ef1948f8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00000001ef1947c4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00000001ef1948ac (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00000001ef192918 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00000001ef192a60 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00000001ef18e478 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00000001ef18e480 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00000001ef18a454 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00000001ef17daf4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00000001ef17f6e0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00000001ef17d8cc (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00000001ef17d9e4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00000001ef18351c (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00000001ef1804a4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00000001ef17dacc (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00000001ef17d7e8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00000001ef18352c (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00000001ef183594 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00000001ef1912b4 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00000001ef19705c (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00000001ef1b488c (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00000001ef1896d0 (__TEXT,__text) non-external (was a private external) _BrotliFree
00000001ef1898e0 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00000001ef1a1574 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00000001ef19b028 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00000001ef19bbf8 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00000001ef19a458 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00000001ef19ad58 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00000001ef19b928 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00000001ef19a188 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00000001ef19b22c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00000001ef19bdfc (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00000001ef19a65c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00000001ef19b0bc (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00000001ef19bc8c (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00000001ef19a4ec (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00000001ef18e558 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00000001ef18a444 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00000001ef1c22a0 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00000001ef1a1500 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00000001ef189540 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00000001ef19cad4 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00000001ef1b633c (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00000001ef1c3a90 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00000001ef197a84 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00000001ef1a594c (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00000001ef1a5d70 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00000001ef1a5528 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00000001ef1e7408 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00000001ef18e5b8 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00000001ef19770c (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00000001ef1898ec (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00000001ef18a494 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00000001ef1a1b3c (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00000001ef21b548 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00000001ef21b542 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00000001ef21b530 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00000001ef1a2530 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00000001ef1a474c (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00000001ef1890e4 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00000001ef1bf600 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00000001ef1a3db4 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00000001ef1a4b10 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00000001ef1a1580 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00000001ef18e568 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00000001ef18972c (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00000001ef197db8 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00000001ef19ce08 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00000001ef19cb00 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00000001ef1a3128 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00000001ef189384 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00000001ef1a40b4 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00000001ef18918c (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00000001ef1a4010 (__TEXT,__text) non-external _BuildHistograms
00000001ef1c72a0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00000001ef1c73a0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00000001ef1835a0 (__TEXT,__text) non-external _ChooseDistanceParams
00000001ef1895ec (__TEXT,__text) non-external _CollectGarbagePointers
00000001ef1c2a68 (__TEXT,__text) non-external _ComputeDistanceCost
00000001ef19e370 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00000001ef1c41dc (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00000001ef190cac (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00000001ef1a8998 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00000001ef1a97d8 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00000001ef1b15e8 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00000001ef1aa30c (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00000001ef1ad56c (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00000001ef1ae6d4 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00000001ef1af888 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00000001ef1ab29c (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00000001ef1b0aa4 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00000001ef1b2480 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00000001ef1ac3c8 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00000001ef1b336c (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00000001ef1c7190 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00000001ef192f14 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00000001ef190e58 (__TEXT,__text) non-external _DecodeContextMap
00000001ef193988 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00000001ef193448 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00000001ef18fb5c (__TEXT,__text) non-external _DecodeMetaBlockLength
00000001ef190108 (__TEXT,__text) non-external _DecodeVarLenUint8
00000001ef189048 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00000001ef1a35cc (__TEXT,__text) non-external _EncodeContextMap
00000001ef180600 (__TEXT,__text) non-external _EncodeData
00000001ef19e1c4 (__TEXT,__text) non-external _EvaluateNode
00000001ef1e7488 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00000001ef224928 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00000001ef1838e0 (__TEXT,__text) non-external _GetBrotliStorage
00000001ef183954 (__TEXT,__text) non-external _GetHashTable
00000001ef1c7090 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00000001ef23d449 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00000001ef1c7010 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00000001ef19d8d4 (__TEXT,__text) non-external _InitZopfliCostModel
00000001ef1804c8 (__TEXT,__text) non-external _InjectFlushOrPushOutput
00000001ef192b2c (__TEXT,__text) non-external _InverseMoveToFrontTransform
00000001ef1995e0 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00000001ef199590 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00000001ef1994a0 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00000001ef183864 (__TEXT,__text) non-external _PrepareH54
00000001ef1837f0 (__TEXT,__text) non-external _PrepareH6
00000001ef191360 (__TEXT,__text) non-external _ProcessCommands
00000001ef1902d4 (__TEXT,__text) non-external _ReadHuffmanCode
00000001ef192bec (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00000001ef19364c (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00000001ef1930d8 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00000001ef192a6c (__TEXT,__text) non-external _SafeDecodeSymbol
00000001ef191d80 (__TEXT,__text) non-external _SafeProcessCommands
00000001ef18f9fc (__TEXT,__text) non-external _SaveErrorCode
00000001ef19f540 (__TEXT,__text) non-external _SetCost
00000001ef1a1824 (__TEXT,__text) non-external _Shift
00000001ef1835f8 (__TEXT,__text) non-external _ShouldCompress
00000001ef1c71a0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00000001ef189788 (__TEXT,__text) non-external _SortPointers
00000001ef1c7718 (__TEXT,__const) non-external _SortPointers.gaps
00000001ef21c258 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00000001ef21c058 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00000001ef1a2ff0 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00000001ef1a44b8 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00000001ef1a3a74 (__TEXT,__text) non-external _StoreSymbol
00000001ef1a3c10 (__TEXT,__text) non-external _StoreSymbolWithContext
00000001ef1a33b8 (__TEXT,__text) non-external _StoreTrivialContextMap
00000001ef1a4ca0 (__TEXT,__text) non-external _StoreVarLenUint8
00000001ef19da6c (__TEXT,__text) non-external _UpdateNodes
00000001ef19289c (__TEXT,__text) non-external _WrapRingBuffer
00000001ef18fa10 (__TEXT,__text) non-external _WriteRingBuffer
00000001ef19d950 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
0000000201cb9448 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001ef195cb0 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00000001ef223318 (__TEXT,__const) non-external (was a private external) __dist_code
00000001ef21b848 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00000001ef1c74b0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00000001ef223518 (__TEXT,__const) non-external (was a private external) __length_code
00000001ef1c1498 (__TEXT,__text) non-external (was a private external) __tr_align
00000001ef1766ac (__TEXT,__text) non-external (was a private external) __tr_flush_block
00000001ef17c5ac (__TEXT,__text) non-external (was a private external) __tr_init
00000001ef1c1350 (__TEXT,__text) non-external (was a private external) __tr_stored_block
00000001ef1c1b40 (__TEXT,__text) non-external (was a private external) __tr_tally
00000001ef17cb40 (__TEXT,__text) non-external (was a private external) _adler32
00000001ef194b6c (__TEXT,__text) non-external (was a private external) _adler32_combine
00000001ef194c34 (__TEXT,__text) non-external (was a private external) _adler32_combine64
00000001ef194b70 (__TEXT,__text) non-external _adler32_combine_
00000001ef1c6930 (__TEXT,__text) non-external (was a private external) _adler32_vec
00000001ef194a2c (__TEXT,__text) non-external (was a private external) _adler32_z
00000001ef223cd0 (__TEXT,__const) non-external _base_dist
00000001ef223c5c (__TEXT,__const) non-external _base_length
00000001ef1c167c (__TEXT,__text) non-external _bi_flush
00000001ef1c1acc (__TEXT,__text) non-external _bi_windup
00000001ef223c48 (__TEXT,__const) non-external _bl_order
00000001ef21b5e8 (__TEXT,__const) non-external _breverse.brev8
00000001ef1bfc18 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00000001ef1bfc60 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00000001ef1bfcac (__TEXT,__text) non-external (was a private external) _brotli_stream_decode
00000001ef1bfd00 (__TEXT,__text) non-external (was a private external) _brotli_stream_encode
00000001ef1bfe7c (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00000001ef1bfd9c (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00000001ef1bfd78 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00000001ef17cb44 (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00000001ef1c170c (__TEXT,__text) non-external _compress_block
00000001ef1733b8 (__TEXT,__text) external _compression_decode_buffer
00000001ef173738 (__TEXT,__text) external _compression_decode_scratch_buffer_size
00000001ef172d80 (__TEXT,__text) external _compression_encode_buffer
00000001ef1740a4 (__TEXT,__text) external _compression_encode_scratch_buffer_size
00000001ef17a794 (__TEXT,__text) external _compression_stream_destroy
00000001ef196f44 (__TEXT,__text) external _compression_stream_get_decode_state_size
00000001ef196ef4 (__TEXT,__text) external _compression_stream_get_encode_state_size
00000001ef196ea4 (__TEXT,__text) external _compression_stream_get_state_size
00000001ef196e10 (__TEXT,__text) external _compression_stream_identify_algorithm
00000001ef173d28 (__TEXT,__text) external _compression_stream_init
00000001ef196d78 (__TEXT,__text) external _compression_stream_init_with_state_buffer
00000001ef196f94 (__TEXT,__text) external _compression_stream_is_state_valid
00000001ef177af8 (__TEXT,__text) external _compression_stream_process
00000001ef196db0 (__TEXT,__text) external _compression_stream_reinit
0000000207377618 (__AUTH_CONST,__const) non-external _configuration_table
00000001ef1a7164 (__TEXT,__text) external _cosmix_codec_decode
00000001ef1a685c (__TEXT,__text) external _cosmix_codec_encode
00000001ef1a707c (__TEXT,__text) external _cosmix_codec_get_decoded_size
00000001ef1a7c0c (__TEXT,__text) external _cosmix_codec_get_id
00000001ef1a7a58 (__TEXT,__text) external _cosmix_codec_map
00000001ef1a7bac (__TEXT,__text) external _cosmix_codec_unmap
00000001ef1a764c (__TEXT,__text) external _cosmix_model_create
00000001ef1a77a4 (__TEXT,__text) external _cosmix_model_destroy
00000001ef1a77ec (__TEXT,__text) external _cosmix_model_save_codec
