                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff814521942 (__TEXT,__text) non-external _alone_decode
00007ff814521bfc (__TEXT,__text) non-external _alone_decoder_end
00007ff814521c1d (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff8145204e0 (__TEXT,__text) non-external _alone_encode
00007ff8145205a4 (__TEXT,__text) non-external _alone_encoder_end
00007ff814520365 (__TEXT,__text) non-external _alone_encoder_init
00007ff81452bd94 (__TEXT,__text) non-external _arm64_code
00007ff81452ed79 (__TEXT,__text) non-external _arm_code
00007ff81452ee4c (__TEXT,__text) non-external _armthumb_code
00007ff814521de3 (__TEXT,__text) non-external _auto_decode
00007ff814521f20 (__TEXT,__text) non-external _auto_decoder_end
00007ff814521f41 (__TEXT,__text) non-external _auto_decoder_get_check
00007ff814521d07 (__TEXT,__text) non-external _auto_decoder_init
00007ff814521f58 (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff814534930 (__TEXT,__const) non-external _bcj_optmap
00007ff814520661 (__TEXT,__text) non-external _block_buffer_encode
00007ff81452227e (__TEXT,__text) non-external _block_decode
00007ff814522513 (__TEXT,__text) non-external _block_decoder_end
00007ff81451aa4d (__TEXT,__text) non-external _block_encode
00007ff814520921 (__TEXT,__text) non-external _block_encode_normal
00007ff814520a83 (__TEXT,__text) non-external _block_encode_uncompressed
00007ff81451f486 (__TEXT,__text) non-external _block_encoder_end
00007ff814518c5e (__TEXT,__text) non-external _block_encoder_init
00007ff814520c04 (__TEXT,__text) non-external _block_encoder_update
00007ff81451e30f (__TEXT,__text) non-external _bt_find_func
00007ff81451bcec (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _clock_gettime (from libSystem)
00007ff81452e6e3 (__TEXT,__text) non-external _copy_or_code
00007ff814526e02 (__TEXT,__text) non-external _decode_buffer
00007ff814522941 (__TEXT,__text) non-external _decoder_find
00007ff8416d5050 (__DATA_CONST,__const) non-external _decoders
00007ff81452df7c (__TEXT,__text) non-external _delta_coder_end
00007ff81452e15b (__TEXT,__text) non-external _delta_decode
00007ff81452dfed (__TEXT,__text) non-external _delta_encode
00007ff81452e10a (__TEXT,__text) non-external _delta_encoder_update
00007ff814534950 (__TEXT,__const) non-external _delta_optmap
00007ff8145191ce (__TEXT,__text) non-external _encoder_find
00007ff8416d4de0 (__DATA_CONST,__const) non-external _encoders
00007ff814530710 (__TEXT,__const) non-external _features
00007ff8145279ad (__TEXT,__text) non-external _file_info_decode
00007ff814528070 (__TEXT,__text) non-external _file_info_decoder_end
00007ff8145280b0 (__TEXT,__text) non-external _file_info_decoder_memconfig
00007ff8416d51b0 (__DATA_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
00007ff81451e480 (__TEXT,__text) non-external _get_literal_price
00007ff81452f36f (__TEXT,__text) non-external _get_options
00007ff81452fd16 (__TEXT,__text) non-external _get_progress
