000000023515067c (__TEXT,__text) external _LLVMExtraCreateBinary
00000002351507dc (__TEXT,__text) external _LLVMExtraDisposeBinary
00000002351505e8 (__TEXT,__text) external _LLVMExtraDisposeSharedModule
0000000235150950 (__TEXT,__text) external _LLVMExtraGetSymbolImplAddress
0000000235150b38 (__TEXT,__text) external _LLVMExtraGetSymbolImplName
0000000235150a44 (__TEXT,__text) external _LLVMExtraGetSymbolImplSize
0000000235150808 (__TEXT,__text) external _LLVMExtraMachOUniversalBinaryCopyIRForArch
0000000235150568 (__TEXT,__text) external _LLVMExtraMakeSharedModule
000000023514f1e4 (__TEXT,__text) external _MTLArchiveAddMember
000000023514f0e8 (__TEXT,__text) external _MTLArchiveCreate
000000023514f178 (__TEXT,__text) external _MTLArchiveDestroy
0000000235155144 (__TEXT,__text) external _MTLArchiveGetAsObject
000000023514f2f0 (__TEXT,__text) external _MTLArchiveGetMemberNo
000000023514f28c (__TEXT,__text) external _MTLArchiveGetMembersCount
0000000235155328 (__TEXT,__text) external _MTLCreateScript
00000002351554dc (__TEXT,__text) external _MTLDestroyScript
0000000235152e20 (__TEXT,__text) external _MTLDisposeSharedMetalModule
0000000235147120 (__TEXT,__text) external _MTLDowngradeAIRModule
00000002351470d4 (__TEXT,__text) external _MTLEnablePrettyStackTrace
000000023514b878 (__TEXT,__text) external _MTLFunctionGroupCreate
000000023514ba60 (__TEXT,__text) external _MTLFunctionGroupDestroy
000000023514bb88 (__TEXT,__text) external _MTLFunctionGroupGetFunctionAtIndex
000000023514bb38 (__TEXT,__text) external _MTLFunctionGroupGetFunctionsCount
000000023514bae0 (__TEXT,__text) external _MTLFunctionGroupGetName
0000000235145cf0 (__TEXT,__text) external _MTLGPUArchiverAddDescriptor
0000000235145940 (__TEXT,__text) external _MTLGPUArchiverAddLinkedModules
0000000235145a74 (__TEXT,__text) external _MTLGPUArchiverAddLinkedModulesWithReferences
0000000235145ba8 (__TEXT,__text) external _MTLGPUArchiverAddPipeline
000000023514665c (__TEXT,__text) external _MTLGPUArchiverAddTool
00000002351456a8 (__TEXT,__text) external _MTLGPUArchiverAddUnit
00000002351457f4 (__TEXT,__text) external _MTLGPUArchiverAddUnitWithReference
00000002351468c0 (__TEXT,__text) external _MTLGPUArchiverBuildToBuffer
00000002351469d4 (__TEXT,__text) external _MTLGPUArchiverBuildToFD
0000000235144e88 (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriter
0000000235145278 (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriterWithId
0000000235144fd8 (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriter
00000002351453c8 (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriterWithId
0000000235144d38 (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriter
0000000235145128 (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriterWithId
0000000235145518 (__TEXT,__text) external _MTLGPUArchiverDeleteWithId
0000000235145640 (__TEXT,__text) external _MTLGPUArchiverDestroy
0000000235146c2c (__TEXT,__text) external _MTLGPUArchiverDumpStateToBuffer
0000000235146d40 (__TEXT,__text) external _MTLGPUArchiverDumpStateToFD
0000000235146b20 (__TEXT,__text) external _MTLGPUArchiverFlush
0000000235146f0c (__TEXT,__text) external _MTLGPUArchiverFromId
0000000235146550 (__TEXT,__text) external _MTLGPUArchiverKeepPackingSymbols
00000002351467b4 (__TEXT,__text) external _MTLGPUArchiverPackUnits
000000023514643c (__TEXT,__text) external _MTLGPUArchiverSetActivePlatform
00000002351461cc (__TEXT,__text) external _MTLGPUArchiverSetInstallName
0000000235146304 (__TEXT,__text) external _MTLGPUArchiverSetTarget
000000023514608c (__TEXT,__text) external _MTLGPUArchiverSetUnitHash
0000000235145e24 (__TEXT,__text) external _MTLGPUArchiverSetUnitReflection
0000000235145f58 (__TEXT,__text) external _MTLGPUArchiverSetUnitReflectionWithReference
0000000235146e8c (__TEXT,__text) external _MTLGPUArchiverToId
0000000235144c60 (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithMemoryBuffer
