00007ff810bc66a0 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff810bc6510 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff810bc71a0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS.395
00007ff810bc6ca0 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff810bc67a0 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff810bc70a0 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff810bc6ba0 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff810bc1af0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff810bc1b10 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff810bb0ced (__TEXT,__text) non-external _active_outbound_item_reset
00007ff810bb5a9c (__TEXT,__text) non-external _add_hd_table_incremental
00007ff810bb96e1 (__TEXT,__text) non-external _bubble_down
00007ff810bb9681 (__TEXT,__text) non-external _bubble_up
00007ff810bb0c00 (__TEXT,__text) non-external _buf_chain_new
00007ff810bba708 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _clock_gettime (from libSystem)
00007ff810bb0a61 (__TEXT,__text) non-external _default_calloc
00007ff810bb0e67 (__TEXT,__text) non-external _default_free
00007ff810bb0b18 (__TEXT,__text) non-external _default_malloc
00007ff810bb0cd0 (__TEXT,__text) non-external _default_realloc
00007ff810bb55be (__TEXT,__text) non-external _emit_indname_block
00007ff810bb56fc (__TEXT,__text) non-external _emit_string
00007ff810bb8479 (__TEXT,__text) non-external _emit_table_size
00007ff810bb5ddf (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff810bbc8fb (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff810bb8323 (__TEXT,__text) non-external _hd_context_free
00007ff810bb6842 (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff810bb9403 (__TEXT,__text) non-external _hd_get_table_entry
00007ff810bb76ef (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff810bb77b2 (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff810bb75f4 (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff810bb74d4 (__TEXT,__text) non-external _hd_inflate_read_len
00007ff810bb8389 (__TEXT,__text) non-external _hd_ringbuf_get
00007ff810bc24b0 (__TEXT,__const) non-external _huff_decode_table
00007ff810bc1ca0 (__TEXT,__const) non-external _huff_sym_table
00007ff810bb4110 (__TEXT,__text) non-external _insert
00007ff810bb8a7c (__TEXT,__text) non-external _insert_link_dep
00007ff810bb4a36 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ff810bb872e (__TEXT,__text) non-external _map_resize
00007ff843ea39f8 (__DATA,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff810bb1826 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00007ff810bb1042 (__TEXT,__text) non-external _nghttp2_bufs_add
00007ff810bb5d91 (__TEXT,__text) non-external _nghttp2_bufs_addb
00007ff810bb8417 (__TEXT,__text) non-external _nghttp2_bufs_free
00007ff810bc1a90 (__TEXT,__text) external _nghttp2_check_authority
00007ff810bb0080 (__TEXT,__text) external _nghttp2_check_header_name
00007ff810bb00c2 (__TEXT,__text) external _nghttp2_check_header_value
00007ff810bc19e3 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
00007ff810bc1a30 (__TEXT,__text) external _nghttp2_check_method
00007ff810bc1a5f (__TEXT,__text) external _nghttp2_check_path
00007ff810bb95ec (__TEXT,__text) external _nghttp2_extpri_parse_priority
00007ff810bb5f70 (__TEXT,__text) non-external _nghttp2_frame_add_pad
00007ff810bb8d38 (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
00007ff810bb42b9 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
00007ff810bb8e2d (__TEXT,__text) non-external _nghttp2_frame_pack_priority_update
00007ff810bb8c70 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
00007ff810bb4289 (__TEXT,__text) external _nghttp2_hd_deflate_bound
00007ff810bb6803 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
00007ff810bb92ac (__TEXT,__text) external _nghttp2_hd_deflate_del
00007ff810bb9448 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
00007ff810bb9452 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
00007ff810bb93eb (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
00007ff810bb93f9 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
00007ff810bb8f7f (__TEXT,__text) external _nghttp2_hd_deflate_hd
00007ff810bb8f89 (__TEXT,__text) external _nghttp2_hd_deflate_hd2
00007ff810bb43ca (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
00007ff810bb9088 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
00007ff810bb9092 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec2
00007ff810bb0a74 (__TEXT,__text) non-external _nghttp2_hd_deflate_init2
00007ff810bb9234 (__TEXT,__text) external _nghttp2_hd_deflate_new
00007ff810bb9240 (__TEXT,__text) external _nghttp2_hd_deflate_new2
00007ff810bb8f28 (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
00007ff810bb93c8 (__TEXT,__text) external _nghttp2_hd_inflate_del
00007ff810bb7858 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
00007ff810bb83c2 (__TEXT,__text) non-external _nghttp2_hd_inflate_free
00007ff810bb9474 (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
00007ff810bb947e (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
00007ff810bb945c (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
00007ff810bb946a (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
00007ff810bb92cf (__TEXT,__text) external _nghttp2_hd_inflate_hd
00007ff810bb933e (__TEXT,__text) external _nghttp2_hd_inflate_hd2
00007ff810bb92d9 (__TEXT,__text) external _nghttp2_hd_inflate_hd3
00007ff810bb6da4 (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
00007ff810bb0b2b (__TEXT,__text) non-external _nghttp2_hd_inflate_init
00007ff810bb9356 (__TEXT,__text) external _nghttp2_hd_inflate_new
00007ff810bb9362 (__TEXT,__text) external _nghttp2_hd_inflate_new2
00007ff810bb5982 (__TEXT,__text) non-external _nghttp2_hd_table_get
00007ff810bc1ac1 (__TEXT,__text) external _nghttp2_http2_strerror
00007ff810bba9fa (__TEXT,__text) non-external _nghttp2_http_on_request_headers
00007ff810bb7898 (__TEXT,__text) non-external _nghttp2_http_on_response_headers
00007ff810bba7d7 (__TEXT,__text) non-external _nghttp2_http_parse_priority
00007ff810bb41d1 (__TEXT,__text) non-external _nghttp2_http_record_request_method
00007ff810bc16c2 (__TEXT,__text) non-external _nghttp2_increase_local_window_size
00007ff810bbb76d (__TEXT,__text) external _nghttp2_is_fatal
00007ff810bb1470 (__TEXT,__text) non-external _nghttp2_iv_check
00007ff810bb17a7 (__TEXT,__text) non-external _nghttp2_map_find
00007ff810bb1b84 (__TEXT,__text) non-external _nghttp2_nv_array_copy
00007ff810bb8edf (__TEXT,__text) external _nghttp2_nv_compare_name
00007ff810baf7f7 (__TEXT,__text) external _nghttp2_option_del
00007ff810baf6fe (__TEXT,__text) external _nghttp2_option_new
00007ff810bb8667 (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
00007ff810bb8713 (__TEXT,__text) external _nghttp2_option_set_max_continuations
00007ff810bb86b1 (__TEXT,__text) external _nghttp2_option_set_max_deflate_dynamic_table_size
00007ff810bb86cc (__TEXT,__text) external _nghttp2_option_set_max_outbound_ack
00007ff810bb8635 (__TEXT,__text) external _nghttp2_option_set_max_reserved_remote_streams
00007ff810bb86a3 (__TEXT,__text) external _nghttp2_option_set_max_send_header_block_length
00007ff810bb86da (__TEXT,__text) external _nghttp2_option_set_max_settings
00007ff810bb8696 (__TEXT,__text) external _nghttp2_option_set_no_auto_ping_ack
00007ff810baf741 (__TEXT,__text) external _nghttp2_option_set_no_auto_window_update
00007ff810baf78f (__TEXT,__text) external _nghttp2_option_set_no_closed_streams
00007ff810baf768 (__TEXT,__text) external _nghttp2_option_set_no_http_messaging
00007ff810baf781 (__TEXT,__text) external _nghttp2_option_set_no_http_semantics
00007ff810bb861b (__TEXT,__text) external _nghttp2_option_set_no_recv_client_magic
00007ff810bb86f5 (__TEXT,__text) external _nghttp2_option_set_no_rfc9113_leading_and_trailing_ws_validation
00007ff810baf74e (__TEXT,__text) external _nghttp2_option_set_peer_max_concurrent_streams
00007ff810bb86e8 (__TEXT,__text) external _nghttp2_option_set_server_fallback_rfc7540_priorities
00007ff810bb8702 (__TEXT,__text) external _nghttp2_option_set_stream_reset_rate_limit
00007ff810bb8642 (__TEXT,__text) external _nghttp2_option_set_user_recv_extension_type
00007ff810bb0db1 (__TEXT,__text) non-external _nghttp2_outbound_item_free
00007ff810bbb608 (__TEXT,__text) external _nghttp2_pack_settings_payload
00007ff810bbb612 (__TEXT,__text) external _nghttp2_pack_settings_payload2
00007ff810bb95f6 (__TEXT,__text) non-external _nghttp2_pq_push
00007ff810bb9762 (__TEXT,__text) non-external _nghttp2_pq_remove
00007ff810bb982b (__TEXT,__text) external _nghttp2_priority_spec_check_default
00007ff810bb1b64 (__TEXT,__text) external _nghttp2_priority_spec_default_init
00007ff810bb0413 (__TEXT,__text) external _nghttp2_priority_spec_init
00007ff810bafbf8 (__TEXT,__text) external _nghttp2_rcbuf_decref
00007ff810bbaa9d (__TEXT,__text) external _nghttp2_rcbuf_get_buf
00007ff810bb5a15 (__TEXT,__text) external _nghttp2_rcbuf_incref
