                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00007ff8421d5678 (__DATA,__data) external _CMFSSEAM_DEFAULT
00007ff80ad16488 (__TEXT,__const) external _CONTAINER_CURRENT_MOBILE_UID
00007ff80ad16490 (__TEXT,__const) external _CONTAINER_INSTALLATION_UID
00007ff8421d4c18 (__DATA,__const) external _CONTAINER_NOTIFY_USER_INVALIDATED
00007ff8421d4c28 (__DATA,__const) external _CONTAINER_PERSONA_CURRENT
00007ff80ad1647e (__TEXT,__const) non-external _CONTAINER_PERSONA_DEFAULT
00007ff8421d4c20 (__DATA,__const) external _CONTAINER_PERSONA_PRIMARY
00007ff80ad1648c (__TEXT,__const) external _CONTAINER_SYSTEM_UID
00007ff8421d5b30 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.cache
00007ff8421d5b38 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.lock
00007ff8421d5b40 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.once_token
00007ff80ad16494 (__TEXT,__const) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.persona_name_default
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libsystem_sandbox)
                 (undefined) external _SANDBOX_EXTENSION_DEFAULT (from libsystem_sandbox)
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff8421d4880 (__DATA,__const) non-external __CONTAINER_NAMES
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff80ad08434 (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke
00007ff80ad0851f (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke_2
00007ff80ad08867 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke
00007ff80ad088ea (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.10
00007ff80ad0888f (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.7
00007ff80ad0890e (__TEXT,__text) non-external _____locked_clear_per_persona_data_block_invoke
00007ff80ad08410 (__TEXT,__text) non-external _____locked_revoke_block_invoke
00007ff80ad110bd (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke
00007ff80ad11073 (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke_2
00007ff80ad0ffa7 (__TEXT,__text) non-external ____container_legacy_lookup_multiple_block_invoke
00007ff80ad03d36 (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke
00007ff80ad03d54 (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke_2
00007ff80acfc97f (__TEXT,__text) non-external ____container_paths_chown_component_block_invoke
00007ff80ad01dc3 (__TEXT,__text) non-external ____container_xpc_default_sender_block_invoke
00007ff80acff1d3 (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke
00007ff80acfef9f (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke.13
00007ff80ad01fbb (__TEXT,__text) non-external ____container_xpc_pthread_key_for_client_context_block_invoke
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff8421d3800 (__DATA,__const) non-external ___block_descriptor_tmp
00007ff8421d3dc0 (__DATA,__const) non-external ___block_descriptor_tmp.1
00007ff8421d4210 (__DATA,__const) non-external ___block_descriptor_tmp.1.251
00007ff8421d4380 (__DATA,__const) non-external ___block_descriptor_tmp.1.318
00007ff8421d44d0 (__DATA,__const) non-external ___block_descriptor_tmp.1.376
00007ff8421d4760 (__DATA,__const) non-external ___block_descriptor_tmp.1.531
