                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHTTPURLResponse (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTextCheckingResult (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSessionConfiguration (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OS_dispatch_queue (from libSystem)
                 (undefined) external _OBJC_CLASS_$_OS_dispatch_source (from libSystem)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
0000000218ffca00 (__AUTH,__objc_data) external _OBJC_CLASS_$__TtC10PegasusKit10ClientName
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
0000000218ffc930 (__AUTH,__data) external _OBJC_METACLASS_$__TtC10PegasusKit10ClientName
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
00000001f87d5368 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f87d8150 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f87d8424 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f87da45c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f87dad54 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f87dd44c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f87e01c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f87e41cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f87e6f1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f87e9d68 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f87ef8a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f87f0aa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f87f4d90 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f87fdf40 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f88014f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f8801e40 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
