                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018f1696b0 (__TEXT,__text) non-external _au_assemble
000000018f16ae9c (__TEXT,__text) external _au_bsm_to_domain
000000018f176f10 (__TEXT,__text) external _au_bsm_to_errno
000000018f176fd8 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
000000018f172614 (__TEXT,__text) external _au_bsm_to_socket_type
000000018f16993c (__TEXT,__text) external _au_close
000000018f169a0c (__TEXT,__text) external _au_close_buffer
000000018f169af0 (__TEXT,__text) external _au_close_token
000000018f1695c8 (__TEXT,__text) external _au_close_with_errors
00000001ecf82928 (__DATA_DIRTY,__bss) non-external _au_cond
000000018f16ae68 (__TEXT,__text) external _au_domain_to_bsm
000000018f176ed8 (__TEXT,__text) external _au_errno_to_bsm
000000018f176fa4 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
000000018f168c38 (__TEXT,__text) external _au_fetch_tok
000000018f16939c (__TEXT,__text) external _au_free_token
000000018f1724d0 (__TEXT,__text) external _au_get_state
000000018f1723f0 (__TEXT,__text) external _au_notify_initialize
000000018f1724a8 (__TEXT,__text) external _au_notify_terminate
000000018f1693e4 (__TEXT,__text) external _au_open
00000001e74324e0 (__DATA_CONST,__const) non-external _au_polstr
000000018f169fa8 (__TEXT,__text) external _au_poltostr
000000018f1721b4 (__TEXT,__text) external _au_preselect
000000018f16cfa0 (__TEXT,__text) external _au_print_flags_tok
000000018f1714c4 (__TEXT,__text) external _au_print_tok
000000018f1714e0 (__TEXT,__text) external _au_print_tok_xml
000000018f16b78c (__TEXT,__text) external _au_print_xml_footer
000000018f16b730 (__TEXT,__text) external _au_print_xml_header
000000018f1714fc (__TEXT,__text) external _au_read_rec
000000018f176e8c (__TEXT,__text) external _au_sdev_close
000000018f176ed0 (__TEXT,__text) external _au_sdev_fd
000000018f1687e4 (__TEXT,__text) external _au_sdev_open
000000018f1688b8 (__TEXT,__text) external _au_sdev_read_aia
00000001e74325d0 (__DATA_CONST,__const) non-external _au_sflagsstr
000000018f16a16c (__TEXT,__text) external _au_sflagstostr
000000018f1725e0 (__TEXT,__text) external _au_socket_type_to_bsm
000000018f16a83c (__TEXT,__text) non-external _au_spacetobytes
000000018f176f58 (__TEXT,__text) external _au_strerror
000000018f16a07c (__TEXT,__text) external _au_strtopol
000000018f16a240 (__TEXT,__text) external _au_strtosflags
000000018f169880 (__TEXT,__text) non-external _au_teardown
000000018f172878 (__TEXT,__text) external _au_to_arg
000000018f172658 (__TEXT,__text) external _au_to_arg32
000000018f172758 (__TEXT,__text) external _au_to_arg64
000000018f174b6c (__TEXT,__text) external _au_to_certificate_hash
000000018f17287c (__TEXT,__text) external _au_to_data
000000018f174a24 (__TEXT,__text) external _au_to_exec_args
000000018f174b64 (__TEXT,__text) external _au_to_exec_env
000000018f17297c (__TEXT,__text) external _au_to_exit
000000018f173000 (__TEXT,__text) external _au_to_file
000000018f172a44 (__TEXT,__text) external _au_to_groups
000000018f1753c0 (__TEXT,__text) external _au_to_header
000000018f1752b0 (__TEXT,__text) external _au_to_header32
000000018f1751fc (__TEXT,__text) external _au_to_header32_ex
000000018f174f08 (__TEXT,__text) external _au_to_header32_ex_tm
000000018f174dd8 (__TEXT,__text) external _au_to_header32_tm
000000018f175338 (__TEXT,__text) external _au_to_header64
000000018f1750a8 (__TEXT,__text) external _au_to_header64_tm
000000018f1753c4 (__TEXT,__text) external _au_to_header_ex
000000018f174c48 (__TEXT,__text) external _au_to_identity
000000018f172b24 (__TEXT,__text) external _au_to_in_addr
000000018f172bb4 (__TEXT,__text) external _au_to_in_addr_ex
000000018f172c50 (__TEXT,__text) external _au_to_ip
000000018f172cf0 (__TEXT,__text) external _au_to_ipc
000000018f172da0 (__TEXT,__text) external _au_to_ipc_perm
000000018f172eac (__TEXT,__text) external _au_to_iport
000000018f175470 (__TEXT,__text) external _au_to_kevent
