000000019816371c (__TEXT,__text) non-external +[CalAlarm alarm]
00000001981683b4 (__TEXT,__text) non-external +[CalCalendar calendar]
000000019816cb50 (__TEXT,__text) non-external +[CalCalendarItem sortedAlarms:]
0000000198167fdc (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportEventsErrorWithCalendarName:]
00000001981681b8 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportTasksErrorWithCalendarName:]
0000000198167de4 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotEditableErrorWithCalendarName:isEvent:]
0000000198167b98 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotFoundWithCalendarName:isEvent:]
00000001981671b4 (__TEXT,__text) non-external +[CalCalendarStore _dateFromPotentialNSCalendarDate:]
0000000198164ec8 (__TEXT,__text) non-external +[CalCalendarStore allocWithZone:]
0000000198162f80 (__TEXT,__text) non-external +[CalCalendarStore defaultCalendarStore]
000000019816744c (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:UID:calendars:]
0000000198167240 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:calendars:]
0000000198164ce0 (__TEXT,__text) non-external +[CalCalendarStore requestAccessForEntityType:eventStore:]
0000000198164bf0 (__TEXT,__text) non-external +[CalCalendarStore setDefaultCalendarStore:]
00000001981676d0 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithCalendars:]
00000001981677f0 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithTasksCompletedSince:calendars:]
0000000198167930 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasks:]
0000000198167a58 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasksDueBefore:calendars:]
0000000198167064 (__TEXT,__text) non-external +[CalCalendarStore toEKCalendarsFromCalCalendars:]
00000001981692e0 (__TEXT,__text) non-external +[CalEvent event]
00000001981699fc (__TEXT,__text) non-external +[CalEvent sortedAttendees:]
000000019816b870 (__TEXT,__text) non-external +[CalNthWeekDay nthWeekDayWithDayOfTheWeek:weekNumber:]
000000019816b908 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithEndDate:]
000000019816b968 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithOccurrenceCount:]
000000019816ae78 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDate:isDateOnly:isFloating:]
000000019816ae54 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromRecurrenceType:]
000000019816ce54 (__TEXT,__text) non-external +[CalTask task]
0000000198169290 (__TEXT,__text) non-external -[CalAlarm .cxx_destruct]
0000000198164098 (__TEXT,__text) non-external -[CalAlarm absoluteTrigger]
00000001981640a0 (__TEXT,__text) non-external -[CalAlarm acknowledged]
0000000198164038 (__TEXT,__text) non-external -[CalAlarm action]
00000001981691f0 (__TEXT,__text) non-external -[CalAlarm copyWithZone:]
0000000198163ee0 (__TEXT,__text) non-external -[CalAlarm description]
0000000198169254 (__TEXT,__text) non-external -[CalAlarm ekAlarm]
0000000198164088 (__TEXT,__text) non-external -[CalAlarm emailAddress]
0000000198168ce8 (__TEXT,__text) non-external -[CalAlarm hash]
0000000198168a10 (__TEXT,__text) non-external -[CalAlarm initWithEKAlarm:]
000000019816374c (__TEXT,__text) non-external -[CalAlarm init]
0000000198168cf0 (__TEXT,__text) non-external -[CalAlarm isEqual:]
0000000198169268 (__TEXT,__text) non-external -[CalAlarm relatedToString]
0000000198168b40 (__TEXT,__text) non-external -[CalAlarm relatedTo]
0000000198164090 (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
0000000198168c48 (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
0000000198168ab0 (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
0000000198168bb4 (__TEXT,__text) non-external -[CalAlarm setAction:]
000000019816925c (__TEXT,__text) non-external -[CalAlarm setEkAlarm:]
0000000198168bb8 (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
0000000198168ab8 (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
0000000198169270 (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
0000000198168bd0 (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
0000000198168bc0 (__TEXT,__text) non-external -[CalAlarm setSound:]
0000000198169284 (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
0000000198168bc8 (__TEXT,__text) non-external -[CalAlarm setUrl:]
0000000198164080 (__TEXT,__text) non-external -[CalAlarm sound]
0000000198168c50 (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
000000019816927c (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
0000000198164078 (__TEXT,__text) non-external -[CalAlarm url]
0000000198164be4 (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
0000000198164564 (__TEXT,__text) non-external -[CalAttendee address]
000000019816456c (__TEXT,__text) non-external -[CalAttendee commonName]
0000000198164b6c (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
000000019816448c (__TEXT,__text) non-external -[CalAttendee description]
0000000198164bd0 (__TEXT,__text) non-external -[CalAttendee ekParticipant]
00000001981648b8 (__TEXT,__text) non-external -[CalAttendee hash]
0000000198164818 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
00000001981648c0 (__TEXT,__text) non-external -[CalAttendee isEqual:]
0000000198164bd8 (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
0000000198164574 (__TEXT,__text) non-external -[CalAttendee status]
0000000198168a04 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
0000000198163e9c (__TEXT,__text) non-external -[CalCalendar color]
0000000198168994 (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
0000000198163d18 (__TEXT,__text) non-external -[CalCalendar description]
00000001981689f0 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
000000019816857c (__TEXT,__text) non-external -[CalCalendar hash]
00000001981684c4 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00000001981683e4 (__TEXT,__text) non-external -[CalCalendar init]
00000001981632c8 (__TEXT,__text) non-external -[CalCalendar isEditable]
0000000198168584 (__TEXT,__text) non-external -[CalCalendar isEqual:]
0000000198163e44 (__TEXT,__text) non-external -[CalCalendar notes]
000000019816856c (__TEXT,__text) non-external -[CalCalendar setColor:]
00000001981689f8 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
0000000198168574 (__TEXT,__text) non-external -[CalCalendar setNotes:]
0000000198168564 (__TEXT,__text) non-external -[CalCalendar setTitle:]
0000000198163e3c (__TEXT,__text) non-external -[CalCalendar title]
0000000198163ea4 (__TEXT,__text) non-external -[CalCalendar type]
00000001981632d0 (__TEXT,__text) non-external -[CalCalendar uid]
000000019816ce10 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
000000019816c048 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
000000019816c120 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
0000000198163b18 (__TEXT,__text) non-external -[CalCalendarItem alarms]
0000000198163aa8 (__TEXT,__text) non-external -[CalCalendarItem calendar]
000000019816cd8c (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
0000000198163a88 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
0000000198163938 (__TEXT,__text) non-external -[CalCalendarItem description]
000000019816cde8 (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
000000019816c020 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
000000019816cd84 (__TEXT,__text) non-external -[CalCalendarItem hash]
000000019816bea4 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
000000019816c4b8 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
000000019816c028 (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
0000000198163a98 (__TEXT,__text) non-external -[CalCalendarItem notes]
000000019816c218 (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
000000019816c26c (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
000000019816c364 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
000000019816bfcc (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
000000019816cdf0 (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
000000019816c030 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
000000019816c040 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
000000019816ce04 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
000000019816c038 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
000000019816cae0 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
0000000198163a90 (__TEXT,__text) non-external -[CalCalendarItem title]
0000000198163a80 (__TEXT,__text) non-external -[CalCalendarItem uid]
000000019816cdfc (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
0000000198163aa0 (__TEXT,__text) non-external -[CalCalendarItem url]
00000001981683a8 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00000001981666b4 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00000001981666bc (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
0000000198164f78 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
000000019816307c (__TEXT,__text) non-external -[CalCalendarStore calendars]
0000000198164f74 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
0000000198165938 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
0000000198168394 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
000000019816526c (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
0000000198165064 (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
0000000198166850 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
0000000198165624 (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
0000000198164c40 (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
0000000198164c00 (__TEXT,__text) non-external -[CalCalendarStore init]
0000000198166f0c (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
0000000198165de4 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
000000019816648c (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
000000019816696c (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
0000000198165950 (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
0000000198166104 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
000000019816839c (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
0000000198165538 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
0000000198165374 (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
0000000198169f68 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00000001981642e8 (__TEXT,__text) non-external -[CalEvent attendees]
00000001981693b0 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00000001981637b4 (__TEXT,__text) non-external -[CalEvent description]
00000001981693a8 (__TEXT,__text) non-external -[CalEvent ekEvent]
00000001981641ac (__TEXT,__text) non-external -[CalEvent endDate]
