                 (undefined) external _AAArchiveStreamClose (from libAppleArchive)
                 (undefined) external _AAArchiveStreamProcess (from libAppleArchive)
                 (undefined) external _AAByteStreamClose (from libAppleArchive)
                 (undefined) external _AADecodeArchiveInputStreamOpen (from libAppleArchive)
                 (undefined) external _AADecompressionInputStreamOpen (from libAppleArchive)
                 (undefined) external _AAExtractArchiveOutputStreamOpen (from libAppleArchive)
                 (undefined) external _AAFileStreamOpenWithPath (from libAppleArchive)
                 (undefined) external _AVMediaTypeAudio (from AVFoundation)
                 (undefined) external _AVURLAssetPreferPreciseDurationAndTimingKey (from AVFoundation)
                 (undefined) external _AudioFileClose (from AudioToolbox)
                 (undefined) external _AudioFileGetProperty (from AudioToolbox)
                 (undefined) external _AudioFileGetPropertyInfo (from AudioToolbox)
                 (undefined) external _AudioFileOpenURL (from AudioToolbox)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CMTimeAdd (from CoreMedia)
                 (undefined) external _CMTimeCompare (from CoreMedia)
                 (undefined) external _CMTimeConvertScale (from CoreMedia)
                 (undefined) external _CMTimeGetSeconds (from CoreMedia)
                 (undefined) external _CMTimeMake (from CoreMedia)
                 (undefined) external _CMTimeMakeWithSeconds (from CoreMedia)
                 (undefined) external _CMTimeMultiply (from CoreMedia)
                 (undefined) external _CMTimeMultiplyByFloat64 (from CoreMedia)
                 (undefined) external _CMTimeRangeContainsTime (from CoreMedia)
                 (undefined) external _CMTimeRangeMake (from CoreMedia)
                 (undefined) external _CMTimeSubtract (from CoreMedia)
                 (undefined) external _ExtAudioFileDispose (from AudioToolbox)
                 (undefined) external _ExtAudioFileGetProperty (from AudioToolbox)
                 (undefined) external _ExtAudioFileOpenURL (from AudioToolbox)
00007ffb0e31b6d8 (__TEXT,__const) external _FMSampleRateUnknown
00007ffb0e31b6e0 (__TEXT,__const) external _FMSampleRate_44100
00007ffb0e31b6e8 (__TEXT,__const) external _FMSampleRate_48000
00007ffb41c70170 (__DATA,__const) external _FMSongArtworkAssetID
00007ffb41c70188 (__DATA,__const) external _FMSongAssetCompatibilityVersion
00007ffb41c70180 (__DATA,__const) external _FMSongAssetContentVersion
00007ffb41c70178 (__DATA,__const) external _FMSongAssetDownloadProgressChanged
00007ffb41c701e0 (__DATA,__const) external _FMSongAssetsChanged
00007ffb41c70168 (__DATA,__const) external _FMSongBundleAssetID
00007ffb41c701d8 (__DATA,__const) external _FMSongBundleExtension
00007ffb41c701f0 (__DATA,__const) external _FMSongFormat_Legacy
00007ffb41c701e8 (__DATA,__const) external _FMSongFormat_ML
00007ffb41c6fd88 (__DATA,__const) external _FMSongLibraryAvailableSongsChanged
00007ffb41c6fdd0 (__DATA,__const) external _FMSongLibraryInitOption_CloudKit_ContainerName
00007ffb41c6fdd8 (__DATA,__const) external _FMSongLibraryInitOption_CloudKit_DownloadURL
00007ffb41c6fda8 (__DATA,__const) external _FMSongLibraryInitOption_CloudSupportDisabled
00007ffb41c6fde0 (__DATA,__const) external _FMSongLibraryInitOption_CustomBundledSongsPath
00007ffb41c6fdc0 (__DATA,__const) external _FMSongLibraryInitOption_MobileAssets_AssetTypeIdentifier
00007ffb41c6fdb8 (__DATA,__const) external _FMSongLibraryInitOption_MobileAssets_ClientID
00007ffb41c6fdc8 (__DATA,__const) external _FMSongLibraryInitOption_MobileAssets_ListenToSystemNotifications
00007ffb41c6fdb0 (__DATA,__const) external _FMSongLibraryInitOption_NetworkingDisabled
00007ffb41c6fda0 (__DATA,__const) external _FMSongLibraryReconnectedToNetwork
00007ffb41c6fd90 (__DATA,__const) external _FMSongLibrarySongDownloadInProgressChanged
00007ffb41c6fd98 (__DATA,__const) external _FMSongLibrarySongDownloadInProgressState
00007ffb0e31b848 (__TEXT,__const) external _FMSongPlaylistTimeQuantaInSamples
00007ffb41c70888 (__DATA,__const) external _FMSong_AudioPresetName_AAC_LC_128
