0000000000001416 (__TEXT,__text) external _Init_etc
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _confstr (from libSystem)
                 (undefined) external _endgrent (from libSystem)
                 (undefined) external _endpwent (from libSystem)
                 (undefined) external _fpathconf (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrent (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getgrnam (from libSystem)
                 (undefined) external _getlogin (from libSystem)
                 (undefined) external _getpwent (from libSystem)
                 (undefined) external _getpwnam (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _rb_alloc_tmp_buffer (from libruby.2)
                 (undefined) external _rb_ary_new (from libruby.2)
                 (undefined) external _rb_ary_push (from libruby.2)
                 (undefined) external _rb_block_given_p (from libruby.2)
                 (undefined) external _rb_bug (from libruby.2)
                 (undefined) external _rb_cIO (from libruby.2)
                 (undefined) external _rb_cStruct (from libruby.2)
                 (undefined) external _rb_check_safe_obj (from libruby.2)
                 (undefined) external _rb_define_const (from libruby.2)
                 (undefined) external _rb_define_method (from libruby.2)
                 (undefined) external _rb_define_module (from libruby.2)
                 (undefined) external _rb_define_module_function (from libruby.2)
                 (undefined) external _rb_define_singleton_method (from libruby.2)
                 (undefined) external _rb_eArgError (from libruby.2)
                 (undefined) external _rb_eRuntimeError (from libruby.2)
                 (undefined) external _rb_ensure (from libruby.2)
                 (undefined) external _rb_enumeratorize_with_size (from libruby.2)
                 (undefined) external _rb_extend_object (from libruby.2)
                 (undefined) external _rb_external_str_new_with_enc (from libruby.2)
                 (undefined) external _rb_filesystem_str_new (from libruby.2)
                 (undefined) external _rb_filesystem_str_new_cstr (from libruby.2)
                 (undefined) external _rb_fix2int (from libruby.2)
                 (undefined) external _rb_frame_this_func (from libruby.2)
                 (undefined) external _rb_hash_aset (from libruby.2)
                 (undefined) external _rb_hash_new (from libruby.2)
                 (undefined) external _rb_id2sym (from libruby.2)
                 (undefined) external _rb_int2big (from libruby.2)
                 (undefined) external _rb_intern2 (from libruby.2)
                 (undefined) external _rb_io_check_closed (from libruby.2)
                 (undefined) external _rb_io_taint_check (from libruby.2)
                 (undefined) external _rb_locale_encoding (from libruby.2)
                 (undefined) external _rb_locale_str_new_cstr (from libruby.2)
                 (undefined) external _rb_mEnumerable (from libruby.2)
                 (undefined) external _rb_num2int (from libruby.2)
                 (undefined) external _rb_num2uint (from libruby.2)
                 (undefined) external _rb_raise (from libruby.2)
                 (undefined) external _rb_scan_args (from libruby.2)
                 (undefined) external _rb_str_new_cstr (from libruby.2)
                 (undefined) external _rb_string_value_cstr (from libruby.2)
                 (undefined) external _rb_struct_define_under (from libruby.2)
                 (undefined) external _rb_struct_new (from libruby.2)
                 (undefined) external _rb_sys_fail (from libruby.2)
                 (undefined) external _rb_tainted_str_new_cstr (from libruby.2)
                 (undefined) external _rb_yield (from libruby.2)
                 (undefined) external _setgrent (from libSystem)
                 (undefined) external _setpwent (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _uname (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)
