                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffd0acf1502 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffd0acf1cf0 (__TEXT,__const) external _libopenpam
00007ffd0acf1900 (__TEXT,__text) external _misc_conv
00007ffd0acf16b4 (__TEXT,__text) external _pam_acct_mgmt
00007ffd0acf15ec (__TEXT,__text) external _pam_authenticate
00007ffd0acf1718 (__TEXT,__text) external _pam_chauthtok
00007ffd0acf17d9 (__TEXT,__text) external _pam_close_session
00007ffd0acf1598 (__TEXT,__text) external _pam_end
00007ffd0acf1aa6 (__TEXT,__text) external _pam_get_data
00007ffd0acf189b (__TEXT,__text) external _pam_get_item
00007ffd0acf1c51 (__TEXT,__text) external _pam_get_pass
00007ffd0acf1b75 (__TEXT,__text) external _pam_get_user
00007ffd0acf1a0d (__TEXT,__text) external _pam_getenv
00007ffd0acf1a5c (__TEXT,__text) external _pam_getenvlist
00007ffd0acf177c (__TEXT,__text) external _pam_open_session
00007ffd0acf1bda (__TEXT,__text) external _pam_prompt
00007ffd0acf19b7 (__TEXT,__text) external _pam_putenv
00007ffd0acf1b0b (__TEXT,__text) external _pam_set_data
00007ffd0acf1836 (__TEXT,__text) external _pam_set_item
00007ffd0acf1650 (__TEXT,__text) external _pam_setcred
00007ffd0acf152e (__TEXT,__text) external _pam_start
00007ffd0acf196a (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffd0acf1490 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffd0acf14a5 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffd0acf14fa (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffd0acf14d7 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffd0acf14ba (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffd0acf14ca (__TEXT,__text) external _xlate_pam_shim_setcred_flags
