00007ffd445e1fd0 (__DATA,__bss) non-external _A
00007ffd445e1ea0 (__DATA,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
00007ffd445e1d80 (__DATA,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffd4334f0c0 (__DATA_DIRTY,__data) external _CMARK_NODE_LAST_BLOCK
00007ffd4334f0bc (__DATA_DIRTY,__data) external _CMARK_NODE_LAST_INLINE
00007ffd4334f0e0 (__DATA_DIRTY,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffd4334f0dc (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE
00007ffd4334f0d8 (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE_CELL
00007ffd4334f0d4 (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE_ROW
00007ffd4334f0d2 (__DATA_DIRTY,__bss) non-external _CMARK_NODE__TABLE_VISITED
00007ffd18e64350 (__TEXT,__const) non-external _HREF_SAFE
00007ffd18e626b0 (__TEXT,__const) non-external _HTML_ESCAPES.rel
00007ffd18e626d0 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffd18e64250 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffd18e587f2 (__TEXT,__text) non-external _S_advance_offset
00007ffd18e49f24 (__TEXT,__text) non-external _S_blankline
00007ffd18e5925e (__TEXT,__text) non-external _S_can_contain
00007ffd18e49f11 (__TEXT,__text) non-external _S_cr
00007ffd18e58899 (__TEXT,__text) non-external _S_find_first_nonspace
00007ffd18e4be88 (__TEXT,__text) non-external _S_get_enumlevel
00007ffd18e591ad (__TEXT,__text) non-external _S_node_unlink
00007ffd18e49f37 (__TEXT,__text) non-external _S_out
00007ffd18e4857a (__TEXT,__text) non-external _S_outc
00007ffd18e56e82 (__TEXT,__text) non-external _S_parser_feed
00007ffd18e64210 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffd18e5a6b0 (__TEXT,__text) non-external _S_print_error
00007ffd18e575ad (__TEXT,__text) non-external _S_process_line
00007ffd18e61ad9 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffd18e61afc (__TEXT,__text) non-external _S_process_line.cold.2
00007ffd18e61b1f (__TEXT,__text) non-external _S_process_line.cold.3
00007ffd18e47e80 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffd18e461b4 (__TEXT,__text) non-external _S_render_node
00007ffd18e48664 (__TEXT,__text) non-external _S_render_node
00007ffd18e4b7f8 (__TEXT,__text) non-external _S_render_node
00007ffd18e5f003 (__TEXT,__text) non-external _S_render_node
00007ffd18e6178c (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd18e61914 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd18e619c3 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd18e623ae (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffd18e58f00 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffd18e58f20 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffd18e4a2c9 (__TEXT,__text) non-external (was a private external) __ext_scan_at
00007ffd18e4c090 (__TEXT,__text) non-external (was a private external) __scan_at
00007ffd18e54a57 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
00007ffd18e63d10 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffd18e4d403 (__TEXT,__text) non-external (was a private external) __scan_autolink_email
00007ffd18e62e10 (__TEXT,__const) non-external __scan_autolink_email.yybm
00007ffd18e4c9e6 (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
00007ffd18e62d10 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00007ffd18e55028 (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
00007ffd18e64010 (__TEXT,__const) non-external __scan_close_code_fence.yybm
00007ffd18e55b0f (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
00007ffd18e5514f (__TEXT,__text) non-external (was a private external) __scan_entity
00007ffd18e55dcf (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
00007ffd18e64110 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00007ffd18e52b22 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
00007ffd18e63610 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00007ffd18e535c1 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
00007ffd18e63710 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00007ffd18e539e6 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
00007ffd18e63810 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00007ffd18e53d74 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
00007ffd18e63910 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00007ffd18e5402a (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
00007ffd18e63a10 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00007ffd18e50fd6 (__TEXT,__text) non-external (was a private external) __scan_html_block_start
00007ffd18e524f4 (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
00007ffd18e63510 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00007ffd18e50d85 (__TEXT,__text) non-external (was a private external) __scan_html_cdata
00007ffd18e63410 (__TEXT,__const) non-external __scan_html_cdata.yybm
00007ffd18e5083c (__TEXT,__text) non-external (was a private external) __scan_html_comment
00007ffd18e63110 (__TEXT,__const) non-external __scan_html_comment.yybm
00007ffd18e50c47 (__TEXT,__text) non-external (was a private external) __scan_html_declaration
00007ffd18e63310 (__TEXT,__const) non-external __scan_html_declaration.yybm
00007ffd18e509da (__TEXT,__text) non-external (was a private external) __scan_html_pi
00007ffd18e63210 (__TEXT,__const) non-external __scan_html_pi.yybm
00007ffd18e4ff6c (__TEXT,__text) non-external (was a private external) __scan_html_tag
00007ffd18e62f10 (__TEXT,__const) non-external __scan_html_tag.yybm
00007ffd18e50585 (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
00007ffd18e63010 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00007ffd18e5444f (__TEXT,__text) non-external (was a private external) __scan_link_title
00007ffd18e63b10 (__TEXT,__const) non-external __scan_link_title.yybm
00007ffd18e54cd1 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
00007ffd18e63f10 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00007ffd18e4c0d8 (__TEXT,__text) non-external (was a private external) __scan_scheme
00007ffd18e54b7e (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
00007ffd18e63e10 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00007ffd18e54a2f (__TEXT,__text) non-external (was a private external) __scan_spacechars
00007ffd18e63c10 (__TEXT,__const) non-external __scan_spacechars.yybm
00007ffd18e4a529 (__TEXT,__text) non-external (was a private external) __scan_table_cell
00007ffd18e629d0 (__TEXT,__const) non-external __scan_table_cell.yybm
00007ffd18e4a796 (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
00007ffd18e4a7ba (__TEXT,__text) non-external (was a private external) __scan_table_row_end
00007ffd18e62ad0 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffd18e4a312 (__TEXT,__text) non-external (was a private external) __scan_table_start
00007ffd18e628d0 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffd18e4a849 (__TEXT,__text) non-external (was a private external) __scan_tasklist
00007ffd18e62bd0 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffd18e586d1 (__TEXT,__text) non-external _add_child
00007ffd18e61b42 (__TEXT,__text) non-external _add_child.cold.1
00007ffd18e58dc4 (__TEXT,__text) non-external _add_line
00007ffd18e61bab (__TEXT,__text) non-external _add_line.cold.1
00007ffd18e5e38c (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffd18e6142b (__TEXT,__text) non-external _alloc_arena_chunk
00007ffd18e6151e (__TEXT,__text) non-external _arena_calloc
00007ffd18e61614 (__TEXT,__text) non-external _arena_free
00007ffd18e615c0 (__TEXT,__text) non-external _arena_realloc
00007ffd18e49a24 (__TEXT,__text) non-external _autolink_delim
00007ffd42361d40 (__DATA_CONST,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
00007ffd18e48348 (__TEXT,__text) non-external _can_contain
00007ffd18e4ac93 (__TEXT,__text) non-external _can_contain
00007ffd18e5ffbc (__TEXT,__text) non-external _can_contain
00007ffd18e4991c (__TEXT,__text) non-external _check_domain
00007ffd18e58e38 (__TEXT,__text) non-external _chop_trailing_hashtags
00007ffd18e61bce (__TEXT,__text) non-external _chop_trailing_hashtags.cold.1
00007ffd18e61bef (__TEXT,__text) non-external _chop_trailing_hashtags.cold.2
00007ffd18e5e657 (__TEXT,__text) non-external _chunk_clone
00007ffd18e61491 (__TEXT,__text) external _cmark_arena_pop
00007ffd18e61404 (__TEXT,__text) external _cmark_arena_push
00007ffd18e614e2 (__TEXT,__text) external _cmark_arena_reset
00007ffd18e5f50c (__TEXT,__text) non-external _cmark_chunk_to_cstr
00007ffd18e5a87e (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
00007ffd18e5a7f1 (__TEXT,__text) non-external (was a private external) _cmark_clean_title
00007ffd18e5a725 (__TEXT,__text) non-external (was a private external) _cmark_clean_url
00007ffd18e61c5d (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffd18e61c7e (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffd18e4b0f0 (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffd18e627d0 (__TEXT,__const) non-external _cmark_ctype_class
00007ffd18e58f4c (__TEXT,__text) external _cmark_enable_safety_checks
00007ffd42359870 (__DATA_CONST,__const) non-external _cmark_entities
00007ffd18e49cb4 (__TEXT,__text) external _cmark_find_syntax_extension
00007ffd18e55ec1 (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
00007ffd18e619e6 (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffd18e55f30 (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
00007ffd18e6161a (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffd18e46e7e (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffd18e55fa6 (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffd18e60d18 (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffd18e60e06 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
00007ffd18e60e36 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
00007ffd18e60cf5 (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffd18e60db9 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
