00000001e9d55c20 (__DATA,__data) external _NDR_record
00000001804b794c (__TEXT,__text) non-external __Xexception_raise
00000001804b7834 (__TEXT,__text) non-external __Xexception_raise_state
00000001804b76d4 (__TEXT,__text) non-external __Xexception_raise_state_identity
00000001804a5ab8 (__TEXT,__text) external _____sigwait_nocancel
00000001804ccdf8 (__TEXT,__const) external ____kernelVersionNumber
00000001804ccdc0 (__TEXT,__const) external ____kernelVersionString
00000001804a5ae4 (__TEXT,__text) external ___abort_with_payload
00000001804a168c (__TEXT,__text) external ___accept
00000001804a5b10 (__TEXT,__text) external ___accept_nocancel
00000001804a5b3c (__TEXT,__text) external ___access_extended
00000001804a5b68 (__TEXT,__text) external ___aio_suspend_nocancel
00000001804a0af0 (__TEXT,__text) external ___bind
000000018049cabc (__TEXT,__text) external ___bsdthread_create
000000018049aa84 (__TEXT,__text) external ___bsdthread_ctl
000000018049ec90 (__TEXT,__text) external ___bsdthread_register
000000018049bb60 (__TEXT,__text) external ___bsdthread_terminate
00000001804a5300 (__TEXT,__text) external ___carbon_delete
00000001804a5b94 (__TEXT,__text) external ___channel_get_info
00000001804a5bc0 (__TEXT,__text) external ___channel_get_opt
00000001804a5bec (__TEXT,__text) external ___channel_open
00000001804a5c18 (__TEXT,__text) external ___channel_set_opt
00000001804a5c44 (__TEXT,__text) external ___channel_sync
000000018049ca04 (__TEXT,__text) external ___chmod
000000018049e728 (__TEXT,__text) external ___chmod_extended
000000018049a568 (__TEXT,__text) external ___close_nocancel
00000001804a5c70 (__TEXT,__text) external ___coalition
00000001804a5c9c (__TEXT,__text) external ___coalition_info
00000001804a5cc8 (__TEXT,__text) external ___coalition_ledger
000000018049abdc (__TEXT,__text) external ___commpage_gettimeofday
000000018049abe4 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
000000018049d344 (__TEXT,__text) external ___connect
000000018049d1ac (__TEXT,__text) external ___connect_nocancel
00000001804a5cf4 (__TEXT,__text) external ___copyfile
00000001804a5d20 (__TEXT,__text) external ___crossarch_trap
00000001804996d8 (__TEXT,__text) external ___csrctl
00000001804af894 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00000001804a5d4c (__TEXT,__text) external ___debug_syscall_reject
00000001804a5d78 (__TEXT,__text) external ___debug_syscall_reject_config
00000001804a532c (__TEXT,__text) external ___delete
000000018049bb34 (__TEXT,__text) external ___disable_threadsignal
0000000180499608 (__TEXT,__text) external ___error
00000001804a5da4 (__TEXT,__text) external ___execve
00000001804a0530 (__TEXT,__text) external ___exit
000000018049d600 (__TEXT,__text) external ___fchmod
000000018049e838 (__TEXT,__text) external ___fchmod_extended
00000001804998a8 (__TEXT,__text) external ___fcntl
000000018049d154 (__TEXT,__text) external ___fcntl_nocancel
00000001804a08ac (__TEXT,__text) external ___fork
00000001804a5dd0 (__TEXT,__text) external ___fs_snapshot
00000001804a7230 (__TEXT,__text) external ___fstat
000000018049e80c (__TEXT,__text) external ___fstat64_extended
00000001804a5dfc (__TEXT,__text) external ___fstat_extended
00000001804a7288 (__TEXT,__text) external ___fstatat
