00007ff9042701ed (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff904270204 (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00007ff90426360a (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00007ff9042637b3 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00007ff90427047d (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00007ff904272f94 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00007ff90427301b (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00007ff904270794 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00007ff904263e9e (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00007ff904269d0c (__TEXT,__text) non-external +[MIS currentDeviceID]
00007ff904269d63 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00007ff90426a36b (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00007ff9042725c4 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00007ff9042725f8 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00007ff904269ceb (__TEXT,__text) non-external +[MIS isAvailable]
00007ff90426a279 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00007ff90427255c (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00007ff904272590 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00007ff90426a1c9 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00007ff904272528 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00007ff904269f69 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00007ff9042723fc (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00007ff904272456 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00007ff90427248a (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00007ff9042724be (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00007ff90426a58e (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00007ff90427274c (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00007ff9042727cc (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00007ff90426a465 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00007ff904272662 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00007ff9042726e2 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00007ff90426f628 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00007ff904272c92 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00007ff904272cec (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00007ff9042651f5 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff90426531b (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00007ff904263977 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00007ff90425eaf7 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00007ff904270b87 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00007ff90425e79b (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00007ff90426989b (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00007ff9042659bf (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00007ff90425cf6d (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00007ff904264d9e (__TEXT,__text) non-external +[SPLog exec]
00007ff904265006 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00007ff904264ce6 (__TEXT,__text) non-external +[SPLog generic]
00007ff904264d42 (__TEXT,__text) non-external +[SPLog kext]
00007ff904264dfa (__TEXT,__text) non-external +[SPLog measurements]
00007ff904264ffa (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00007ff904264e56 (__TEXT,__text) non-external +[SPLog signposts]
00007ff904264eb2 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00007ff90426cb0c (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00007ff90426c356 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00007ff90426b4b6 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00007ff90427295a (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00007ff90426b2ee (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00007ff90426b2d0 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00007ff90426b945 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00007ff90426b473 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00007ff90426b30c (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00007ff90426eec8 (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00007ff90425e1ef (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00007ff90425e115 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
