                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFBundleCopyBundleURL (from CoreFoundation)
                 (undefined) external _CFBundleCopyPrivateFrameworksURL (from CoreFoundation)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleCopySharedFrameworksURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFLocaleCopyCurrent (from CoreFoundation)
                 (undefined) external _CFLocaleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRunLoopAddObserver (from CoreFoundation)
                 (undefined) external _CFRunLoopAddSource (from CoreFoundation)
                 (undefined) external _CFRunLoopAddTimer (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopObserverCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopObserverInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopRunInMode (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceSignal (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerGetNextFireDate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerSetNextFireDate (from CoreFoundation)
                 (undefined) external _CFRunLoopWakeUp (from CoreFoundation)
                 (undefined) external _CFStringCompare (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFURLCopyLastPathComponent (from CoreFoundation)
                 (undefined) external _CFURLCreateCopyAppendingPathComponent (from CoreFoundation)
                 (undefined) external _CFURLGetFileSystemRepresentation (from CoreFoundation)
                 (undefined) external _NSAddressOfSymbol (from libSystem)
                 (undefined) external _NSCreateObjectFileImageFromMemory (from libSystem)
                 (undefined) external _NSDestroyObjectFileImage (from libSystem)
                 (undefined) external _NSLinkEditError (from libSystem)
                 (undefined) external _NSLinkModule (from libSystem)
                 (undefined) external _NSLookupSymbolInImage (from libSystem)
                 (undefined) external _NSLookupSymbolInModule (from libSystem)
                 (undefined) external _NSUnLinkModule (from libSystem)
                 (undefined) external _NXFindBestFatArch (from libSystem)
                 (undefined) external _NXGetLocalArchInfo (from libSystem)
00007ffb145d97e7 (__TEXT,__text) external _TclAddLiteralObj
00007ffb145e355b (__TEXT,__text) external _TclAllocateFreeObjects
00007ffb14607ffe (__TEXT,__text) external _TclBN_epoch
00007ffb14612c15 (__TEXT,__text) external _TclBN_fast_s_mp_mul_digs
00007ffb14612d9e (__TEXT,__text) external _TclBN_fast_s_mp_sqr
00007ffb14612f7e (__TEXT,__text) external _TclBN_mp_add
00007ffb146130a5 (__TEXT,__text) external _TclBN_mp_add_d
00007ffb14612ffe (__TEXT,__text) external _TclBN_mp_and
00007ffb146131d4 (__TEXT,__text) external _TclBN_mp_clamp
00007ffb14613204 (__TEXT,__text) external _TclBN_mp_clear
00007ffb1461324b (__TEXT,__text) external _TclBN_mp_clear_multi
00007ffb14613314 (__TEXT,__text) external _TclBN_mp_cmp
00007ffb1461334a (__TEXT,__text) external _TclBN_mp_cmp_d
00007ffb14613375 (__TEXT,__text) external _TclBN_mp_cmp_mag
00007ffb146133bc (__TEXT,__text) external _TclBN_mp_copy
00007ffb14613433 (__TEXT,__text) external _TclBN_mp_count_bits
00007ffb14613467 (__TEXT,__text) external _TclBN_mp_div
00007ffb14613b46 (__TEXT,__text) external _TclBN_mp_div_2
00007ffb14613bdf (__TEXT,__text) external _TclBN_mp_div_2d
00007ffb14613d27 (__TEXT,__text) external _TclBN_mp_div_3
00007ffb146139bb (__TEXT,__text) external _TclBN_mp_div_d
00007ffb14613e2b (__TEXT,__text) external _TclBN_mp_exch
00007ffb14613e5d (__TEXT,__text) external _TclBN_mp_expt_d
00007ffb14613ef1 (__TEXT,__text) external _TclBN_mp_grow
00007ffb14613f65 (__TEXT,__text) external _TclBN_mp_init
00007ffb14613fab (__TEXT,__text) external _TclBN_mp_init_copy
00007ffb14613fd5 (__TEXT,__text) external _TclBN_mp_init_multi
00007ffb1461411d (__TEXT,__text) external _TclBN_mp_init_set
00007ffb14614150 (__TEXT,__text) external _TclBN_mp_init_size
00007ffb146141c9 (__TEXT,__text) external _TclBN_mp_karatsuba_mul
00007ffb146144e5 (__TEXT,__text) external _TclBN_mp_karatsuba_sqr
00007ffb14614744 (__TEXT,__text) external _TclBN_mp_lshd
00007ffb146147b9 (__TEXT,__text) external _TclBN_mp_mod
00007ffb1461483e (__TEXT,__text) external _TclBN_mp_mod_2d
00007ffb146148f4 (__TEXT,__text) external _TclBN_mp_mul
00007ffb14614978 (__TEXT,__text) external _TclBN_mp_mul_2
00007ffb14614a1b (__TEXT,__text) external _TclBN_mp_mul_2d
00007ffb14614b10 (__TEXT,__text) external _TclBN_mp_mul_d
00007ffb14614bc8 (__TEXT,__text) external _TclBN_mp_neg
00007ffb14614c07 (__TEXT,__text) external _TclBN_mp_or
00007ffb14614c90 (__TEXT,__text) external _TclBN_mp_radix_size
00007ffb14614d89 (__TEXT,__text) external _TclBN_mp_read_radix
00007ffb14614e67 (__TEXT,__text) external _TclBN_mp_rshd
00007ffb14614eb2 (__TEXT,__text) external _TclBN_mp_set
00007ffb14614edc (__TEXT,__text) external _TclBN_mp_shrink
00007ffb14614f23 (__TEXT,__text) external _TclBN_mp_sqr
00007ffb14614f74 (__TEXT,__text) external _TclBN_mp_sqrt
00007ffb146151da (__TEXT,__text) external _TclBN_mp_sub
00007ffb1461524f (__TEXT,__text) external _TclBN_mp_sub_d
00007ffb14615359 (__TEXT,__text) external _TclBN_mp_to_unsigned_bin
00007ffb146153da (__TEXT,__text) external _TclBN_mp_to_unsigned_bin_n
00007ffb1461542b (__TEXT,__text) external _TclBN_mp_toom_mul
00007ffb14615bda (__TEXT,__text) external _TclBN_mp_toom_sqr
00007ffb1461614a (__TEXT,__text) external _TclBN_mp_toradix_n
00007ffb14616257 (__TEXT,__text) external _TclBN_mp_unsigned_bin_size
00007ffb14616278 (__TEXT,__text) external _TclBN_mp_xor
00007ffb14616301 (__TEXT,__text) external _TclBN_mp_zero
00007ffb14612be3 (__TEXT,__text) external _TclBN_reverse
00007ffb14608006 (__TEXT,__text) external _TclBN_revision
00007ffb14616328 (__TEXT,__text) external _TclBN_s_mp_add
00007ffb14616485 (__TEXT,__text) external _TclBN_s_mp_mul_digs
00007ffb146165ec (__TEXT,__text) external _TclBN_s_mp_sqr
00007ffb14616716 (__TEXT,__text) external _TclBN_s_mp_sub
00007ffb145b29c3 (__TEXT,__text) external _TclBackgroundException
00007ffb145fcfb8 (__TEXT,__text) external _TclCallVarTraces
00007ffb145cc7bb (__TEXT,__text) external _TclChannelEventScriptInvoker
00007ffb145d3118 (__TEXT,__text) external _TclChannelTransform
00007ffb145fc3be (__TEXT,__text) external _TclCheckExecutionTraces
00007ffb145fcac3 (__TEXT,__text) external _TclCheckInterpTraces
00007ffb145ea698 (__TEXT,__text) external _TclCleanupChildren
00007ffb14578a62 (__TEXT,__text) external _TclCleanupCommand
00007ffb14602e0b (__TEXT,__text) external _TclCleanupVar
00007ffb146005bb (__TEXT,__text) external _TclCopyAndCollapse
00007ffb145ccb61 (__TEXT,__text) external _TclCopyChannel
00007ffb145ea9cc (__TEXT,__text) external _TclCreatePipeline
00007ffb145ee603 (__TEXT,__text) external _TclCreateProc
00007ffb145e34e1 (__TEXT,__text) external _TclDbDumpActiveObjects
00007ffb146072f9 (__TEXT,__text) external _TclDeleteCompiledLocalVars
00007ffb1460724d (__TEXT,__text) external _TclDeleteVars
00007ffb1457e9e2 (__TEXT,__text) external _TclDumpMemoryInfo
00007ffb1457adc4 (__TEXT,__text) external _TclEvalObjEx
00007ffb145a5c7e (__TEXT,__text) external _TclExpandCodeArray
00007ffb145bda4c (__TEXT,__text) external _TclExprFloatError
00007ffb146001cc (__TEXT,__text) external _TclFindElement
00007ffb145ef05c (__TEXT,__text) external _TclFindProc
00007ffb145e358c (__TEXT,__text) external _TclFreeObj
00007ffb145ed598 (__TEXT,__text) external _TclFreePackageInfo
00007ffb1460dc16 (__TEXT,__text) external _TclGetAndDetachPids
00007ffb145a8152 (__TEXT,__text) external _TclGetAuxDataType
00007ffb145b28a7 (__TEXT,__text) external _TclGetEnv
00007ffb145bff39 (__TEXT,__text) external _TclGetExtension
00007ffb145eec81 (__TEXT,__text) external _TclGetFrame
00007ffb145a8098 (__TEXT,__text) external _TclGetInstructionTable
00007ffb146021bd (__TEXT,__text) external _TclGetIntForIndex
00007ffb145afab8 (__TEXT,__text) external _TclGetLibraryPath
00007ffb145daa83 (__TEXT,__text) external _TclGetLoadedPackages
00007ffb145c204b (__TEXT,__text) external _TclGetLong
00007ffb145dc33c (__TEXT,__text) external _TclGetNamespaceForQualName
00007ffb145dda3b (__TEXT,__text) external _TclGetNamespaceFromObj
00007ffb145eff0b (__TEXT,__text) external _TclGetObjInterpProc
00007ffb146028aa (__TEXT,__text) external _TclGetObjNameOfExecutable
00007ffb145d5312 (__TEXT,__text) external _TclGetOpenMode
00007ffb145dd7cc (__TEXT,__text) external _TclGetOriginalCommand
00007ffb146028f6 (__TEXT,__text) external _TclGetPlatform
00007ffb145bd224 (__TEXT,__text) external _TclGetSrcInfoForPc
00007ffb145dad16 (__TEXT,__text) external _TclGetStartupScriptFileName
00007ffb145dacf0 (__TEXT,__text) external _TclGetStartupScriptPath
00007ffb1460fcc9 (__TEXT,__text) external _TclGuessPackageName
00007ffb145ee0bd (__TEXT,__text) external _TclHandleCreate
