00007ffa427458d0 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa42745810 (__DATA,__data) non-external _TIMEOUT
00007ffa42745820 (__DATA,__data) non-external _TIMEOUT
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffa0c31a6a0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa0c31a6c0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memmove_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffa0c316f5a (__TEXT,__text) non-external __buf
00007ffa0c324f36 (__TEXT,__text) non-external __buf.cold.1
00007ffa0c324fdd (__TEXT,__text) non-external __buf.cold.2
00007ffa0c316e38 (__TEXT,__text) external __newrpclib___rpc_createerr
00007ffa0c324d41 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.1
00007ffa0c324de8 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.2
00007ffa0c31b1f7 (__TEXT,__text) external __newrpclib__authenticate
00007ffa0c325a40 (__TEXT,__text) non-external __newrpclib__authenticate.cold.1
00007ffa0c325add (__TEXT,__text) non-external __newrpclib__authenticate.cold.2
00007ffa0c325b8b (__TEXT,__text) non-external __newrpclib__authenticate.cold.3
00007ffa42745a00 (__DATA,__common) external __newrpclib__null_auth
00007ffa0c31aeb5 (__TEXT,__text) external __newrpclib__seterr_reply
00007ffa0c315817 (__TEXT,__text) external __newrpclib_authnone_create
00007ffa0c32480e (__TEXT,__text) non-external __newrpclib_authnone_create.cold.1
00007ffa0c31596a (__TEXT,__text) external __newrpclib_authunix_create
00007ffa0c3248b5 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.1
00007ffa0c324963 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.2
00007ffa0c324a11 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.3
00007ffa0c324aac (__TEXT,__text) non-external __newrpclib_authunix_create.cold.4
00007ffa0c315c69 (__TEXT,__text) external __newrpclib_authunix_create_default
00007ffa0c324be2 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.1
00007ffa0c324c90 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.2
00007ffa0c315620 (__TEXT,__text) external __newrpclib_callrpc
00007ffa0c31a402 (__TEXT,__text) external __newrpclib_clnt_broadcast
00007ffa0c3161cf (__TEXT,__text) external __newrpclib_clnt_create
00007ffa0c315ff1 (__TEXT,__text) external __newrpclib_clnt_create_timeout
00007ffa0c316313 (__TEXT,__text) external __newrpclib_clnt_multicasts_buf_timeout
00007ffa0c3174dd (__TEXT,__text) external __newrpclib_clnt_pcreateerror
00007ffa0c31726b (__TEXT,__text) external __newrpclib_clnt_perrno
00007ffa0c3171d8 (__TEXT,__text) external __newrpclib_clnt_perror
00007ffa0c3172ad (__TEXT,__text) external __newrpclib_clnt_spcreateerror
00007ffa0c317239 (__TEXT,__text) external __newrpclib_clnt_sperrno
00007ffa0c316f21 (__TEXT,__text) external __newrpclib_clnt_sperror
00007ffa0c317569 (__TEXT,__text) external __newrpclib_clntraw_create
00007ffa0c32512b (__TEXT,__text) non-external __newrpclib_clntraw_create.cold.1
00007ffa0c31859e (__TEXT,__text) external __newrpclib_clnttcp_create
00007ffa0c325878 (__TEXT,__text) non-external __newrpclib_clnttcp_create.cold.1
00007ffa0c31847e (__TEXT,__text) external __newrpclib_clnttcp_create_sa
00007ffa0c325742 (__TEXT,__text) non-external __newrpclib_clnttcp_create_sa.cold.1
00007ffa0c31850d (__TEXT,__text) external __newrpclib_clnttcp_create_timeout
00007ffa0c3257dd (__TEXT,__text) non-external __newrpclib_clnttcp_create_timeout.cold.1
00007ffa0c318ec9 (__TEXT,__text) external __newrpclib_clntudp_bufcreate
00007ffa0c318f1f (__TEXT,__text) external __newrpclib_clntudp_bufcreate_sa
00007ffa0c318ac8 (__TEXT,__text) external __newrpclib_clntudp_bufcreate_timeout
00007ffa0c318f09 (__TEXT,__text) external __newrpclib_clntudp_create
00007ffa0c318f51 (__TEXT,__text) external __newrpclib_clntudp_create_sa
00007ffa0c319520 (__TEXT,__text) external __newrpclib_getrpcport
00007ffa0c321cce (__TEXT,__text) external __newrpclib_netid2socparms
00007ffa0c31a1d1 (__TEXT,__text) external __newrpclib_pmap_callit
00007ffa0c3195b8 (__TEXT,__text) external __newrpclib_pmap_getmaps
00007ffa0c3197fd (__TEXT,__text) external __newrpclib_pmap_getport
00007ffa0c31980d (__TEXT,__text) external __newrpclib_pmap_getport_sa
00007ffa0c31a593 (__TEXT,__text) external __newrpclib_pmap_indirect
00007ffa0c31981d (__TEXT,__text) external __newrpclib_pmap_rmtcall
00007ffa0c322790 (__TEXT,__text) external __newrpclib_pmap_set
00007ffa0c322891 (__TEXT,__text) external __newrpclib_pmap_unset
00007ffa0c319a44 (__TEXT,__text) external __newrpclib_pmap_wakeup
00007ffa0c322ac3 (__TEXT,__text) external __newrpclib_pmapproc_callit_2
00007ffa0c322a82 (__TEXT,__text) external __newrpclib_pmapproc_dump_2
00007ffa0c322a3d (__TEXT,__text) external __newrpclib_pmapproc_getport_2
00007ffa0c322983 (__TEXT,__text) external __newrpclib_pmapproc_null_2
00007ffa0c3229b3 (__TEXT,__text) external __newrpclib_pmapproc_set_2
00007ffa0c3229f8 (__TEXT,__text) external __newrpclib_pmapproc_unset_2
00007ffa0c31bcf0 (__TEXT,__text) external __newrpclib_registerrpc
00007ffa0c325e0a (__TEXT,__text) non-external __newrpclib_registerrpc.cold.1
00007ffa0c325ea5 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.2
00007ffa0c325f40 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.3
00007ffa0c325fe5 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.4
00007ffa427458b8 (__DATA,__bss) non-external __newrpclib_registerrpc.transp
00007ffa0c31aaac (__TEXT,__text) external __newrpclib_rpc_control
00007ffa0c3259ac (__TEXT,__text) non-external __newrpclib_rpc_control.cold.1
00007ffa427459f8 (__DATA,__common) external __newrpclib_rpc_ipmode
00007ffa427457b8 (__DATA,__data) external __newrpclib_rpc_v4mapped_ok
00007ffa0c319b30 (__TEXT,__text) external __newrpclib_rpcb_callit
00007ffa0c3242bd (__TEXT,__text) external __newrpclib_rpcb_getaddr
00007ffa0c3242dd (__TEXT,__text) external __newrpclib_rpcb_getaddr_for_host
00007ffa0c323b9a (__TEXT,__text) external __newrpclib_rpcb_getaddr_timeout
00007ffa0c3292f5 (__TEXT,__text) non-external __newrpclib_rpcb_getaddr_timeout.cold.1
00007ffa0c3242cd (__TEXT,__text) external __newrpclib_rpcb_getversaddr
00007ffa0c324210 (__TEXT,__text) external __newrpclib_rpcb_getversaddr_timeout
00007ffa0c31a40c (__TEXT,__text) external __newrpclib_rpcb_indirect
00007ffa0c3243f5 (__TEXT,__text) external __newrpclib_rpcb_set
00007ffa0c324619 (__TEXT,__text) external __newrpclib_rpcb_unset
00007ffa0c322e56 (__TEXT,__text) external __newrpclib_rpcbproc_bcast_4
00007ffa0c322c21 (__TEXT,__text) external __newrpclib_rpcbproc_callit_3
00007ffa0c322be0 (__TEXT,__text) external __newrpclib_rpcbproc_dump_3
00007ffa0c322e15 (__TEXT,__text) external __newrpclib_rpcbproc_dump_4
00007ffa0c322b9a (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_3
00007ffa0c322dcf (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_4
00007ffa0c32300d (__TEXT,__text) external __newrpclib_rpcbproc_getaddrlist_4
00007ffa0c323053 (__TEXT,__text) external __newrpclib_rpcbproc_getstat_4
00007ffa0c322c6e (__TEXT,__text) external __newrpclib_rpcbproc_gettime_3
00007ffa0c322ea3 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_4
00007ffa0c322f7a (__TEXT,__text) external __newrpclib_rpcbproc_getversaddr_4
00007ffa0c322fc0 (__TEXT,__text) external __newrpclib_rpcbproc_indirect_4
00007ffa0c322b10 (__TEXT,__text) external __newrpclib_rpcbproc_set_3
00007ffa0c322d45 (__TEXT,__text) external __newrpclib_rpcbproc_set_4
00007ffa0c322cff (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_3
00007ffa0c322f34 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_4
00007ffa0c322cae (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_3
